# Constructed from biom file
#OTU ID	C1M1-D1	C1M1-D14	C1M1-D2	C1M1-D21	C1M1-D3	C1M1-D4	C1M1-D6	C1M1-D7	C1M2-D1	C1M2-D14	C1M2-D2	C1M2-D21	C1M2-D3	C1M2-D4	C1M2-D6	C1M2-D7	C2M1-D1	C2M1-D14	C2M1-D2	C2M1-D21	C2M1-D3	C2M1-D4	C2M1-D6	C2M1-D7	C2M2-D1	C2M2-D14	C2M2-D2	C2M2-D21	C2M2-D3	C2M2-D4	C2M2-D6	C2M2-D7	C3M1-D1	C3M1-D14	C3M1-D2	C3M1-D21	C3M1-D3	C3M1-D4	C3M1-D6	C3M1-D7	C3M2-D14	C3M2-D2	C3M2-D21	C3M2-D3	C3M2-D4	C3M2-D6	C3M2-D7	C4M1-D1	C4M1-D14	C4M1-D2	C4M1-D21	C4M1-D3	C4M1-D4	C4M1-D6	C4M1-D7	C4M2-D1	C4M2-D14	C4M2-D2	C4M2-D21	C4M2-D3	C4M2-D4	C4M2-D6	C4M2-D7	C5M1-D1	C5M1-D14	C5M1-D2	C5M1-D21	C5M1-D3	C5M1-D4	C5M1-D6	C5M1-D7	C5M2-D1	C5M2-D14	C5M2-D2	C5M2-D21	C5M2-D3	C5M2-D5	C5M2-D6	C5M2-D7	C6M1-D1	C6M1-D14	C6M1-D2	C6M1-D21	C6M1-D3	C6M1-D4	C6M1-D6	C6M1-D7	C6M2-D1	C6M2-D14	C6M2-D21	C6M2-D3	C6M2-D4	C6M2-D6	C6M2-D7	C6M3-D2	MBClos-Clos-inoc	MBClos-MBClos-inoc	taxonomy
361a34079816eea772ee009442edbadf	3572.0	5861.0	3608.0	45420.0	7148.0	4121.0	2526.0	3077.0	6629.0	5701.0	0.0	14905.0	8711.0	7392.0	3443.0	3869.0	2931.0	8532.0	817.0	43968.0	2795.0	4993.0	425.0	1382.0	2263.0	4565.0	2452.0	18696.0	2047.0	136.0	529.0	1701.0	3281.0	18614.0	4821.0	39694.0	6528.0	7498.0	7268.0	7171.0	19132.0	8509.0	36975.0	8294.0	4467.0	2606.0	5518.0	1627.0	2959.0	599.0	10062.0	1073.0	606.0	4905.0	5019.0	11077.0	4984.0	8390.0	38483.0	7980.0	3020.0	4718.0	4267.0	12679.0	28458.0	6109.0	62370.0	5073.0	5527.0	4696.0	4265.0	11731.0	26023.0	23764.0	103988.0	17437.0	13805.0	17402.0	45499.0	11998.0	10923.0	19564.0	69941.0	8125.0	2087.0	2501.0	9254.0	10371.0	5594.0	46486.0	8526.0	9379.0	5209.0	10226.0	10557.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_intestinalis
89c8191187fc088f4b9171b6904ef2f8	10778.0	6498.0	8845.0	15138.0	7139.0	8630.0	4114.0	6475.0	6959.0	10159.0	34.0	17031.0	5642.0	3363.0	6974.0	4465.0	15086.0	5402.0	10824.0	13745.0	6220.0	4895.0	5116.0	6988.0	13254.0	7846.0	9575.0	16793.0	7736.0	10461.0	8083.0	7551.0	10459.0	6503.0	2380.0	25110.0	3123.0	1922.0	2230.0	5985.0	2752.0	5393.0	25901.0	3911.0	2730.0	2013.0	1682.0	12375.0	5634.0	7023.0	24784.0	9816.0	7179.0	6393.0	6535.0	4466.0	5899.0	8011.0	19678.0	5863.0	6677.0	5041.0	6863.0	8782.0	14974.0	9869.0	24866.0	8685.0	11723.0	7050.0	5320.0	9751.0	4835.0	20190.0	13882.0	2724.0	3571.0	1420.0	3030.0	6906.0	7460.0	18541.0	20656.0	4443.0	9654.0	5438.0	13232.0	5497.0	3343.0	34594.0	3268.0	4889.0	1406.0	9104.0	10303.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
497aa9a44498bf8ec0a1e1e4fd6fc808	7073.0	2753.0	6743.0	14177.0	6201.0	2449.0	6859.0	8083.0	6297.0	4070.0	5.0	3893.0	4761.0	2617.0	3890.0	5842.0	3282.0	8826.0	1333.0	15197.0	4545.0	4736.0	1071.0	5653.0	6165.0	6138.0	16312.0	2012.0	5042.0	1409.0	4285.0	9108.0	579.0	3011.0	2283.0	32215.0	3246.0	4106.0	4139.0	2970.0	9509.0	5271.0	7910.0	6823.0	3612.0	1938.0	3937.0	2616.0	9688.0	12302.0	22976.0	13140.0	12612.0	11117.0	6753.0	4450.0	3223.0	3941.0	79437.0	4685.0	5173.0	3766.0	5433.0	5735.0	7038.0	4853.0	23082.0	7679.0	9149.0	8926.0	4717.0	1888.0	1217.0	5463.0	2173.0	5282.0	4832.0	3842.0	7201.0	2772.0	6673.0	8370.0	75188.0	3632.0	3491.0	5501.0	11428.0	5127.0	16318.0	22597.0	6678.0	7845.0	8546.0	8042.0	13642.0	22692.0	14981.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus
49bfb35cd3bdc0e4bb0c5e6249582813	1561.0	1801.0	1934.0	13235.0	3539.0	1776.0	1837.0	2511.0	2517.0	2773.0	0.0	4816.0	4019.0	2402.0	1438.0	2368.0	1130.0	5540.0	2236.0	16049.0	3584.0	2181.0	1548.0	4361.0	1426.0	4878.0	3976.0	6697.0	2400.0	1351.0	1303.0	2488.0	1501.0	9989.0	2351.0	28606.0	3036.0	2585.0	2891.0	3702.0	6468.0	2122.0	12093.0	6536.0	2459.0	1626.0	2483.0	1423.0	4215.0	4665.0	10864.0	2294.0	2606.0	4302.0	3318.0	2808.0	3816.0	3507.0	24514.0	3250.0	2031.0	3757.0	3255.0	3948.0	17297.0	2827.0	27701.0	3492.0	4216.0	4352.0	3489.0	4453.0	10201.0	11269.0	27896.0	6555.0	4125.0	5433.0	19970.0	3575.0	5342.0	6561.0	31577.0	4273.0	2106.0	3003.0	8341.0	2825.0	5816.0	24164.0	2334.0	3691.0	3354.0	5989.0	5967.0	9063.0	5482.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_reuteri
264a2469ce30dc5ac718d48345a2b481	3115.0	6352.0	3072.0	23599.0	701.0	1682.0	3683.0	3498.0	4245.0	4768.0	0.0	11476.0	1973.0	11295.0	5573.0	6141.0	17.0	4127.0	84.0	11714.0	285.0	3460.0	678.0	2213.0	941.0	1990.0	49.0	9010.0	297.0	15.0	2952.0	1181.0	1320.0	415.0	1817.0	19910.0	1812.0	5045.0	4990.0	783.0	1988.0	4478.0	601.0	492.0	143.0	16.0	35.0	36.0	70.0	72.0	6252.0	23.0	20.0	57.0	37.0	6738.0	3270.0	4252.0	13156.0	5003.0	2282.0	2858.0	2599.0	3092.0	161.0	3686.0	8758.0	224.0	203.0	138.0	235.0	2850.0	164.0	1458.0	773.0	2644.0	8363.0	2368.0	29139.0	7985.0	3202.0	22340.0	55134.0	1497.0	2132.0	2222.0	12856.0	10291.0	10352.0	56628.0	12829.0	11515.0	11807.0	12740.0	214.0	3941.0	2345.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Turicibacter
4b7291508f8906cfda4c70462c076778	11705.0	34234.0	13143.0	89885.0	11543.0	6038.0	11964.0	16292.0	6935.0	13791.0	0.0	28030.0	14200.0	7289.0	8270.0	11065.0	598.0	4145.0	911.0	15870.0	1851.0	2959.0	2551.0	2772.0	758.0	5925.0	431.0	4529.0	626.0	207.0	536.0	1817.0	16512.0	173.0	18762.0	31.0	21112.0	16934.0	9080.0	1330.0	6.0	6402.0	0.0	2163.0	354.0	0.0	0.0	229.0	16.0	531.0	78.0	554.0	774.0	581.0	35.0	7267.0	23.0	5371.0	3655.0	5679.0	403.0	104.0	151.0	146.0	0.0	823.0	6.0	177.0	233.0	6.0	0.0	3648.0	61.0	9471.0	0.0	3675.0	8052.0	1268.0	1926.0	2664.0	15.0	7984.0	9.0	525.0	244.0	46.0	224.0	1665.0	188.0	36.0	2314.0	1248.0	398.0	1861.0	310.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Faecalibaculum; s__uncultured_bacterium
4a4d11bb32e68079b4c71483bf0fcf36	8354.0	9321.0	6635.0	19933.0	5264.0	5354.0	4625.0	5722.0	5069.0	10406.0	51.0	11736.0	6925.0	3350.0	3897.0	4303.0	9024.0	6863.0	8136.0	18343.0	6143.0	5021.0	5368.0	7657.0	13188.0	13592.0	8406.0	24852.0	9772.0	9022.0	4514.0	8527.0	10027.0	1316.0	2051.0	5952.0	1870.0	355.0	426.0	716.0	1073.0	4657.0	2659.0	2160.0	963.0	1088.0	1127.0	11483.0	1437.0	6939.0	3219.0	3113.0	2840.0	987.0	296.0	4992.0	902.0	4267.0	2797.0	3178.0	1233.0	506.0	463.0	4184.0	6443.0	8527.0	4412.0	4489.0	5123.0	2389.0	787.0	6889.0	433.0	23023.0	2071.0	1949.0	2000.0	225.0	513.0	6892.0	2713.0	13011.0	6638.0	2843.0	2989.0	459.0	3247.0	6841.0	1465.0	3927.0	1342.0	595.0	296.0	1143.0	10389.0	31.0	48.0	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia_muciniphila
c76e8efd6f1471a1e82416dc263ae7b8	848.0	815.0	519.0	2047.0	2407.0	1408.0	662.0	1255.0	681.0	922.0	0.0	720.0	1311.0	569.0	722.0	1109.0	1039.0	3693.0	10640.0	5283.0	10232.0	3579.0	5807.0	2465.0	1770.0	5206.0	4084.0	11497.0	6476.0	9131.0	800.0	1009.0	224.0	2083.0	422.0	7920.0	2218.0	1732.0	1023.0	666.0	1820.0	382.0	2308.0	3746.0	1070.0	256.0	446.0	4863.0	17446.0	3438.0	111066.0	4374.0	2956.0	6467.0	7366.0	1169.0	12720.0	781.0	32641.0	2857.0	1364.0	697.0	635.0	242.0	5193.0	4937.0	22445.0	989.0	975.0	1863.0	441.0	742.0	4556.0	11063.0	11119.0	1114.0	826.0	1988.0	2993.0	5338.0	2188.0	8743.0	12315.0	8339.0	942.0	558.0	2236.0	1622.0	2265.0	23941.0	1916.0	1160.0	1086.0	844.0	5168.0	0.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus_murinus
88b39899fb8da9a1935e05399f1313af	4980.0	3990.0	3822.0	11986.0	4392.0	4137.0	2949.0	4199.0	5216.0	5227.0	0.0	9533.0	5040.0	2531.0	3048.0	2690.0	8721.0	4358.0	8098.0	11642.0	5372.0	4612.0	5093.0	6636.0	8424.0	8324.0	6005.0	19341.0	5349.0	6955.0	4331.0	5498.0	4920.0	2237.0	1190.0	8140.0	1547.0	282.0	625.0	1403.0	2594.0	2678.0	6896.0	1240.0	1974.0	2213.0	2031.0	10700.0	4004.0	5700.0	10590.0	3178.0	2339.0	1587.0	1685.0	2864.0	2142.0	2026.0	6649.0	1081.0	1410.0	1609.0	1716.0	2774.0	6565.0	5496.0	10727.0	1714.0	2743.0	1728.0	1233.0	4613.0	981.0	14784.0	4253.0	1883.0	1557.0	1035.0	829.0	4116.0	4865.0	7985.0	12264.0	1863.0	3597.0	1457.0	4495.0	2662.0	1737.0	5473.0	725.0	1757.0	332.0	1612.0	9013.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_acidifaciens
9555baaac96eee14c715e06d0addd470	3783.0	2997.0	2979.0	8466.0	3092.0	2807.0	1979.0	2924.0	3611.0	3935.0	17.0	7004.0	3504.0	1881.0	2090.0	1765.0	6093.0	3315.0	5634.0	7691.0	3673.0	3060.0	3544.0	4475.0	5929.0	6383.0	3851.0	13686.0	3653.0	4939.0	2833.0	4018.0	3452.0	1682.0	820.0	5397.0	1083.0	188.0	496.0	899.0	1744.0	1856.0	4935.0	914.0	1415.0	1636.0	1411.0	7588.0	2701.0	3959.0	7044.0	2076.0	1599.0	1133.0	1088.0	1964.0	1591.0	1347.0	4383.0	763.0	973.0	1023.0	1190.0	2043.0	4435.0	3957.0	7194.0	1306.0	1831.0	1154.0	874.0	3084.0	666.0	10366.0	3100.0	1378.0	1025.0	767.0	603.0	2840.0	3276.0	5339.0	8247.0	1442.0	2419.0	859.0	3049.0	1859.0	1238.0	3679.0	495.0	1258.0	202.0	1151.0	6168.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides_acidifaciens
