# Constructed from biom file
#OTU ID	DP097_S97_L001	DP098_S98_L001	DP099_S99_L001	DP100_S100_L001	DP101_S101_L001	DP102_S102_L001	DP103_S103_L001	DP104_S104_L001	DP105_S105_L001	DP106_S106_L001	DP107_S107_L001	DP108_S108_L001	DP109_S109_L001	DP110_S110_L001	DP111_S111_L001	DP112_S112_L001	DP113_S113_L001	DP114_S114_L001	DP115_S115_L001	DP116_S116_L001	DP117_S117_L001	DP118_S118_L001	DP120_S120_L001	DP121_S121_L001	DP122_S122_L001	DP123_S123_L001	DP124_S124_L001	DP125_S125_L001	DP126_S126_L001	DP127_S127_L001	DP128_S128_L001	DP129_S129_L001	DP130_S130_L001	DP131_S131_L001	DP132_S132_L001	DP133_S133_L001	DP134_S134_L001	DP135_S135_L001	DP136_S136_L001	DP137_S137_L001	DP138_S138_L001	DP139_S139_L001	DP140_S140_L001	DP141_S141_L001	DP142_S142_L001	DP143_S143_L001	DP144_S144_L001	DP145_S145_L001	DP146_S146_L001	DP147_S147_L001	DP148_S148_L001	DP150_S150_L001	DP151_S151_L001	DP152_S152_L001	DP153_S153_L001	DP154_S154_L001	DP155_S155_L001	DP156_S156_L001	DP157_S157_L001	DP158_S158_L001	DP159_S159_L001	DP160_S160_L001	DP161_S161_L001	DP162_S162_L001	DP163_S163_L001	DP164_S164_L001	DP165_S165_L001	DP166_S166_L001	DP167_S167_L001	DP168_S168_L001	DP169_S169_L001	DP170_S170_L001	DP171_S171_L001	DP172_S172_L001	DP173_S173_L001	DP174_S174_L001	DP175_S175_L001	DP176_S176_L001	DP177_S177_L001	DP178_S178_L001	DP179_S179_L001	DP180_S180_L001	DP181_S181_L001	DP182_S182_L001	DP183_S183_L001	DP184_S184_L001	DP185_S185_L001	DP186_S186_L001	DP187_S187_L001	DP188_S188_L001	DP189_S189_L001	DP191_S291_L001	DP192_S292_L001	DP193_S193_L001	DP194_S194_L001	DP195_S195_L001	DP196_S196_L001	DP197_S197_L001	DP198_S198_L001	DP199_S199_L001	DP200_S200_L001	DP201_S201_L001	DP202_S202_L001	DP203_S203_L001	DP204_S204_L001	DP205_S205_L001	DP206_S206_L001	DP207_S207_L001	DP208_S208_L001	DP209_S209_L001	DP210_S210_L001	DP211_S211_L001	DP212_S212_L001	DP214_S214_L001	DP215_S215_L001	DP216_S216_L001	DP217_S217_L001	DP218_S218_L001	DP219_S219_L001	DP220_S220_L001	DP221_S221_L001	DP222_S222_L001	DP223_S223_L001	DP224_S224_L001	DP225_S225_L001	DP227_S227_L001	DP228_S228_L001	DP229_S229_L001	DP230_S230_L001	DP231_S231_L001	DP233_S233_L001	DP234_S234_L001	DP235_S235_L001	DP236_S236_L001	DP237_S237_L001	DP238_S238_L001	DP239_S239_L001	DP241_S241_L001	DP242_S242_L001	DP243_S243_L001	DP245_S245_L001	DP246_S246_L001	DP247_S247_L001	DP249_S249_L001	DP250_S250_L001	DP251_S251_L001	DP252_S252_L001	DP253_S253_L001	DP254_S254_L001	DP255_S255_L001	DP257_S257_L001	DP258_S258_L001	DP259_S259_L001	DP260_S260_L001	DP261_S261_L001	DP262_S262_L001	DP263_S263_L001	DP265_S265_L001	DP266_S266_L001	DP267_S267_L001	DP268_S268_L001	DP269_S269_L001	DP270_S270_L001	DP271_S271_L001	DP273_S273_L001	DP274_S274_L001	DP275_S275_L001	DP276_S276_L001	DP277_S277_L001	DP278_S278_L001	DP279_S279_L001	DP281_S281_L001	DP282_S282_L001	DP283_S283_L001	DP284_S284_L001	DP285_S285_L001	DP286_S286_L001	DP287_S293_L001
7b28c20e72c6c95b3e604f0849245770	11322.0	85944.0	59070.0	17839.0	9977.0	97657.0	363.0	22144.0	36643.0	30021.0	141487.0	35298.0	4137.0	46134.0	1307.0	8045.0	22140.0	199905.0	103113.0	12157.0	6168.0	102963.0	7677.0	20761.0	98208.0	87204.0	20510.0	21770.0	7439.0	79196.0	459.0	4149.0	209661.0	125519.0	8194.0	24857.0	26398.0	101899.0	3559.0	100.0	223135.0	64022.0	4151.0	17437.0	17619.0	84411.0	121653.0	77.0	63021.0	38498.0	212.0	7198.0	121029.0	115114.0	91.0	180086.0	141330.0	5091.0	5794.0	23272.0	22575.0	80454.0	168.0	110625.0	150191.0	143922.0	4567.0	14043.0	27200.0	163352.0	5061.0	91656.0	136828.0	94061.0	853.0	4236.0	13173.0	3258.0	43894.0	131518.0	15692.0	77529.0	1398.0	2372.0	22459.0	82142.0	51615.0	105265.0	16074.0	143844.0	84082.0	4217.0	3795.0	40709.0	140184.0	119465.0	82720.0	71318.0	168372.0	185.0	755.0	25397.0	106248.0	100004.0	74022.0	76689.0	147235.0	88399.0	35628.0	16356.0	68541.0	90122.0	80796.0	116322.0	195.0	41176.0	3886.0	97076.0	137866.0	86278.0	84097.0	59422.0	339.0	121.0	5011.0	121270.0	67506.0	102763.0	118759.0	75982.0	1160.0	32182.0	14200.0	21509.0	49567.0	94548.0	2810.0	2531.0	22390.0	13839.0	38362.0	77672.0	108832.0	147882.0	17085.0	6372.0	28143.0	13059.0	21215.0	18964.0	142624.0	277140.0	128095.0	28798.0	35011.0	53423.0	321.0	149802.0	311361.0	197570.0	95577.0	20761.0	31085.0	55871.0	119016.0	197856.0	97460.0	60788.0	109657.0	101762.0	16195.0	181654.0	281286.0	148081.0	133476.0	148813.0	429.0	1393.0
5292f29cab69c370997bcb039ef68d64	59315.0	73236.0	55915.0	69309.0	65098.0	51502.0	317.0	69647.0	50149.0	91524.0	101384.0	100699.0	45410.0	45426.0	308.0	300.0	48080.0	191961.0	123911.0	54410.0	65275.0	87634.0	269.0	108376.0	86534.0	77287.0	91997.0	65006.0	69619.0	58731.0	273.0	28234.0	130332.0	83062.0	326.0	93431.0	92904.0	96211.0	242.0	53038.0	135451.0	62626.0	394.0	93458.0	89758.0	61201.0	64171.0	236.0	56917.0	26579.0	169.0	34627.0	56712.0	70835.0	243.0	86629.0	78175.0	413.0	216.0	71623.0	64686.0	25357.0	3589.0	63504.0	131284.0	97871.0	2394.0	67003.0	68147.0	39199.0	126655.0	211091.0	77877.0	45401.0	418.0	454.0	46541.0	16860.0	70303.0	54484.0	85290.0	51059.0	339.0	348.0	62757.0	104677.0	77538.0	157551.0	136035.0	97080.0	38669.0	36684.0	38881.0	100406.0	82140.0	57855.0	72581.0	42262.0	67168.0	340.0	43441.0	99859.0	56282.0	60232.0	64287.0	55727.0	50126.0	55125.0	75433.0	55875.0	48240.0	41517.0	55575.0	82091.0	396.0	65999.0	518.0	79216.0	63484.0	63312.0	66161.0	30833.0	347.0	18819.0	434.0	76163.0	53243.0	64517.0	33243.0	35659.0	508.0	88081.0	79878.0	79283.0	35553.0	41135.0	296.0	228.0	56619.0	38702.0	47089.0	51892.0	112.0	74751.0	55424.0	19660.0	60403.0	40744.0	43409.0	39942.0	107353.0	80474.0	72722.0	66775.0	95096.0	78753.0	308.0	164177.0	94231.0	106809.0	53127.0	86403.0	63607.0	82967.0	72177.0	127260.0	88276.0	55824.0	35643.0	62269.0	62150.0	143953.0	105590.0	93748.0	136770.0	43693.0	423.0	15540.0
0df6c802966e8670279671824da4f10a	13285.0	13683.0	3819.0	26267.0	747.0	2790.0	6730.0	4104.0	33699.0	7858.0	7260.0	13785.0	1586.0	5150.0	25580.0	69867.0	13179.0	14880.0	11273.0	6875.0	1275.0	18047.0	130967.0	30743.0	14512.0	23241.0	1397.0	8794.0	21715.0	15613.0	81827.0	3252.0	39225.0	3985.0	125612.0	8944.0	6689.0	25196.0	33344.0	10901.0	18688.0	4141.0	170217.0	2487.0	31448.0	24608.0	18012.0	42.0	13844.0	7319.0	29334.0	6517.0	5555.0	24575.0	240.0	60354.0	13104.0	54641.0	160050.0	13206.0	33793.0	3033.0	81.0	23127.0	36603.0	8541.0	17809.0	2153.0	9349.0	2027.0	5934.0	10072.0	14741.0	2824.0	27273.0	61488.0	32566.0	2509.0	13259.0	18008.0	9685.0	15964.0	17844.0	24971.0	1999.0	9499.0	9175.0	13051.0	16898.0	27542.0	16780.0	1632.0	11453.0	16805.0	14562.0	3597.0	7944.0	5517.0	20101.0	15110.0	2549.0	33779.0	16829.0	1504.0	10841.0	7464.0	15669.0	8547.0	32332.0	935.0	7399.0	2158.0	8539.0	11575.0	6120.0	28667.0	53493.0	34781.0	8968.0	6226.0	15503.0	18716.0	23557.0	99.0	114083.0	20912.0	7005.0	18422.0	14839.0	15854.0	125711.0	24709.0	9413.0	14647.0	2090.0	11525.0	106095.0	30431.0	12980.0	3310.0	7220.0	17714.0	5967.0	19178.0	1736.0	419.0	14268.0	6845.0	5704.0	12885.0	5092.0	17156.0	16041.0	2556.0	15284.0	7896.0	1188.0	18128.0	2869.0	1478.0	6535.0	6034.0	7551.0	11800.0	6296.0	32927.0	6190.0	766.0	13545.0	21107.0	17135.0	28656.0	13619.0	8461.0	21871.0	6724.0	17924.0	857.0
851c7990fae0a661eacab06f0e5e2775	11689.0	10999.0	14590.0	11217.0	9803.0	15661.0	91.0	8478.0	13696.0	8692.0	19615.0	11965.0	4750.0	11476.0	66.0	80.0	9332.0	35989.0	16238.0	7839.0	10191.0	21039.0	61.0	8659.0	50369.0	31291.0	7467.0	9634.0	12391.0	15069.0	95.0	1645.0	21375.0	20952.0	101.0	18178.0	22928.0	20648.0	69.0	33583.0	20220.0	17333.0	114.0	10381.0	16654.0	27985.0	23833.0	10941.0	13906.0	8133.0	49.0	3850.0	18188.0	24956.0	7523.0	39713.0	37004.0	99.0	62.0	9510.0	8866.0	10487.0	116.0	39637.0	51672.0	41871.0	654.0	5276.0	12773.0	15889.0	35242.0	27190.0	33117.0	26270.0	125.0	115.0	8828.0	1511.0	5241.0	16935.0	14874.0	25933.0	98.0	99.0	6585.0	17219.0	32958.0	19068.0	24224.0	39051.0	26062.0	3377.0	13282.0	17698.0	38923.0	36535.0	31036.0	28158.0	19159.0	4889.0	20208.0	10765.0	32552.0	15281.0	24428.0	31577.0	22331.0	31375.0	12623.0	3528.0	19591.0	27529.0	33721.0	44215.0	1088.0	10777.0	205.0	25657.0	26512.0	26632.0	27446.0	13917.0	66186.0	8924.0	130.0	23663.0	10668.0	32859.0	32950.0	26444.0	158.0	11008.0	17070.0	9877.0	12197.0	20930.0	108.0	76.0	7108.0	6086.0	9516.0	21961.0	27862.0	39620.0	15605.0	3465.0	6249.0	5737.0	6396.0	4775.0	52535.0	50939.0	44355.0	19705.0	12423.0	11730.0	125.0	48413.0	49805.0	50498.0	29527.0	26830.0	17636.0	28527.0	38695.0	46250.0	22269.0	19290.0	29639.0	27242.0	8887.0	75082.0	62982.0	49878.0	33009.0	19490.0	1486.0	1913.0
1dde417c45171347b0ec07088aa49839	32716.0	112.0	13711.0	43943.0	28862.0	83.0	70.0	31584.0	51443.0	155.0	23394.0	52202.0	12751.0	93.0	85.0	79.0	37353.0	132.0	19344.0	28520.0	28531.0	80.0	52.0	44619.0	937.0	26123.0	27278.0	43020.0	32282.0	67.0	48.0	13096.0	134.0	35373.0	94.0	41254.0	32984.0	53.0	38.0	58.0	627.0	24570.0	76.0	39409.0	51102.0	71.0	43.0	24.0	48.0	39.0	45.0	24946.0	32.0	36.0	59.0	234.0	77.0	179.0	48.0	33527.0	38642.0	49.0	48.0	33687.0	238.0	78.0	83.0	28138.0	12804.0	53.0	43.0	22809.0	58.0	56.0	61.0	58.0	35814.0	8409.0	40.0	41078.0	26711.0	50.0	54.0	69.0	30107.0	10502.0	53.0	32942.0	38418.0	64.0	63.0	10803.0	22695.0	63655.0	37687.0	21132.0	30252.0	28455.0	133.0	73.0	84.0	46633.0	32306.0	15667.0	15518.0	33381.0	19219.0	90.0	61440.0	19385.0	26548.0	23198.0	29409.0	72982.0	84.0	56697.0	110.0	36157.0	33756.0	27901.0	17519.0	3377.0	64.0	69.0	101.0	26053.0	15592.0	27080.0	21180.0	64.0	110.0	38537.0	37585.0	40729.0	17815.0	32677.0	65.0	70.0	53449.0	34645.0	15832.0	23439.0	33.0	82.0	42729.0	14473.0	27387.0	24129.0	21950.0	22965.0	93.0	98.0	108.0	54346.0	56849.0	40621.0	54.0	78.0	106.0	82.0	84.0	52703.0	47954.0	38.0	39117.0	98.0	95.0	87.0	367.0	77.0	22778.0	73935.0	76017.0	48137.0	123.0	99.0	108.0	58.0
e4ef1c7b616eb842c0ff7a327e83bd76	4759.0	31682.0	16949.0	6152.0	5327.0	26962.0	80.0	8679.0	7129.0	18506.0	17748.0	11022.0	3165.0	13893.0	65.0	70.0	3831.0	26242.0	20876.0	4071.0	4683.0	22180.0	47.0	4429.0	24457.0	22583.0	8012.0	6149.0	4841.0	17328.0	74.0	2390.0	25810.0	8574.0	64.0	8834.0	8701.0	22757.0	44.0	13662.0	35503.0	6096.0	81.0	12733.0	7594.0	38807.0	26003.0	698.0	4252.0	6469.0	52.0	2514.0	41248.0	20857.0	10669.0	21389.0	30743.0	70.0	36.0	4664.0	4429.0	15986.0	24342.0	18607.0	44068.0	31520.0	483.0	4784.0	5780.0	44590.0	39982.0	28484.0	40450.0	12739.0	84.0	76.0	5766.0	1040.0	9346.0	10490.0	4804.0	26725.0	65.0	61.0	5684.0	5851.0	27548.0	36996.0	10634.0	38389.0	28812.0	2437.0	3814.0	7248.0	28142.0	16563.0	23107.0	14547.0	23561.0	74337.0	2413.0	9174.0	23097.0	23224.0	22091.0	16688.0	17328.0	35183.0	6747.0	4105.0	22768.0	17657.0	20208.0	20022.0	391.0	4375.0	119.0	20899.0	28514.0	29068.0	22346.0	23022.0	40542.0	10931.0	109.0	21895.0	11761.0	22163.0	13276.0	35892.0	100.0	5759.0	4801.0	4757.0	13179.0	18470.0	75.0	60.0	5638.0	3445.0	10927.0	19239.0	24724.0	32007.0	5429.0	1783.0	4728.0	2726.0	2891.0	3235.0	48764.0	38526.0	38289.0	7128.0	8043.0	7888.0	136.0	48280.0	44526.0	54119.0	22678.0	7835.0	6560.0	5907.0	21236.0	39109.0	24901.0	17944.0	15410.0	33929.0	4304.0	48180.0	34203.0	25483.0	36987.0	18651.0	146.0	4626.0
938fbbe51af86d1d7ebd6817a0f0bd24	8030.0	7266.0	10569.0	6938.0	5955.0	14689.0	66.0	5730.0	9765.0	5864.0	14304.0	7734.0	2116.0	7021.0	44.0	43.0	4853.0	25959.0	10859.0	5261.0	6219.0	19423.0	49.0	5970.0	36015.0	24610.0	5168.0	6634.0	7769.0	8515.0	63.0	1072.0	15314.0	15508.0	69.0	12668.0	10393.0	18275.0	53.0	22581.0	13987.0	12465.0	64.0	6705.0	9677.0	19279.0	15209.0	7417.0	10057.0	7095.0	56.0	2645.0	16771.0	24197.0	4943.0	29924.0	24338.0	71.0	47.0	6373.0	5237.0	7664.0	76.0	29576.0	35419.0	27693.0	340.0	3635.0	5023.0	14930.0	23566.0	18256.0	27102.0	17018.0	81.0	85.0	4991.0	856.0	3536.0	11908.0	6857.0	18185.0	46.0	65.0	4276.0	6850.0	22430.0	13195.0	10716.0	30767.0	18872.0	2324.0	7449.0	12412.0	27986.0	24665.0	21270.0	19770.0	13562.0	4062.0	14595.0	7337.0	23364.0	10516.0	16598.0	21247.0	14749.0	21137.0	9008.0	2602.0	15200.0	19568.0	23728.0	31039.0	963.0	6334.0	138.0	17563.0	20755.0	20908.0	18339.0	9690.0	55695.0	4788.0	101.0	16761.0	7484.0	22339.0	23584.0	19132.0	119.0	7013.0	10540.0	6295.0	9417.0	16807.0	72.0	79.0	4338.0	3541.0	6881.0	15752.0	19971.0	27458.0	4965.0	1192.0	3561.0	3532.0	3829.0	2926.0	37285.0	36742.0	30074.0	6169.0	6804.0	5817.0	94.0	33812.0	35630.0	35602.0	20104.0	8498.0	5328.0	21733.0	27012.0	32697.0	15723.0	13261.0	21017.0	19353.0	5351.0	53136.0	44575.0	33473.0	22885.0	13654.0	1261.0	1451.0
df0e3d38eec730326754d8c17a8b8efe	101.0	14785.0	12687.0	360.0	42.0	5317.0	342.0	23161.0	26301.0	4762.0	15402.0	21393.0	59.0	6591.0	113.0	17111.0	14745.0	48061.0	24620.0	10857.0	71.0	5194.0	19059.0	24337.0	22348.0	12204.0	17228.0	3709.0	44.0	10547.0	1442.0	244.0	52191.0	25338.0	22929.0	13874.0	73.0	16067.0	297.0	12504.0	26088.0	9007.0	16892.0	10664.0	133.0	15850.0	19313.0	33.0	3054.0	5416.0	2496.0	6812.0	4949.0	15769.0	58.0	14572.0	34185.0	2458.0	31740.0	6482.0	41.0	1661.0	368.0	15937.0	14924.0	29539.0	4215.0	17947.0	116.0	3755.0	32107.0	27837.0	14117.0	15493.0	3676.0	18179.0	414.0	59.0	3786.0	14040.0	77.0	14861.0	96.0	8325.0	8566.0	108.0	16544.0	23983.0	115.0	14283.0	7770.0	4855.0	76.0	350.0	4815.0	717.0	4481.0	15881.0	10178.0	101.0	22110.0	16417.0	13434.0	316.0	132.0	2034.0	3548.0	29324.0	41863.0	14190.0	23889.0	5739.0	14448.0	571.0	9658.0	22228.0	5646.0	9415.0	18233.0	7069.0	144.0	521.0	2663.0	14424.0	2934.0	2677.0	2756.0	15089.0	8136.0	4991.0	417.0	30373.0	2538.0	9902.0	10913.0	5517.0	25168.0	286.0	9465.0	1500.0	5391.0	3442.0	9691.0	39347.0	24042.0	3260.0	5077.0	4863.0	3180.0	21985.0	37658.0	35554.0	36520.0	32143.0	13924.0	10245.0	19910.0	6430.0	22763.0	40803.0	13822.0	5394.0	12016.0	16005.0	12193.0	5392.0	15917.0	28334.0	17945.0	12374.0	19877.0	33360.0	19472.0	1596.0	4494.0	9894.0	18178.0	11259.0
6f1cbae792de3e1162d3d7dffbe4bb20	10284.0	16987.0	11940.0	8242.0	698.0	8596.0	46.0	35941.0	65217.0	4908.0	8884.0	17384.0	1065.0	9130.0	53.0	76.0	16632.0	21590.0	6148.0	8384.0	446.0	4050.0	34.0	30910.0	13648.0	10516.0	25611.0	10733.0	5926.0	11770.0	53.0	2808.0	30037.0	23281.0	62.0	1983.0	3129.0	17910.0	42.0	1207.0	29347.0	9650.0	73.0	16134.0	7275.0	9418.0	8277.0	34.0	874.0	4899.0	32.0	3842.0	10954.0	17244.0	94.0	124.0	40288.0	71.0	34.0	306.0	10226.0	1147.0	93.0	18523.0	26080.0	24368.0	281.0	13706.0	3849.0	4042.0	1347.0	25785.0	43128.0	8846.0	66.0	54.0	6829.0	782.0	15158.0	21878.0	21976.0	5567.0	40.0	37.0	627.0	4478.0	17435.0	18656.0	9035.0	29124.0	5251.0	192.0	1592.0	6270.0	31128.0	1029.0	3084.0	2279.0	12355.0	20843.0	3725.0	4818.0	14542.0	1177.0	1604.0	5039.0	4087.0	2322.0	60465.0	4750.0	19179.0	1334.0	7746.0	5195.0	4895.0	27366.0	105.0	25498.0	14658.0	2177.0	6038.0	7158.0	16955.0	53.0	96.0	7823.0	1350.0	14211.0	9644.0	8806.0	96.0	36629.0	4740.0	15455.0	350.0	986.0	55.0	44.0	38489.0	3897.0	542.0	2033.0	73.0	37338.0	47208.0	5838.0	7543.0	13406.0	4577.0	13476.0	57874.0	27986.0	13182.0	47678.0	6807.0	2371.0	2136.0	32661.0	14163.0	4990.0	5596.0	35339.0	45109.0	9728.0	15616.0	37450.0	2676.0	2250.0	8582.0	16223.0	15148.0	37370.0	23855.0	7089.0	16283.0	4286.0	4418.0	645.0
721bbde09abf2f51fc7d8caeab5b22f1	252.0	6252.0	4615.0	802.0	58.0	4824.0	214.0	12200.0	16954.0	10726.0	9574.0	16153.0	257.0	1961.0	64.0	1930.0	4455.0	45779.0	6737.0	2138.0	79.0	9501.0	114.0	879.0	21187.0	9666.0	7506.0	4859.0	47.0	3934.0	595.0	86.0	24872.0	48802.0	650.0	15407.0	4950.0	9702.0	72.0	142.0	16984.0	7296.0	298.0	7321.0	129.0	14502.0	24636.0	29.0	9379.0	2168.0	630.0	3353.0	8428.0	12295.0	24.0	6952.0	16743.0	306.0	1710.0	4035.0	173.0	2866.0	28.0	5743.0	10258.0	13461.0	130.0	4086.0	7037.0	6288.0	7125.0	11942.0	15105.0	6288.0	999.0	544.0	165.0	42.0	4245.0	16515.0	150.0	17126.0	90.0	79.0	1593.0	12515.0	17679.0	8703.0	529.0	35773.0	20600.0	1476.0	17.0	238.0	5764.0	1004.0	2394.0	5117.0	13100.0	17183.0	12981.0	5589.0	19403.0	427.0	95.0	3055.0	1482.0	15309.0	22150.0	3089.0	11132.0	3646.0	9161.0	230.0	9441.0	5387.0	391.0	14184.0	11499.0	4631.0	81.0	143.0	855.0	1698.0	101.0	6314.0	4241.0	12395.0	8347.0	7305.0	349.0	20263.0	3010.0	11903.0	5341.0	8787.0	1352.0	66.0	11537.0	5086.0	9608.0	8857.0	21826.0	11315.0	9571.0	721.0	4317.0	7620.0	6552.0	8221.0	12994.0	9264.0	9348.0	4157.0	16366.0	6397.0	4579.0	18511.0	5378.0	13778.0	3136.0	1213.0	4067.0	17941.0	4094.0	24552.0	10794.0	4124.0	6698.0	20532.0	4729.0	22517.0	10811.0	1311.0	8736.0	3434.0	3958.0	1797.0
