#SampleID	forward-absolute-filepath	reverse-absolute-filepath	samplename	name	location	experimenter
DP097_S97_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP097_S97_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP097_S97_L001_R2_001.fastq.gz	Am_C1M2_Dx28	DP097	Plate1_G12	Deanna
DP098_S98_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP098_S98_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP098_S98_L001_R2_001.fastq.gz	Am_C3M1_D0	DP098	Plate1_H12	Deanna
DP099_S99_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP099_S99_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP099_S99_L001_R2_001.fastq.gz	Am_C3M3_D14	DP099	Plate2_A1	Deanna
DP100_S100_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP100_S100_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP100_S100_L001_R2_001.fastq.gz	Se_C2M2_D0_M	DP100	Plate2_B1	Deanna
DP101_S101_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP101_S101_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP101_S101_L001_R2_001.fastq.gz	Se_C1M2_D1_M	DP101	Plate2_C1	Deanna
DP102_S102_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP102_S102_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP102_S102_L001_R2_001.fastq.gz	Se_C4M2_D2_N	DP102	Plate2_D1	Deanna
DP103_S103_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP103_S103_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP103_S103_L001_R2_001.fastq.gz	Se_C3M1_D2_C	DP103	Plate2_E1	Deanna
DP104_S104_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP104_S104_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP104_S104_L001_R2_001.fastq.gz	Se_C4M1_D3_M	DP104	Plate2_F1	Deanna
DP105_S105_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP105_S105_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP105_S105_L001_R2_001.fastq.gz	Am_C2M1_Dx28	DP105	Plate2_G1	Deanna
DP106_S106_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP106_S106_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP106_S106_L001_R2_001.fastq.gz	Am_C4M2_D0	DP106	Plate2_H1	Deanna
DP107_S107_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP107_S107_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP107_S107_L001_R2_001.fastq.gz	Am_C1M4_D21	DP107	Plate2_A2	Deanna
DP108_S108_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP108_S108_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP108_S108_L001_R2_001.fastq.gz	Se_C3M1_D0_M	DP108	Plate2_B2	Deanna
DP109_S109_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP109_S109_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP109_S109_L001_R2_001.fastq.gz	Se_C1M3_D1_M	DP109	Plate2_C2	Deanna
DP110_S110_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP110_S110_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP110_S110_L001_R2_001.fastq.gz	Se_C1M1_D2_N	DP110	Plate2_D2	Deanna
DP111_S111_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP111_S111_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP111_S111_L001_R2_001.fastq.gz	Se_C4M1_D2_C	DP111	Plate2_E2	Deanna
DP112_S112_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP112_S112_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP112_S112_L001_R2_001.fastq.gz	Se_C1M1_D3_C	DP112	Plate2_F2	Deanna
DP113_S113_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP113_S113_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP113_S113_L001_R2_001.fastq.gz	Am_C3M1_Dx28	DP113	Plate2_G2	Deanna
DP114_S114_L001	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP114_S114_L001_R1_001.fastq.gz	/mnt/c/Users/Apsara/Tropini_data/2023_09_MB_DP/raw_data/DP114_S114_L001_R2_001.fastq.gz	Am_C5M1_D0	DP114	Plate2_H2	Deanna
