Cage,Treatment,Sex,Day,MouseID,Weight,Percent_Change
1,PEG,F,0,C1M1,33,0
1,PEG,F,0,C1M2,33.2,0
2,PEG,F,0,C2M1,32,0
2,PEG,F,0,C2M2,32.1,0
3,PEG,M,0,C3M1,44.7,0
3,PEG,M,0,C3M2,37.2,0
4,PEG,M,0,C4M1,34.5,0
4,PEG,M,0,C4M2,42.6,0
5,MB-,F,0,C5M1,38.5,0
5,MB-,F,0,C5M2,32.3,0
5,MB-,F,0,C5M3,31.3,0
6,MB-,M,0,C6M1,37.5,0
6,MB-,M,0,C6M2,36,0
7,MB-,M,0,C7M1,34.8,0
7,MB-,M,0,C7M2,36.9,0
1,PEG,F,1,C1M1,31.9,-3.333333333
1,PEG,F,1,C1M2,32.7,-1.506024096
2,PEG,F,1,C2M1,31.6,-1.25
2,PEG,F,1,C2M2,31.3,-2.492211838
3,PEG,M,1,C3M1,40.9,-8.501118568
3,PEG,M,1,C3M2,33.3,-10.48387097
4,PEG,M,1,C4M1,33.8,-2.028985507
4,PEG,M,1,C4M2,42,-1.408450704
5,MB-,F,1,C5M1,38,-1.298701299
5,MB-,F,1,C5M2,31.7,-1.857585139
5,MB-,F,1,C5M3,30,-4.153354633
6,MB-,M,1,C6M1,36.7,-2.133333333
6,MB-,M,1,C6M2,35.4,-1.666666667
7,MB-,M,1,C7M1,34.3,-1.436781609
7,MB-,M,1,C7M2,36.4,-1.35501355
1,PEG,F,2,C1M1,31.4,-4.848484848
1,PEG,F,2,C1M2,32.6,-1.807228916
2,PEG,F,2,C2M1,32.6,1.875
2,PEG,F,2,C2M2,31.3,-2.492211838
3,PEG,M,2,C3M1,40,-10.51454139
3,PEG,M,2,C3M2,33.6,-9.677419355
4,PEG,M,2,C4M1,33.9,-1.739130435
4,PEG,M,2,C4M2,42.1,-1.17370892
5,MB-,F,2,C5M1,37.6,-2.337662338
5,MB-,F,2,C5M2,31.4,-2.786377709
5,MB-,F,2,C5M3,30.7,-1.916932907
6,MB-,M,2,C6M1,35.8,-4.533333333
6,MB-,M,2,C6M2,34.9,-3.055555556
7,MB-,M,2,C7M1,34,-2.298850575
7,MB-,M,2,C7M2,36,-2.43902439
1,PEG,F,3,C1M1,31.3,-5.151515152
1,PEG,F,3,C1M2,32.6,-1.807228916
2,PEG,F,3,C2M1,31.9,-0.3125
2,PEG,F,3,C2M2,30.2,-5.919003115
3,PEG,M,3,C3M1,39.1,-12.52796421
3,PEG,M,3,C3M2,33,-11.29032258
4,PEG,M,3,C4M1,33.3,-3.47826087
4,PEG,M,3,C4M2,41.7,-2.112676056
5,MB-,F,3,C5M1,37.2,-3.376623377
5,MB-,F,3,C5M2,31.8,-1.547987616
5,MB-,F,3,C5M3,30.7,-1.916932907
6,MB-,M,3,C6M1,34.8,-7.2
6,MB-,M,3,C6M2,35.7,-0.833333333
7,MB-,M,3,C7M1,31.5,-9.482758621
7,MB-,M,3,C7M2,35.8,-2.98102981
1,PEG,F,4,C1M1,30.8,-6.666666667
1,PEG,F,4,C1M2,28.9,-12.95180723
2,PEG,F,4,C2M1,29.8,-6.875
2,PEG,F,4,C2M2,28.7,-10.59190031
3,PEG,M,4,C3M1,37.5,-16.10738255
3,PEG,M,4,C3M2,34.1,-8.333333333
4,PEG,M,4,C4M1,33.3,-3.47826087
4,PEG,M,4,C4M2,40.4,-5.164319249
5,MB-,F,4,C5M1,36.9,-4.155844156
5,MB-,F,4,C5M2,32.7,1.238390093
5,MB-,F,4,C5M3,30.5,-2.555910543
6,MB-,M,4,C6M1,35,-6.666666667
6,MB-,M,4,C6M2,35,-2.777777778
7,MB-,M,4,C7M1,29.5,-15.22988506
7,MB-,M,4,C7M2,35.3,-4.33604336
1,PEG,F,5,C1M1,29.1,-11.81818182
1,PEG,F,5,C1M2,28.5,-14.15662651
2,PEG,F,5,C2M1,29.7,-7.1875
2,PEG,F,5,C2M2,27.1,-15.57632399
3,PEG,M,5,C3M1,34.5,-22.81879195
3,PEG,M,5,C3M2,32,-13.97849462
4,PEG,M,5,C4M1,33.6,-2.608695652
4,PEG,M,5,C4M2,40.8,-4.225352113
5,MB-,F,5,C5M1,37.3,-3.116883117
5,MB-,F,5,C5M2,32.3,0
5,MB-,F,5,C5M3,30.3,-3.194888179
6,MB-,M,5,C6M1,36.3,-3.2
6,MB-,M,5,C6M2,35.4,-1.666666667
7,MB-,M,5,C7M1,28.7,-17.52873563
7,MB-,M,5,C7M2,35.6,-3.52303523
1,PEG,F,6,C1M1,27.2,-17.57575758
1,PEG,F,6,C1M2,28.1,-15.36144578
2,PEG,F,6,C2M1,28.8,-10
2,PEG,F,6,C2M2,26.3,-18.06853583
3,PEG,M,6,C3M1,32.8,-26.62192394
3,PEG,M,6,C3M2,31.4,-15.59139785
4,PEG,M,6,C4M1,32.6,-5.507246377
4,PEG,M,6,C4M2,41.5,-2.582159624
5,MB-,F,6,C5M1,37.2,-3.376623377
5,MB-,F,6,C5M2,31.70,-1.857585139
5,MB-,F,6,C5M3,29.8,-4.792332268
6,MB-,M,6,C6M1,34.9,-6.933333333
6,MB-,M,6,C6M2,35.3,-1.944444444
7,MB-,M,6,C7M1,28.2,-18.96551724
7,MB-,M,6,C7M2,33.9,-8.130081301
