"Genome","Source","n","Species"
"16COLB","animal",4,"MB"
"16COLB","dextran",1,"MB"
"16COLB","fungal",4,"MB"
"16COLB","mucin",1,"MB"
"16COLB","pg",4,"MB"
"16COLB","plant",17,"MB"
"16COLB","starch",15,"MB"
"16COLB","sucrose",5,"MB"
"16COLB",NA,8,"MB"
"3SKV","animal",17,"MB"
"3SKV","fungal",1,"MB"
"3SKV","mucin",9,"MB"
"3SKV","pg",3,"MB"
"3SKV","plant",25,"MB"
"3SKV","starch",7,"MB"
"3SKV",NA,14,"MB"
"7BRU","animal",20,"MB"
"7BRU","fungal",2,"MB"
"7BRU","mucin",12,"MB"
"7BRU","pg",5,"MB"
"7BRU","plant",32,"MB"
"7BRU","starch",11,"MB"
"7BRU","sucrose",1,"MB"
"7BRU",NA,18,"MB"
"7FAA","animal",5,"MB"
"7FAA","dextran",2,"MB"
"7FAA","fungal",4,"MB"
"7FAA","pg",5,"MB"
"7FAA","plant",8,"MB"
"7FAA","starch",15,"MB"
"7FAA","sucrose",2,"MB"
"7FAA",NA,8,"MB"
"7GAM","animal",28,"MB"
"7GAM","fungal",5,"MB"
"7GAM","mucin",15,"MB"
"7GAM","pg",6,"MB"
"7GAM","plant",69,"MB"
"7GAM","starch",9,"MB"
"7GAM",NA,27,"MB"
"8CFAA","animal",28,"MB"
"8CFAA","dextran",1,"MB"
"8CFAA","fungal",5,"MB"
"8CFAA","mucin",14,"MB"
"8CFAA","pg",7,"MB"
"8CFAA","plant",25,"MB"
"8CFAA","starch",9,"MB"
"8CFAA","sucrose",2,"MB"
"8CFAA",NA,17,"MB"
"8FAA","animal",28,"MB"
"8FAA","dextran",1,"MB"
"8FAA","fungal",5,"MB"
"8FAA","mucin",14,"MB"
"8FAA","pg",7,"MB"
"8FAA","plant",25,"MB"
"8FAA","starch",9,"MB"
"8FAA","sucrose",2,"MB"
"8FAA",NA,16,"MB"
"8FAAM","animal",4,"MB"
"8FAAM","dextran",1,"MB"
"8FAAM","fungal",4,"MB"
"8FAAM","mucin",1,"MB"
"8FAAM","pg",5,"MB"
"8FAAM","plant",17,"MB"
"8FAAM","starch",15,"MB"
"8FAAM","sucrose",5,"MB"
"8FAAM",NA,8,"MB"
"8FB","animal",26,"MB"
"8FB","fungal",11,"MB"
"8FB","mucin",19,"MB"
"8FB","pg",6,"MB"
"8FB","plant",11,"MB"
"8FB","starch",4,"MB"
"8FB",NA,8,"MB"
"Akkermansia","animal",36,"non-MB"
"Akkermansia","fungal",15,"non-MB"
"Akkermansia","mucin",28,"non-MB"
"Akkermansia","plant",20,"non-MB"
"Akkermansia","starch",5,"non-MB"
"Akkermansia",NA,11,"non-MB"
"B_theta","animal",126,"non-MB"
"B_theta","dextran",1,"non-MB"
"B_theta","fungal",21,"non-MB"
"B_theta","mucin",66,"non-MB"
"B_theta","pg",4,"non-MB"
"B_theta","plant",122,"non-MB"
"B_theta","starch",9,"non-MB"
"B_theta","sucrose",4,"non-MB"
"B_theta",NA,72,"non-MB"
"DSM_28989_YL27","animal",38,"MB"
"DSM_28989_YL27","fungal",7,"MB"
"DSM_28989_YL27","mucin",20,"MB"
"DSM_28989_YL27","pg",6,"MB"
"DSM_28989_YL27","plant",33,"MB"
"DSM_28989_YL27","starch",8,"MB"
"DSM_28989_YL27","sucrose",2,"MB"
"DSM_28989_YL27",NA,11,"MB"
"Duncaniella_6FAAM","animal",16,"MB"
"Duncaniella_6FAAM","fungal",4,"MB"
"Duncaniella_6FAAM","mucin",11,"MB"
"Duncaniella_6FAAM","pg",11,"MB"
"Duncaniella_6FAAM","plant",45,"MB"
"Duncaniella_6FAAM","starch",8,"MB"
"Duncaniella_6FAAM","sucrose",1,"MB"
"Duncaniella_6FAAM",NA,22,"MB"
"E12_NM3","animal",39,"MB"
"E12_NM3","fungal",8,"MB"
"E12_NM3","mucin",20,"MB"
"E12_NM3","pg",8,"MB"
"E12_NM3","plant",34,"MB"
"E12_NM3","starch",8,"MB"
"E12_NM3","sucrose",2,"MB"
"E12_NM3",NA,11,"MB"
"E4_CT","animal",19,"MB"
"E4_CT","fungal",2,"MB"
"E4_CT","mucin",11,"MB"
"E4_CT","pg",5,"MB"
"E4_CT","plant",53,"MB"
"E4_CT","starch",10,"MB"
"E4_CT","sucrose",1,"MB"
"E4_CT",NA,26,"MB"
"E_coli_K12","animal",3,"non-MB"
"E_coli_K12","mucin",1,"non-MB"
"E_coli_K12","pg",4,"non-MB"
"E_coli_K12","plant",3,"non-MB"
"E_coli_K12","starch",2,"non-MB"
"E_coli_K12",NA,5,"non-MB"
"F1_NM4","animal",39,"MB"
"F1_NM4","dextran",1,"MB"
"F1_NM4","fungal",12,"MB"
"F1_NM4","mucin",22,"MB"
"F1_NM4","pg",9,"MB"
"F1_NM4","plant",81,"MB"
"F1_NM4","starch",10,"MB"
"F1_NM4","sucrose",3,"MB"
"F1_NM4",NA,43,"MB"
"F3_NM6","animal",39,"MB"
"F3_NM6","fungal",8,"MB"
"F3_NM6","mucin",20,"MB"
"F3_NM6","pg",8,"MB"
"F3_NM6","plant",34,"MB"
"F3_NM6","starch",8,"MB"
"F3_NM6","sucrose",2,"MB"
"F3_NM6",NA,11,"MB"
"H11_NM74","animal",39,"MB"
"H11_NM74","dextran",1,"MB"
"H11_NM74","fungal",12,"MB"
"H11_NM74","mucin",22,"MB"
"H11_NM74","pg",9,"MB"
"H11_NM74","plant",81,"MB"
"H11_NM74","starch",10,"MB"
"H11_NM74","sucrose",3,"MB"
"H11_NM74",NA,43,"MB"
"H12_NM75","animal",42,"MB"
"H12_NM75","fungal",8,"MB"
"H12_NM75","mucin",21,"MB"
"H12_NM75","pg",4,"MB"
"H12_NM75","plant",37,"MB"
"H12_NM75","starch",8,"MB"
"H12_NM75","sucrose",2,"MB"
"H12_NM75",NA,11,"MB"
"H4_NM65","animal",19,"MB"
"H4_NM65","fungal",3,"MB"
"H4_NM65","mucin",12,"MB"
"H4_NM65","pg",8,"MB"
"H4_NM65","plant",52,"MB"
"H4_NM65","starch",9,"MB"
"H4_NM65","sucrose",1,"MB"
"H4_NM65",NA,27,"MB"
