feature_id	location	type	function	aliases	protein_md5
fig|2005473.104.peg.1	NODE_1_length_197042_cov_62.2434_316-249	CDS	Transposase		002dfd1e3d2e20da44e47356602f2e26
fig|2005473.104.rna.1	NODE_1_length_197042_cov_62.2434_674-85	rna	tRNA-Ser-TGA		
fig|2005473.104.peg.2	NODE_1_length_197042_cov_62.2434_1908-1128	CDS	Rhamnogalacturonides degradation protein RhiN		9a5f9e8dcf125dcb50620ae06d45b978
fig|2005473.104.peg.3	NODE_1_length_197042_cov_62.2434_4661-2739	CDS	Predicted alpha-L-rhamnosidase		504c4e9f0f247118e4557ec007d0cf2f
fig|2005473.104.peg.4	NODE_1_length_197042_cov_62.2434_4736+984	CDS	hypothetical protein		d27552c15f0e23aa45a7c379a7f3dfd1
fig|2005473.104.peg.5	NODE_1_length_197042_cov_62.2434_5862+2082	CDS	hypothetical protein		7d93494f2bd38a2b3730bc9c1da0c766
fig|2005473.104.peg.6	NODE_1_length_197042_cov_62.2434_10848-2760	CDS	hypothetical protein		823ee359308694404e8ecb659514717d
fig|2005473.104.peg.7	NODE_1_length_197042_cov_62.2434_10985+2457	CDS	hypothetical protein		fb95ebc3c7e58f80132e8950785d4815
fig|2005473.104.peg.8	NODE_1_length_197042_cov_62.2434_13445+1911	CDS	hypothetical protein		4d99dd25c6dfaa9c899e641b0a76dbf5
fig|2005473.104.peg.9	NODE_1_length_197042_cov_62.2434_15413+2517	CDS	Helicase PriA essential for oriC/DnaA-independent DNA replication		038266e13147ff08fe6852eaa543fa2a
fig|2005473.104.peg.10	NODE_1_length_197042_cov_62.2434_18438-264	CDS	LSU ribosomal protein L27p		0ff5e9761639d9daf11083bdb1376a70
fig|2005473.104.peg.11	NODE_1_length_197042_cov_62.2434_18779-321	CDS	LSU ribosomal protein L21p		c65c5754f1e1835b0819a3b2149204e0
fig|2005473.104.peg.12	NODE_1_length_197042_cov_62.2434_18983-135	CDS	hypothetical protein		a262f93c4aaa26155a0d7d4e7808903f
fig|2005473.104.peg.13	NODE_1_length_197042_cov_62.2434_21319-2325	CDS	TonB-dependent receptor; Outer membrane receptor for ferrienterochelin and colicins		ea05a4ab8a0de6a15695eb0133e45678
fig|2005473.104.peg.14	NODE_1_length_197042_cov_62.2434_21739-357	CDS	hypothetical protein		24b7c9d0a3db05bb6581d5b439bc7006
fig|2005473.104.peg.15	NODE_1_length_197042_cov_62.2434_22295-552	CDS	hypothetical protein		7f1f90db2c1f7272b793eca0af03d1f6
fig|2005473.104.peg.16	NODE_1_length_197042_cov_62.2434_23195-756	CDS	Triosephosphate isomerase (EC 5.3.1.1)		c3f0aeb6179c851b5d25bafa7f306533
fig|2005473.104.peg.17	NODE_1_length_197042_cov_62.2434_24516-1281	CDS	hypothetical protein		73606792311a54c5f25b8e927884186e
fig|2005473.104.peg.18	NODE_1_length_197042_cov_62.2434_25096-588	CDS	hypothetical protein		018529c51f7b0de507ec3f3c8a19fe8a
fig|2005473.104.peg.19	NODE_1_length_197042_cov_62.2434_26007-876	CDS	Putative permease		a2f08275fb92321b88fd24d7fa9251e4
fig|2005473.104.peg.20	NODE_1_length_197042_cov_62.2434_28326-2301	CDS	POTASSIUM/PROTON ANTIPORTER ROSB		b5b5411abecbeb437f1a8ffbaedbb033
fig|2005473.104.peg.21	NODE_1_length_197042_cov_62.2434_29073-735	CDS	Mg(2+)-transport-ATPase-associated protein MgtC		b090250209dabbf19c2254631c7a1a59
fig|2005473.104.peg.22	NODE_1_length_197042_cov_62.2434_29999-918	CDS	hypothetical protein		de1aca19b03815d64e405520db49557c
fig|2005473.104.peg.23	NODE_1_length_197042_cov_62.2434_30173-114	CDS	hypothetical protein		87129a05c3384e955a789e7b3c5a8769
