feature_id	location	type	function	aliases	protein_md5
fig|2005473.95.peg.1	NODE_1_length_144244_cov_641.417147_269+930	CDS	Putative sodium-dependent transporter		88118523d88d495b6f048dbd169184ba
fig|2005473.95.peg.2	NODE_1_length_144244_cov_641.417147_1258+687	CDS	hypothetical protein		5583ee35926703919dfe8c6f8cc9a9e1
fig|2005473.95.peg.3	NODE_1_length_144244_cov_641.417147_3428-1380	CDS	tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)		a8ed35c0cd8995224da831d5e947697e
fig|2005473.95.peg.4	NODE_1_length_144244_cov_641.417147_3575+1491	CDS	Acetyl-CoA hydrolase (EC 3.1.2.1)		1a9e4cda02bab0beb599aa60f4e5cb24
fig|2005473.95.peg.5	NODE_1_length_144244_cov_641.417147_5380+198	CDS	hypothetical protein		0d7606e540fd5a5fd1e8a8e31d598270
fig|2005473.95.peg.6	NODE_1_length_144244_cov_641.417147_6759-1059	CDS	3-dehydroquinate synthase (EC 4.2.3.4)		9bdbc111544d280a657d558f2bc98745
fig|2005473.95.peg.7	NODE_1_length_144244_cov_641.417147_7557-744	CDS	hypothetical protein		435b823ef51a55150267d0f88f25fe7a
fig|2005473.95.peg.8	NODE_1_length_144244_cov_641.417147_10992-3429	CDS	hypothetical protein		ca5941ae1834d385efeb53c9884a5969
fig|2005473.95.peg.9	NODE_1_length_144244_cov_641.417147_11795-798	CDS	hypothetical protein		6ad1a229b18678825989011f2806c478
fig|2005473.95.peg.10	NODE_1_length_144244_cov_641.417147_12976-1002	CDS	hypothetical protein		b76300f60a916d2b2181e87977791de3
fig|2005473.95.peg.11	NODE_1_length_144244_cov_641.417147_13707-684	CDS	hypothetical protein		4f806a26acb8e9e150446dc4900470f2
fig|2005473.95.peg.12	NODE_1_length_144244_cov_641.417147_14493-555	CDS	hypothetical protein		940e7adeaf817fcb1b49b2189da98d37
fig|2005473.95.peg.13	NODE_1_length_144244_cov_641.417147_15340-729	CDS	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)		866b7e09a6de875a220b6db7be47ae59
fig|2005473.95.peg.14	NODE_1_length_144244_cov_641.417147_15882-438	CDS	hypothetical protein		140e8a3a79c9c0297c700d7ac1d5c7ba
fig|2005473.95.peg.15	NODE_1_length_144244_cov_641.417147_15949+150	CDS	hypothetical protein		3b68e00d0faa6dd292421ca49eee044a
fig|2005473.95.peg.16	NODE_1_length_144244_cov_641.417147_17431-1302	CDS	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)		42b6728c79dae11b91598dda5aa8ce34
fig|2005473.95.peg.17	NODE_1_length_144244_cov_641.417147_17991-531	CDS	Chromate transport protein		a3630bccab1a36339711ad2ee73750c6
fig|2005473.95.peg.18	NODE_1_length_144244_cov_641.417147_18638-651	CDS	Chromate transport protein		b321b946f38602c5830a13e804861c04
fig|2005473.95.peg.19	NODE_1_length_144244_cov_641.417147_18768+1551	CDS	hypothetical protein		c05b018e55b68adc23d6e885c84c653f
