Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.94.peg.10	-	CE20(101-366)	-	-	N	1
fig|2005473.94.peg.1007	-	GT2(8-172)	-	-	N	1
fig|2005473.94.peg.1012	-	GT2(4-167)	-	-	N	1
fig|2005473.94.peg.1018	-	CE8(349-648)+PL1_2(795-998)	-	-	Y(1-24)	1
fig|2005473.94.peg.1019	-	GH92(241-733)	-	-	Y(1-20)	1
fig|2005473.94.peg.1020	-	GH92(231-735)	-	-	Y(1-20)	1
fig|2005473.94.peg.1037	-	GH13_28(42-353)	-	-	Y(1-56)	1
fig|2005473.94.peg.1063	-	GH32(144-446)	-	-	Y(1-26)	1
fig|2005473.94.peg.1069	-	GH32(33-324)	-	-	N	1
fig|2005473.94.peg.107	-	GH16_3(33-261)	-	-	Y(1-19)	1
fig|2005473.94.peg.1170	-	GH23(99-225)	-	-	Y(1-25)	1
fig|2005473.94.peg.1190	-	GH43_2(29-313)	-	-	Y(1-28)	1
fig|2005473.94.peg.1204	-	GT2(4-152)	-	-	N	1
fig|2005473.94.peg.1244	-	GH123(11-525)	-	-	N	1
fig|2005473.94.peg.1284	-	GT30(47-207)	-	-	N	1
fig|2005473.94.peg.1290	-	GH92(244-749)	-	-	Y(1-24)	1
fig|2005473.94.peg.135	-	GH95(344-1130)	-	-	Y(1-24)	1
fig|2005473.94.peg.1364	-	GH31_15(205-650)	-	-	Y(1-26)	1
fig|2005473.94.peg.1368	-	GH43_24(54-342)+GH16_3(385-635)	-	-	Y(1-25)	1
fig|2005473.94.peg.1412	-	GH13_14(204-528)	-	-	Y(1-28)	1
fig|2005473.94.peg.1462	-	GT2(10-161)	-	-	N	1
fig|2005473.94.peg.1464	-	GH36(27-707)	-	-	Y(1-26)	1
fig|2005473.94.peg.1476	-	GT2(10-134)	-	-	N	1
fig|2005473.94.peg.1491	-	GH20(154-509)	-	-	Y(1-27)	1
fig|2005473.94.peg.1495	-	GH92(244-751)	-	-	Y(1-26)	1
fig|2005473.94.peg.1501	-	CE19(67-393)	-	-	N	1
fig|2005473.94.peg.1533	-	GT4(202-346)	-	-	N	1
fig|2005473.94.peg.1597	-	GH13_8(194-514)	-	-	N	1
fig|2005473.94.peg.164	-	GH85(117-433)	-	-	Y(1-24)	1
fig|2005473.94.peg.1676	-	GH78(264-485)	-	-	N	1
fig|2005473.94.peg.1689	-	GH20(149-504)	-	-	Y(1-24)	1
fig|2005473.94.peg.1691	-	GH130_2(20-314)	-	-	N	1
fig|2005473.94.peg.1692	-	GH92(272-727)	-	-	Y(1-27)	1
fig|2005473.94.peg.1702	-	GH3(125-350)	-	-	Y(1-21)	1
fig|2005473.94.peg.1721	-	CE11(3-226)	-	-	N	1
fig|2005473.94.peg.1731	-	GT2(21-138)	-	-	N	1
fig|2005473.94.peg.1746	-	CE1(39-242)	-	-	N	1
fig|2005473.94.peg.19	-	GH3(232-451)	-	-	Y(1-46)	1
fig|2005473.94.peg.1902	-	GH163(195-448)	-	-	Y(1-22)	1
fig|2005473.94.peg.1959	-	GH31_16(187-615)	-	-	Y(1-23)	1
fig|2005473.94.peg.2029	-	GH110(33-582)	-	-	Y(1-26)	1
fig|2005473.94.peg.2051	-	GH108(2-92)	-	-	N	1
fig|2005473.94.peg.2102	-	GH3(105-327)	-	-	Y(1-37)	1
fig|2005473.94.peg.2133	-	GH25(54-224)	-	-	N	1
fig|2005473.94.peg.2168	-	GT2(5-170)	-	-	N	1
fig|2005473.94.peg.2191	-	GT2(200-345)	-	-	N	1
fig|2005473.94.peg.2194	-	GH2(429-948)	-	-	N	1
fig|2005473.94.peg.2195	-	GH2(238-984)	-	-	Y(1-27)	1
fig|2005473.94.peg.2196	-	GH92(226-748)	-	-	Y(1-33)	1
fig|2005473.94.peg.221	-	GH171(53-398)	-	-	Y(1-32)	1
fig|2005473.94.peg.2215	-	CBM98(33-138)+GH13_47(335-646)	-	-	Y(1-27)	1
fig|2005473.94.peg.224	-	CE3(4-202)	-	-	N	1
fig|2005473.94.peg.225	-	CE20(307-588)	-	-	Y(1-28)	1
fig|2005473.94.peg.2262	-	GT51(64-245)	-	-	N	1
fig|2005473.94.peg.2308	-	GT117(24-245)	-	-	N	1
fig|2005473.94.peg.2309	-	CE4(34-146)	-	-	N	1
fig|2005473.94.peg.2323	-	GH109(59-462)	-	-	Y(1-22)	1
fig|2005473.94.peg.2342	-	GT4(185-296)	-	-	N	1
fig|2005473.94.peg.2343	-	GT2(4-157)	-	-	N	1
fig|2005473.94.peg.2344	-	CE9(8-380)	-	-	N	1
fig|2005473.94.peg.2350	-	GT5(5-234)	-	-	N	1
fig|2005473.94.peg.2351	-	GH29(46-372)	-	-	N	1
fig|2005473.94.peg.2380	-	GH97(20-699)	-	-	N	1
fig|2005473.94.peg.2400	-	CE1(35-271)	-	-	Y(1-21)	1
fig|2005473.94.peg.2421	-	GH95(34-828)	-	-	Y(1-29)	1
fig|2005473.94.peg.2422	-	GH89(60-700)	-	-	N	1
