HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	fig|2005473.102.peg.1016	344	3.2e-20	2	115	13	126	0.664705882353
GH23.hmm	135	fig|2005473.102.peg.1020	589	2.7e-24	2	120	124	264	0.874074074074
GT2.hmm	170	fig|2005473.102.peg.1027	264	5.5e-19	1	162	19	173	0.947058823529
GT5.hmm	472	fig|2005473.102.peg.1036	270	6.9e-43	2	223	7	240	0.468220338983
GT2.hmm	170	fig|2005473.102.peg.1059	255	4.9e-32	2	167	15	180	0.970588235294
GH23.hmm	135	fig|2005473.102.peg.1168	469	2.3e-23	14	124	308	463	0.814814814815
GH128.hmm	224	fig|2005473.102.peg.1197	498	3.4e-53	7	206	44	253	0.888392857143
GH3.hmm	216	fig|2005473.102.peg.1198	760	6.7e-70	3	215	104	325	0.981481481481
GH16_3.hmm	230	fig|2005473.102.peg.1199	599	3.1e-62	1	230	39	301	0.995652173913
CE1.hmm	227	fig|2005473.102.peg.1246	737	1.9e-18	5	207	474	701	0.88986784141
GH13_28.hmm	287	fig|2005473.102.peg.1265	475	4.3e-101	1	286	42	351	0.993031358885
GH64.hmm	367	fig|2005473.102.peg.1299	1022	5e-64	3	367	77	480	0.991825613079
GT83.hmm	540	fig|2005473.102.peg.1344	584	1.6e-66	9	477	13	507	0.866666666667
GH171.hmm	355	fig|2005473.102.peg.1352	413	6.2e-126	1	355	45	412	0.997183098592
GT2.hmm	170	fig|2005473.102.peg.1355	442	2.4e-19	1	129	202	333	0.752941176471
GT2.hmm	170	fig|2005473.102.peg.1397	332	1.1e-20	1	116	9	125	0.676470588235
GT2.hmm	170	fig|2005473.102.peg.1398	308	6.9e-28	1	129	6	136	0.752941176471
GH13_5.hmm	342	fig|2005473.102.peg.1425	482	3.4e-145	1	340	30	368	0.991228070175
GH87.hmm	597	fig|2005473.102.peg.1443	326	1.6e-30	86	370	30	326	0.475711892797
