Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.105.peg.1050	3.2.1.23|3.2.1.-	GH2(26-464)	GH2_e145	GH2	Y(1-28)	3
fig|2005473.105.peg.1063	-	GH2(18-622)	GH2_e53+CBM32_e28	CBM32+GH2	Y(1-20)	3
fig|2005473.105.peg.1064	N	CE7(261-436)	N	N	Y(1-20)	1
fig|2005473.105.peg.1069	-	GH13_48(63-356)	GH13_e194	GH13_48	Y(1-30)	3
fig|2005473.105.peg.1098	3.2.1.80|3.2.1.65|3.2.1.26|3.2.1.153|3.2.1.64|2.4.1.99	GH32(145-448)	GH32_e16	GH32	Y(1-26)	3
fig|2005473.105.peg.1118	-	GT2(5-100)	GT2	GT2	N	3
fig|2005473.105.peg.1119	-	GT2(12-117)	GT2	GT2	N	3
fig|2005473.105.peg.1121	-	GT2(5-108)	GT2	GT2	N	3
fig|2005473.105.peg.1122	-	GT2(22-143)	GT2	GT2	N	3
fig|2005473.105.peg.1123	-	GT2(9-140)	GT2	GT2	N	3
fig|2005473.105.peg.1137	-	CE4(22-133)	CE4_e140	CE4	N	3
fig|2005473.105.peg.1138	N	GT117(16-238)	N	N	N	1
fig|2005473.105.peg.115	3.1.1.72|3.2.1.-|3.1.1.73|3.2.1.63	CE6(89-198)+GH95(288-1015)	CE6_e2+GH95_e1	CE6+GH95	Y(1-19)	3
fig|2005473.105.peg.116	-	GH43_29(41-334)	GH43_e90	GH43_29	Y(1-27)	3
fig|2005473.105.peg.117	3.2.1.37|3.2.1.55|3.2.1.8	GH43_29(18-289)+CBM6(312-431)	GH43_e59+CBM6_e0	CBM6+GH43_29	Y(1-17)	3
fig|2005473.105.peg.118	3.2.1.22|3.2.1.88	GH97(14-646)	GH97_e18	GH97	Y(1-20)	3
fig|2005473.105.peg.122	3.2.1.156|-	GH43_2(24-301)+CBM6(351-444)+GH8(503-829)	GH43_e229+CBM6_e71+GH8_e12	CBM6+GH43_2+GH8	Y(1-24)	3
