HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	fig|2005473.105.peg.1050	932	1e-61	24	394	26	464	0.492021276596
GH2.hmm	752	fig|2005473.105.peg.1063	838	3.9e-106	24	526	18	622	0.667553191489
CE7.hmm	313	fig|2005473.105.peg.1064	550	6.5e-16	17	209	261	436	0.613418530351
GH13_48.hmm	283	fig|2005473.105.peg.1069	477	1.8e-117	2	282	63	356	0.989399293286
GH32.hmm	293	fig|2005473.105.peg.1098	613	2.2e-84	1	290	145	448	0.986348122867
GT2.hmm	170	fig|2005473.105.peg.1118	254	6.3e-19	1	106	5	100	0.617647058824
GT2.hmm	170	fig|2005473.105.peg.1119	273	5.8e-22	1	105	12	117	0.611764705882
GT2.hmm	170	fig|2005473.105.peg.1121	273	2e-24	2	106	5	108	0.611764705882
GT2.hmm	170	fig|2005473.105.peg.1122	340	5.6e-36	1	122	22	143	0.711764705882
GT2.hmm	170	fig|2005473.105.peg.1123	322	9.8e-37	1	132	9	140	0.770588235294
CE4.hmm	130	fig|2005473.105.peg.1137	205	7.3e-25	4	119	22	133	0.884615384615
GT117.hmm	245	fig|2005473.105.peg.1138	1170	2.4e-38	2	206	16	238	0.832653061224
CE6.hmm	99	fig|2005473.105.peg.115	1079	1.3e-31	2	98	89	198	0.969696969697
GH95.hmm	722	fig|2005473.105.peg.115	1079	9.5e-289	7	713	288	1015	0.97783933518
GH43_29.hmm	278	fig|2005473.105.peg.116	348	4.7e-104	1	277	41	334	0.992805755396
GH43_29.hmm	278	fig|2005473.105.peg.117	431	3.4e-115	1	278	18	289	0.996402877698
CBM6.hmm	138	fig|2005473.105.peg.117	431	1.3e-22	17	137	312	431	0.869565217391
GH97.hmm	631	fig|2005473.105.peg.118	651	9.6e-162	7	628	14	646	0.984152139461
GH43_2.hmm	277	fig|2005473.105.peg.122	847	8e-134	1	276	24	301	0.992779783394
CBM6.hmm	138	fig|2005473.105.peg.122	847	1.7e-16	43	137	351	444	0.68115942029
GH8.hmm	320	fig|2005473.105.peg.122	847	7.2e-80	22	319	503	829	0.928125
CE1.hmm	227	fig|2005473.105.peg.123	372	7.8e-57	5	221	153	368	0.95154185022
GH13_37.hmm	314	fig|2005473.105.peg.1233	461	1.9e-102	5	313	45	348	0.980891719745
GH31.hmm	427	fig|2005473.105.peg.1234	781	6.1e-126	1	427	209	648	0.997658079625
