feature_id	location	type	function	aliases	protein_md5
fig|2518495.5.peg.1	NODE_1_length_202140_cov_46.3234_76-75	CDS	hypothetical protein		a6164e7ad2d5bdc9fe08f21dc64394bc
fig|2518495.5.peg.2	NODE_1_length_202140_cov_46.3234_203+405	CDS	hypothetical protein		9c135ff2aae25929cfa5b944efab3195
fig|2518495.5.peg.3	NODE_1_length_202140_cov_46.3234_622+1461	CDS	hypothetical protein		5f61cc7d5a738727a1dc54b6edd9e64d
fig|2518495.5.peg.4	NODE_1_length_202140_cov_46.3234_2153+1470	CDS	hypothetical protein		84d298a7c1b9d9e9db91d0675ecf18fb
fig|2518495.5.peg.5	NODE_1_length_202140_cov_46.3234_3721+2040	CDS	hypothetical protein		837192775a126a07ffb698decddf2ace
fig|2518495.5.peg.6	NODE_1_length_202140_cov_46.3234_5865+858	CDS	OmpA domain protein		f77f5eb56040d6a93c2ca57c886f7fd9
fig|2518495.5.peg.7	NODE_1_length_202140_cov_46.3234_7533-594	CDS	hypothetical protein		66daf75110f68c42ba7e5aaeda0a1186
fig|2518495.5.peg.8	NODE_1_length_202140_cov_46.3234_8135-561	CDS	hypothetical protein		1b370ae441bdf7f61ec29abab00d35ab
fig|2518495.5.peg.9	NODE_1_length_202140_cov_46.3234_8450+1893	CDS	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)		039448a609cc3d87f82d19c009b2899c
fig|2518495.5.peg.10	NODE_1_length_202140_cov_46.3234_10404+648	CDS	hypothetical protein		0c72847c9264f0b379c2f82e5892fd22
fig|2518495.5.peg.11	NODE_1_length_202140_cov_46.3234_13261-2073	CDS	hypothetical protein		5af2753ed6a05328aba62fc1107f7979
fig|2518495.5.peg.12	NODE_1_length_202140_cov_46.3234_13496+765	CDS	hypothetical protein		acf308cd4c9e828270304d99a4834d22
fig|2518495.5.peg.13	NODE_1_length_202140_cov_46.3234_15289-1029	CDS	hypothetical protein		23cb6210020f82914f1d20fc3eb5b3fb
fig|2518495.5.peg.14	NODE_1_length_202140_cov_46.3234_15669-336	CDS	putative membrane protein		2657619d123cf80c5bf2506a374a1a1b
fig|2518495.5.peg.15	NODE_1_length_202140_cov_46.3234_16223-513	CDS	hypothetical protein		9cfb6bd70f6a2df8ec898bddc2b675c1
fig|2518495.5.peg.16	NODE_1_length_202140_cov_46.3234_16909-651	CDS	hypothetical protein		fdf89e3aa1769e76835d7f29bf6aa65a
fig|2518495.5.peg.17	NODE_1_length_202140_cov_46.3234_18378-1434	CDS	hypothetical protein		549dc02517a478ac79a087db6cc2f9c2
fig|2518495.5.peg.18	NODE_1_length_202140_cov_46.3234_19992-1407	CDS	hypothetical protein		426ec86209178a900a87717209493620
fig|2518495.5.peg.19	NODE_1_length_202140_cov_46.3234_20090+183	CDS	hypothetical protein		94c70bb88ed7b6a86e1178f35b96471f
fig|2518495.5.peg.20	NODE_1_length_202140_cov_46.3234_22435-2088	CDS	Inner membrane protein translocase and chaperone YidC, long form		a28b8e1b86f809b255d4199c906a30af
fig|2518495.5.peg.21	NODE_1_length_202140_cov_46.3234_24100-1620	CDS	CTP synthase (EC 6.3.4.2)		deea919939906fcdf14d222c9e7e382f
fig|2518495.5.peg.22	NODE_1_length_202140_cov_46.3234_24230+621	CDS	hypothetical protein		38d8e4147e4968b26de148d4141e21b7
fig|2518495.5.peg.23	NODE_1_length_202140_cov_46.3234_24928+927	CDS	FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)		0fd81aebb7c259141d34a45e6b5e9d14
fig|2518495.5.peg.24	NODE_1_length_202140_cov_46.3234_28815-2883	CDS	hypothetical protein		4c0be2804e759bcaf290ec2d876f7d40
fig|2518495.5.peg.25	NODE_1_length_202140_cov_46.3234_29379-249	CDS	hypothetical protein		a4487bfc63f6549d8f798536d639d8e3
fig|2518495.5.peg.26	NODE_1_length_202140_cov_46.3234_30245-804	CDS	Zinc ABC transporter, permease protein ZnuB		6f7c29faf6ef4783df6a9c67036c244c
fig|2518495.5.peg.27	NODE_1_length_202140_cov_46.3234_30666-414	CDS	hypothetical protein		7510ee777584f4592abbf866b0654924
fig|2518495.5.peg.28	NODE_1_length_202140_cov_46.3234_31952-1266	CDS	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)		117e12b9bd6f157b78b0a05a0a12b5ec
fig|2518495.5.peg.29	NODE_1_length_202140_cov_46.3234_32567-567	CDS	hypothetical protein		b5da78f35c9f45a78d0edd29859c959c
fig|2518495.5.peg.30	NODE_1_length_202140_cov_46.3234_33492-912	CDS	hypothetical protein		c013092f85f9527668d6faf075f8c645
fig|2518495.5.peg.31	NODE_1_length_202140_cov_46.3234_33821+555	CDS	hypothetical protein		64b239d6cc52f46538e98cb369159f9a
fig|2518495.5.peg.32	NODE_1_length_202140_cov_46.3234_34418+702	CDS	hypothetical protein		899d81b1d11e1a4ec4815c4a753828f9
fig|2518495.5.peg.33	NODE_1_length_202140_cov_46.3234_35184+1515	CDS	putative auxin-regulated protein		75a9163b2b27d3f13b339a2c52937001
fig|2518495.5.peg.34	NODE_1_length_202140_cov_46.3234_36718+1392	CDS	Alkaline phosphatase (EC 3.1.3.1)		a84d4ce67f2d5914fff58f28c605caf4
fig|2518495.5.peg.35	NODE_1_length_202140_cov_46.3234_38279+1104	CDS	DNA recombination and repair protein RecF		22d4a65647b94d7aa38e909e47aa7f38
fig|2518495.5.peg.36	NODE_1_length_202140_cov_46.3234_39379+291	CDS	hypothetical protein		9b784628b222efcc3e1e186fdff23234
fig|2518495.5.peg.37	NODE_1_length_202140_cov_46.3234_39687+465	CDS	hypothetical protein		6c7073ecc7de165be3b73fa2f9d7472d
fig|2518495.5.peg.38	NODE_1_length_202140_cov_46.3234_40174+1383	CDS	tRNA/rRNA cytosine-C5-methyltransferase		fd5547f40da628d813dbceb29ac8ca01
fig|2518495.5.peg.39	NODE_1_length_202140_cov_46.3234_41577+684	CDS	tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)		3945d4adae16b13f8eafff95d2aa1465
