Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.97.peg.1023	-	GT2(9-175)	-	-	N	1
fig|2005473.97.peg.1046	-	GH23(309-464)	-	-	Y(1-33)	1
fig|2005473.97.peg.108	-	GT30(47-207)	-	-	N	1
fig|2005473.97.peg.1087	-	GT2(7-188)	-	-	N	1
fig|2005473.97.peg.1088	-	GT2(23-184)	-	-	N	1
fig|2005473.97.peg.1139	-	GH31_15(245-679)	-	-	N	1
fig|2005473.97.peg.1151	-	CE1(51-317)	-	-	Y(1-29)	1
fig|2005473.97.peg.1187	-	CE20(97-354)	-	-	N	1
fig|2005473.97.peg.1188	-	GH5_2(55-288)	-	-	Y(1-27)	1
fig|2005473.97.peg.1192	-	CE1(443-668)	-	-	N	1
fig|2005473.97.peg.1220	-	GT2(9-137)	-	-	N	1
fig|2005473.97.peg.1221	-	GT2(5-129)	-	-	N	1
fig|2005473.97.peg.1225	-	GT4(185-329)	-	-	N	1
fig|2005473.97.peg.1226	-	GT4(199-340)	-	-	N	1
fig|2005473.97.peg.1228	-	GT4(198-341)	-	-	N	1
fig|2005473.97.peg.1229	-	GT2(3-116)	-	-	N	1
fig|2005473.97.peg.1230	-	GT32(20-96)	-	-	N	1
fig|2005473.97.peg.1231	-	GT2(9-168)	-	-	N	1
fig|2005473.97.peg.1239	-	GT2(7-129)	-	-	N	1
fig|2005473.97.peg.1259	-	GH130_1(49-359)	-	-	N	1
fig|2005473.97.peg.1260	-	GH26(41-308)	-	-	Y(1-31)	1
fig|2005473.97.peg.1261	-	GH26(139-458)	-	-	Y(1-68)	1
fig|2005473.97.peg.1265	-	GH36(26-708)	-	-	Y(1-20)	1
fig|2005473.97.peg.127	-	GH171(47-414)	-	-	N	1
fig|2005473.97.peg.1278	-	GH133(287-637)	-	-	N	1
fig|2005473.97.peg.1279	-	GT4(238-388)	-	-	N	1
fig|2005473.97.peg.1280	-	GH57(6-321)	-	-	N	1
fig|2005473.97.peg.1296	-	GH97(15-697)	-	-	Y(1-20)	1
fig|2005473.97.peg.1302	-	GT51(87-269)	-	-	N	1
fig|2005473.97.peg.1370	-	GT9(84-338)	-	-	N	1
fig|2005473.97.peg.1372	-	GT117(16-235)	-	-	N	1
fig|2005473.97.peg.1373	-	CE4(22-131)	-	-	N	1
fig|2005473.97.peg.1379	-	GH13_48(49-346)	-	-	N	1
fig|2005473.97.peg.1399	-	GH13_42(123-551)	-	-	N	1
fig|2005473.97.peg.1411	-	CBM62(310-432)	-	-	Y(1-21)	1
fig|2005473.97.peg.1446	-	GH25(46-222)	-	-	N	1
fig|2005473.97.peg.149	-	GH23(128-263)	-	-	Y(1-27)	1
