dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e1166	GT4:8	-	-	155	fig|2005473.95.peg.1010	359	3.7e-31	6	153	188	330	0.948387096774
GH33_e4	GH33:54	-	-	293	fig|2005473.95.peg.1092	663	1.1e-127	2	293	309	644	0.993174061433
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	starch	93	fig|2005473.95.peg.1095	892	3.2e-20	3	84	2	81	0.870967741935
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	starch	93	fig|2005473.95.peg.1095	892	1.1e-19	4	91	131	219	0.935483870968
GH77_e22	GH77:485|CBM20:400	2.4.1.25:5	starch	646	fig|2005473.95.peg.1095	892	1.7e-288	1	644	245	886	0.995356037152
GH20_e44	GH20:100	-	-	284	fig|2005473.95.peg.1096	610	3.1e-117	1	283	111	391	0.992957746479
GH133_e1	GH133:236	-	-	351	fig|2005473.95.peg.1099	647	6.9e-145	2	351	289	638	0.994301994302
GT4_e602	GT4:97	-	-	147	fig|2005473.95.peg.1100	415	8.2e-73	1	146	238	383	0.986394557823
GH57_e10	GH57:204	-	-	319	fig|2005473.95.peg.1101	500	3.7e-162	1	319	7	325	0.996865203762
GT2	GT2:29	-	-	277	fig|2005473.95.peg.1117	402	2.1e-41	1	258	56	319	0.927797833935
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	fig|2005473.95.peg.1151	853	2.7e-229	1	530	126	656	0.996233521657
GT3_e2	GT3:273|GT35:70	-	-	338	fig|2005473.95.peg.1152	551	1.1e-144	1	336	14	349	0.991124260355
GT5_e28	GT5:878	-	-	225	fig|2005473.95.peg.1170	272	1.7e-90	1	223	6	231	0.986666666667
GH85_e9	GH85:41	-	-	311	fig|2005473.95.peg.120	1008	2.4e-123	2	310	119	432	0.990353697749
GT30_e38	GT30:395	-	-	163	fig|2005473.95.peg.1214	416	1e-73	4	163	49	208	0.975460122699
CE4_e140	CE4:231	-	-	111	fig|2005473.95.peg.1247	217	1.9e-50	2	110	37	145	0.972972972973
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	fig|2005473.95.peg.1301	776	9.9e-169	2	349	153	510	0.988603988604
