Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.101.peg.1033	-	GT2(9-182)	-	-	N	1
fig|2005473.101.peg.1035	-	CE1(149-398)	-	-	Y(1-21)	1
fig|2005473.101.peg.1036	-	GT2(9-124)	-	-	N	1
fig|2005473.101.peg.1048	-	GH20(159-511)	-	-	Y(1-22)	1
fig|2005473.101.peg.1066	-	GH25(48-219)	-	-	N	1
fig|2005473.101.peg.1105	-	GH43_18(79-319)	-	-	Y(1-24)	1
fig|2005473.101.peg.1109	-	GH3(97-314)	-	-	Y(1-18)	1
fig|2005473.101.peg.1123	-	GT2(218-356)	-	-	N	1
fig|2005473.101.peg.1222	-	CE11(3-223)	-	-	N	1
fig|2005473.101.peg.1224	-	GT2(3-123)	-	-	N	1
fig|2005473.101.peg.1241	-	GH20(145-491)	-	-	Y(1-24)	1
fig|2005473.101.peg.1244	-	GH13_14(202-526)	-	-	Y(1-20)	1
fig|2005473.101.peg.1248	-	GH188(6-195)	-	-	N	1
fig|2005473.101.peg.1300	-	GH73(98-196)	-	-	Y(1-23)	1
fig|2005473.101.peg.1353	-	GH23(105-239)	-	-	Y(1-25)	1
fig|2005473.101.peg.1358	-	GT5(9-243)	-	-	N	1
fig|2005473.101.peg.1418	-	GH171(48-415)	-	-	Y(1-22)	1
fig|2005473.101.peg.1421	-	GH92(269-775)	-	-	Y(1-27)	1
fig|2005473.101.peg.1422	-	GH130_2(17-315)	-	-	N	1
fig|2005473.101.peg.1424	-	GH92(259-766)	-	-	Y(1-28)	1
fig|2005473.101.peg.1425	-	GH92(247-757)	-	-	Y(1-30)	1
fig|2005473.101.peg.1426	-	GH92(268-765)	-	-	Y(1-51)	1
fig|2005473.101.peg.1429	-	GT83(18-518)	-	-	N	1
fig|2005473.101.peg.1474	-	GT2(1-114)	-	-	N	1
fig|2005473.101.peg.1510	-	GH20(162-517)	-	-	Y(1-22)	1
fig|2005473.101.peg.158	-	GT19(4-354)	-	-	N	1
fig|2005473.101.peg.1590	-	GT51(100-282)	-	-	N	1
fig|2005473.101.peg.1692	-	GH24(49-157)	-	-	Y(1-24)	1
fig|2005473.101.peg.1724	-	GH13_8(193-513)	-	-	N	1
fig|2005473.101.peg.1728	-	GT26(53-217)	-	-	N	1
fig|2005473.101.peg.174	-	GT4(247-384)	-	-	N	1
fig|2005473.101.peg.1745	-	GH177(47-204)	-	-	N	1
fig|2005473.101.peg.1750	-	GT9(87-336)	-	-	N	1
fig|2005473.101.peg.1848	-	GT28(191-347)	-	-	N	1
fig|2005473.101.peg.1849	-	GT119(32-409)	-	-	N	1
fig|2005473.101.peg.1859	-	GT4(201-346)	-	-	N	1
fig|2005473.101.peg.1871	-	GT2(4-168)	-	-	N	1
fig|2005473.101.peg.1877	-	GH2(62-934)	-	-	Y(1-26)	1
fig|2005473.101.peg.204	-	GH5_4(247-542)	-	-	Y(1-19)	1
fig|2005473.101.peg.2049	-	GH97(13-662)	-	-	Y(1-21)	1
fig|2005473.101.peg.2050	-	GH43_17(26-302)	-	-	Y(1-20)	1
fig|2005473.101.peg.2076	-	GH24(48-156)	-	-	Y(1-23)	1
fig|2005473.101.peg.2092	-	GT2(13-156)	-	-	N	1
fig|2005473.101.peg.210	-	GH31_4(375-843)	-	-	Y(1-25)	1
fig|2005473.101.peg.2108	-	GH13_38(72-431)	-	-	N	1
fig|2005473.101.peg.211	-	GH2(20-631)	-	-	Y(1-23)	1
fig|2005473.101.peg.212	-	GH3(64-283)	-	-	Y(1-22)	1
fig|2005473.101.peg.2129	-	CBM98(34-133)+GH13_47(410-712)	-	-	Y(1-22)	1
fig|2005473.101.peg.2130	-	GT119(33-219)+GT119(306-490)	-	-	N	1
fig|2005473.101.peg.2149	-	GT2(16-175)	-	-	N	1
fig|2005473.101.peg.2151	-	GT122(28-344)	-	-	N	1
fig|2005473.101.peg.2152	-	GT2(6-118)	-	-	N	1
fig|2005473.101.peg.2153	-	GT4(183-328)	-	-	N	1
fig|2005473.101.peg.2154	-	GT4(231-379)	-	-	N	1
fig|2005473.101.peg.2155	-	GT26(58-222)	-	-	N	1
fig|2005473.101.peg.220	-	GH130_3(61-370)	-	-	N	1
fig|2005473.101.peg.2204	-	GT2(19-184)	-	-	N	1
fig|2005473.101.peg.221	-	GH92(228-701)	-	-	Y(1-27)	1
fig|2005473.101.peg.2212	-	GH13_42(72-497)	-	-	Y(1-23)	1
fig|2005473.101.peg.2217	-	GT3(13-351)	-	-	N	1
fig|2005473.101.peg.2218	-	GT35(124-644)	-	-	N	1
fig|2005473.101.peg.222	-	GH92(235-739)	-	-	Y(1-19)	1
fig|2005473.101.peg.2281	-	GH2(2-472)	-	-	N	1
fig|2005473.101.peg.2342	-	GH84(151-444)	-	-	Y(1-22)	1
fig|2005473.101.peg.2348	-	GH106(396-1125)	-	-	N	1
fig|2005473.101.peg.235	-	CBM67(151-317)+GH78(346-848)	-	-	Y(1-19)	1
fig|2005473.101.peg.236	-	GH2(68-727)	-	-	Y(1-23)	1
fig|2005473.101.peg.238	-	GH92(298-781)	-	-	Y(1-32)	1
fig|2005473.101.peg.239	-	GH38(53-198)	-	-	Y(1-29)	1
fig|2005473.101.peg.2643	-	CBM20(3-77)+CBM20(141-218)+GH77(244-888)	-	-	N	1
fig|2005473.101.peg.2704	-	GH13_46(167-485)	-	-	Y(1-56)	1
fig|2005473.101.peg.2723	-	GH179(29-204)	-	-	N	1
fig|2005473.101.peg.307	-	GH29(21-355)	-	-	Y(1-26)	1
fig|2005473.101.peg.355	-	CE4(22-133)	-	-	N	1
fig|2005473.101.peg.356	-	GT117(16-235)	-	-	N	1
fig|2005473.101.peg.364	-	GH133(285-637)	-	-	N	1
fig|2005473.101.peg.365	-	GT4(234-383)	-	-	N	1
fig|2005473.101.peg.366	-	GH57(6-321)	-	-	N	1
fig|2005473.101.peg.369	-	GH78(85-578)	-	-	Y(1-29)	1
fig|2005473.101.peg.371	-	GH3(95-313)	-	-	Y(1-20)	1
fig|2005473.101.peg.372	-	GH37(38-436)	-	-	Y(1-35)	1
fig|2005473.101.peg.373	-	CBM67(160-349)+GH78(378-873)	-	-	Y(1-23)	1
fig|2005473.101.peg.387	-	GT4(217-368)	-	-	N	1
fig|2005473.101.peg.388	-	GT2(21-194)	-	-	N	1
fig|2005473.101.peg.389	-	GT2(20-145)	-	-	N	1
fig|2005473.101.peg.392	-	GT2(11-127)	-	-	N	1
fig|2005473.101.peg.393	-	GT2(9-116)	-	-	N	1
fig|2005473.101.peg.407	-	GT27(12-242)	-	-	N	1
fig|2005473.101.peg.411	-	GH23(124-254)	-	-	Y(1-22)	1
fig|2005473.101.peg.413	-	CE20(146-262)+CE20(456-579)	-	-	N	1
fig|2005473.101.peg.460	-	GT2(15-169)	-	-	N	1
fig|2005473.101.peg.49	-	GH32(59-355)	-	-	N	1
fig|2005473.101.peg.492	-	GH13_28(42-353)	-	-	Y(1-20)	1
fig|2005473.101.peg.515	-	GH23(304-460)	-	-	Y(1-24)	1
fig|2005473.101.peg.528	-	CE4(31-129)	-	-	N	1
fig|2005473.101.peg.529	-	GT2(5-162)	-	-	N	1
fig|2005473.101.peg.55	-	GH32(145-446)	-	-	Y(1-24)	1
fig|2005473.101.peg.555	-	GH147(28-840)	-	-	Y(1-28)	1
fig|2005473.101.peg.556	-	GH53(60-351)	-	-	Y(1-28)	1
fig|2005473.101.peg.557	-	GH2(25-757)	-	-	Y(1-26)	1
fig|2005473.101.peg.562	-	GH2(35-594)	-	-	Y(1-24)	1
fig|2005473.101.peg.566	-	GH125(71-471)	-	-	Y(1-24)	1
fig|2005473.101.peg.59	-	GH31_1(178-608)	-	-	Y(1-23)	1
fig|2005473.101.peg.605	-	GT2(5-168)	-	-	N	1
fig|2005473.101.peg.690	-	GT30(42-207)	-	-	N	1
fig|2005473.101.peg.73	-	GH163(194-448)	-	-	Y(1-32)	1
fig|2005473.101.peg.751	-	GH3(113-341)	-	-	Y(1-21)	1
fig|2005473.101.peg.755	-	GH16_3(46-277)	-	-	Y(1-27)	1
fig|2005473.101.peg.76	-	GH36(33-713)	-	-	Y(1-27)	1
fig|2005473.101.peg.809	-	GT4(169-319)	-	-	N	1
fig|2005473.101.peg.810	-	GT2(12-168)	-	-	N	1
fig|2005473.101.peg.838	-	GH97(14-663)	-	-	Y(1-22)	1
fig|2005473.101.peg.839	-	GH97(12-697)	-	-	Y(1-18)	1
fig|2005473.101.peg.840	-	GH66(50-602)	-	-	Y(1-28)	1
fig|2005473.101.peg.885	-	GH2(63-967)	-	-	Y(1-28)	1
fig|2005473.101.peg.887	-	GH109(54-458)	-	-	Y(1-25)	1
fig|2005473.101.peg.901	-	GH2(26-760)	-	-	Y(1-23)	1
fig|2005473.101.peg.902	-	GH95(88-829)	-	-	N	1
fig|2005473.101.peg.912	-	GH27(397-635)	-	-	N	1
fig|2005473.101.peg.915	-	CE20(104-216)+CE20(410-535)	-	-	Y(1-21)	1
fig|2005473.101.peg.916	-	GH36(27-694)	-	-	Y(1-36)	1
fig|2005473.101.peg.917	-	GH92(244-731)	-	-	Y(1-24)	1
fig|2005473.101.peg.930	-	GT122(33-346)	-	-	N	1
fig|2005473.101.peg.931	-	GT4(200-345)	-	-	N	1
fig|2005473.101.peg.932	-	GT2(3-124)	-	-	N	1
fig|2005473.101.peg.933	-	GT2(14-149)	-	-	N	1
