dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e1075	GT4:15	-	-	147	fig|2518495.5.peg.1013	395	4.5e-63	2	146	213	357	0.979591836735
GH23_e461	GH23:8	-	-	132	fig|2518495.5.peg.1062	328	3.2e-80	1	132	101	232	0.992424242424
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	fig|2518495.5.peg.107	722	0	6	689	19	719	0.991291727141
PL10_e13	PL10_1:106|CE0:22|CE8:20|PL10:4|CE12:1	4.2.2.2:1	pectin	290	fig|2518495.5.peg.108	401	2.4e-127	2	288	76	364	0.986206896552
GT2	GT2:308	-	-	168	fig|2518495.5.peg.1144	317	8.9e-72	1	167	9	175	0.988095238095
GH23_e762	GH23:8	-	-	158	fig|2518495.5.peg.1158	462	7.5e-88	1	157	303	459	0.987341772152
GT2	GT2:29	-	-	277	fig|2518495.5.peg.1195	392	7.1e-64	1	266	59	329	0.956678700361
GT113_e0	GT113:182	2.4.1.-:1	-	321	fig|2518495.5.peg.1201	345	7.5e-98	3	320	16	338	0.98753894081
PL11_e0	PL11_1:1283|CBM2:80|CE12:47|PL11:27|CBM35:19|CBM13:13|PL11_2:8|CBM3:6|CBM37:2|GH28:1|GH128:1|CBM0:1|CBM84:1|CBM88:1|CBM5:1|CBM66:1|GH44:1|GH105:1|CBM10:1	4.2.2.23:15|4.2.2.24:5	pectin, pectin	607	fig|2518495.5.peg.1240	1199	2.7e-243	2	577	18	611	0.947281713344
CE12_e36	CE12:119|CBM13:1	-	-	217	fig|2518495.5.peg.1272	551	1.4e-84	1	217	70	290	0.995391705069
CE12_e36	CE12:119|CBM13:1	-	-	217	fig|2518495.5.peg.1272	551	7e-86	1	217	321	541	0.995391705069
GH51_e47	GH51:642|GH43_34:9|CE6:3|GH43_18:3|GH43_22:3|GH43_4:3|GH43:2|GH43_29:2|CBM5:1|CBM66:1|GH0:1|CBM84:1|CBM0:1	3.2.1.55:5	arabinan	468	fig|2518495.5.peg.1336	657	3.7e-197	3	465	186	656	0.987179487179
GH28_e80	GH28:246|GH105:15|CE8:1	-	-	368	fig|2518495.5.peg.1337	482	4.2e-172	2	366	93	458	0.989130434783
GT3_e2	GT3:273|GT35:70	-	-	338	fig|2518495.5.peg.1338	577	3.8e-140	1	336	17	366	0.991124260355
GT35_e7	GT35:1062|GT3:53	2.4.1.1:9	-	531	fig|2518495.5.peg.1339	852	1.4e-226	1	530	126	655	0.996233521657
GH43_e0	GH43_10:1191|GH43_12:66|GH28:13|GH43:5	3.2.1.55:2|3.2.1.37:1	xylan, xylan	269	fig|2518495.5.peg.1348	532	2.3e-112	1	268	40	298	0.992565055762
CBM91_e20	CBM91:55|GH43_10:55|GH28:21|CBM6:1	-	xylan	184	fig|2518495.5.peg.1348	532	6.2e-67	1	183	332	521	0.989130434783
GH105_e30	GH105:21|GH28:15	-	-	350	fig|2518495.5.peg.1453	431	1.6e-178	1	349	53	412	0.994285714286
GH3_e0	GH3:1894|GH67:1|CBM6:1|CBM32:1	3.2.1.37:92|3.2.1.55:39|3.2.1.21:1|3.2.1.6:1|3.2.1.73:1	xylan, arabinan, beta-glucan, beta-glucan	251	fig|2518495.5.peg.1454	855	7.3e-110	4	245	59	306	0.96015936255
GT2	GT2:20	-	-	155	fig|2518495.5.peg.146	325	7e-43	1	114	4	125	0.729032258065
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	fig|2518495.5.peg.1468	902	0	5	632	17	645	0.990521327014
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	fig|2518495.5.peg.1468	902	1.8e-49	2	110	718	826	0.972972972973
GH5_e243	GH5_21:28|GH43_10:5	3.2.1.8:2	xylan	275	fig|2518495.5.peg.1469	670	8.1e-148	1	275	35	312	0.996363636364
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	fig|2518495.5.peg.1470	460	3.3e-134	1	280	27	314	0.992882562278
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	fig|2518495.5.peg.1470	460	1.6e-48	1	124	336	460	0.984
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	fig|2518495.5.peg.1471	390	1e-32	1	60	48	107	0.983333333333
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	fig|2518495.5.peg.1471	390	5.7e-55	3	205	160	375	0.980582524272
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	fig|2518495.5.peg.1472	441	1.6e-121	1	281	23	297	0.996441281139
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	fig|2518495.5.peg.1472	441	4.9e-46	2	124	320	441	0.976
GH31_e94	GH31:154	3.2.1.177:4	xyloglucan	461	fig|2518495.5.peg.1473	821	1.4e-225	1	461	223	719	0.997830802603
GH10_e5	GH10:38|CBM4:15|CBM0:9	3.2.1.8:4	xylan	262	fig|2518495.5.peg.1474	709	2.9e-132	1	262	443	702	0.996183206107
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	fig|2518495.5.peg.1480	565	2.8e-148	1	295	57	352	0.996610169492
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	fig|2518495.5.peg.1480	565	6.3e-58	1	176	384	563	0.977653631285
GH43_e82	GH43_10:63|CBM6:1	3.2.1.55:1	xylan	267	fig|2518495.5.peg.1481	531	6.6e-149	1	267	32	299	0.996254681648
CBM91_e4	CBM91:98|GH43_10:98|CE6:5|CBM6:3|GH43_29:1	-	xylan	204	fig|2518495.5.peg.1481	531	1.8e-95	1	203	327	528	0.990196078431
GT2	GT2:377	-	-	167	fig|2518495.5.peg.1536	254	2.2e-85	1	166	13	178	0.988023952096
GH2_e20	GH2:323|GH53:7|CBM32:1	-	-	633	fig|2518495.5.peg.1577	658	8e-82	3	240	18	261	0.374407582938
GH2_e20	GH2:323|GH53:7|CBM32:1	-	-	633	fig|2518495.5.peg.1577	658	5e-101	387	632	264	510	0.387045813586
GT2	GT2:387	-	-	162	fig|2518495.5.peg.1584	316	5.1e-80	1	161	5	166	0.987654320988
GH43_e124	GH43_12:138|GH10:7|GH43:1	3.2.1.55:7|3.2.1.8:1	xylan, xylan	295	fig|2518495.5.peg.1601	534	6.4e-143	1	295	38	333	0.996610169492
CBM91_e46	CBM91:172|GH43_12:169|GH10:14|GH43_8:1	-	xylan	179	fig|2518495.5.peg.1601	534	4.6e-46	6	177	357	533	0.95530726257
GH24_e168	GH24:108	-	-	121	fig|2518495.5.peg.1632	174	7.3e-69	2	121	44	168	0.98347107438
GH29_e63	GH29:296|CBM13:1	3.2.1.63:1|3.2.1.51:1	host glycan, host glycan	336	fig|2518495.5.peg.1654	442	4.8e-161	3	336	26	357	0.991071428571
GH127_e5	GH127:146	3.2.1.-:2	carrageenan	539	fig|2518495.5.peg.1656	695	4e-268	1	539	45	605	0.99814471243
GH141_e22	GH141:112|CBM6:1|CBM9:1	3.2.1.51:1	pectin	561	fig|2518495.5.peg.1657	602	3.4e-257	1	561	17	563	0.998217468806
