HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	fig|226186.12.peg.1000|BT_0983	882	3e-94	27	514	43	642	0.647606382979
GH139.hmm	777	fig|226186.12.peg.1001|BT_0984	803	0	4	775	2	802	0.992277992278
CE20.hmm	249	fig|226186.12.peg.1002|BT_0985	477	5.5e-93	3	248	107	367	0.983935742972
GH106.hmm	824	fig|226186.12.peg.1003|BT_0986	1105	5e-118	94	457	362	724	0.440533980583
GH2.hmm	752	fig|226186.12.peg.1009|BT_0992	950	1.6e-129	35	745	40	830	0.94414893617
GH2.hmm	752	fig|226186.12.peg.1010|BT_0993	1092	6.4e-230	29	750	52	976	0.958776595745
GH137.hmm	340	fig|226186.12.peg.1013|BT_0996	1412	3.9e-159	2	340	20	368	0.994117647059
GH2.hmm	752	fig|226186.12.peg.1013|BT_0996	1412	2.8e-76	21	387	371	814	0.48670212766
CBM57.hmm	147	fig|226186.12.peg.1013|BT_0996	1412	3e-45	2	147	1080	1241	0.986394557823
CBM97.hmm	127	fig|226186.12.peg.1013|BT_0996	1412	6.5e-44	2	127	1288	1412	0.984251968504
GH138.hmm	907	fig|226186.12.peg.1014|BT_0997	899	0	1	907	1	899	0.998897464168
GH78.hmm	504	fig|226186.12.peg.1017|BT_1001	729	2.2e-115	3	489	186	680	0.964285714286
GH141.hmm	527	fig|226186.12.peg.1018|BT_1002	619	2.1e-232	2	527	21	581	0.996204933586
GH127.hmm	524	fig|226186.12.peg.1019|BT_1003	698	3.7e-192	1	524	44	607	0.998091603053
GH95.hmm	722	fig|226186.12.peg.1026|BT_1010	824	2.7e-293	3	713	29	761	0.983379501385
GH105.hmm	332	fig|226186.12.peg.1027|BT_1011	400	3.4e-121	5	332	49	396	0.984939759036
GH140.hmm	412	fig|226186.12.peg.1029|BT_1012	339	9.4e-132	108	412	1	318	0.73786407767
CBM67.hmm	176	fig|226186.12.peg.1030|BT_1013	1290	3.9e-38	3	170	144	329	0.948863636364
GH78.hmm	504	fig|226186.12.peg.1030|BT_1013	1290	1.2e-160	6	504	357	887	0.988095238095
GH33.hmm	342	fig|226186.12.peg.1030|BT_1013	1290	4.8e-39	13	328	920	1275	0.921052631579
CE19.hmm	332	fig|226186.12.peg.1034|BT_1017	653	2.4e-141	2	331	118	449	0.990963855422
GH28.hmm	325	fig|226186.12.peg.1035|BT_1018	445	1.3e-97	10	309	53	421	0.92
CBM67.hmm	176	fig|226186.12.peg.1036|BT_1019	953	9.1e-35	27	172	200	355	0.823863636364
GH78.hmm	504	fig|226186.12.peg.1036|BT_1019	953	1.6e-157	3	504	395	933	0.994047619048
GH143.hmm	556	fig|226186.12.peg.1037|BT_1020	1109	2.5e-295	3	556	21	570	0.994604316547
GH142.hmm	479	fig|226186.12.peg.1037|BT_1020	1109	1.5e-232	2	479	634	1101	0.995824634656
GH43_18.hmm	226	fig|226186.12.peg.1038|BT_1021	309	8.6e-91	2	226	66	291	0.991150442478
PL1_2.hmm	183	fig|226186.12.peg.1040|BT_1023	579	2.2e-64	1	183	135	328	0.994535519126
GH92.hmm	491	fig|226186.12.peg.1049|BT_1032	756	2e-179	2	487	269	755	0.987780040733
GH130_2.hmm	300	fig|226186.12.peg.1050|BT_1033	322	1.1e-157	1	300	19	317	0.996666666667
GH163.hmm	251	fig|226186.12.peg.1052|BT_1035	734	7.8e-111	1	251	197	451	0.996015936255
GH20.hmm	337	fig|226186.12.peg.1068|BT_1051	773	4e-124	9	335	154	507	0.967359050445
GT35.hmm	674	fig|226186.12.peg.1123|BT_1100	852	4.6e-113	209	637	272	734	0.635014836795
GT2.hmm	170	fig|226186.12.peg.1189|BT_1166	299	5.5e-17	1	169	8	182	0.988235294118
