HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH146.hmm	503	fig|2005473.90.peg.100	804	9e-177	2	502	40	550	0.994035785288
GH97.hmm	631	fig|2005473.90.peg.1009	656	1.4e-176	5	628	14	653	0.987321711569
GT51.hmm	177	fig|2005473.90.peg.1055	807	3e-61	3	177	85	266	0.983050847458
GH2.hmm	752	fig|2005473.90.peg.1068	838	6.4e-108	24	504	18	596	0.63829787234
GH13_48.hmm	283	fig|2005473.90.peg.1074	469	1.7e-117	2	282	55	348	0.989399293286
GH32.hmm	293	fig|2005473.90.peg.1100	613	2.2e-84	1	290	145	448	0.986348122867
GT2.hmm	170	fig|2005473.90.peg.1120	254	6.3e-19	1	106	5	100	0.617647058824
GT2.hmm	170	fig|2005473.90.peg.1121	273	1.2e-22	1	105	12	117	0.611764705882
GT2.hmm	170	fig|2005473.90.peg.1123	273	2e-24	2	106	5	108	0.611764705882
GT2.hmm	170	fig|2005473.90.peg.1124	340	5.6e-36	1	122	22	143	0.711764705882
GT2.hmm	170	fig|2005473.90.peg.1125	322	9.8e-37	1	132	9	140	0.770588235294
CE4.hmm	130	fig|2005473.90.peg.1139	205	7.3e-25	4	119	22	133	0.884615384615
GT117.hmm	245	fig|2005473.90.peg.1140	1170	2.6e-38	2	206	16	238	0.832653061224
GH13_37.hmm	314	fig|2005473.90.peg.1198	461	4.8e-102	5	313	45	348	0.980891719745
GH31.hmm	427	fig|2005473.90.peg.1199	781	1.2e-124	1	427	209	648	0.997658079625
GH10.hmm	303	fig|2005473.90.peg.1222	717	5.8e-114	1	301	32	362	0.990099009901
CE1.hmm	227	fig|2005473.90.peg.1222	717	1.3e-51	1	221	501	712	0.969162995595
GH97.hmm	631	fig|2005473.90.peg.1223	710	1.4e-243	4	630	10	697	0.992076069731
GH2.hmm	752	fig|2005473.90.peg.1231	1025	1.7e-215	19	748	50	895	0.969414893617
GH115.hmm	697	fig|2005473.90.peg.1236	371	2.3e-108	210	493	1	291	0.406025824964
GT119.hmm	360	fig|2005473.90.peg.1261	438	1.7e-53	1	358	34	408	0.991666666667
GT28.hmm	157	fig|2005473.90.peg.1262	370	7.9e-47	2	156	196	353	0.980891719745
GT4.hmm	160	fig|2005473.90.peg.1280	416	6.7e-17	10	157	241	388	0.91875
GT9.hmm	225	fig|2005473.90.peg.1284	359	6.7e-28	2	218	78	330	0.96
GH31_4.hmm	435	fig|2005473.90.peg.1300	822	1.3e-166	1	435	216	710	0.997701149425
GT2.hmm	170	fig|2005473.90.peg.1306	253	1.8e-31	2	168	12	178	0.976470588235
GT83.hmm	540	fig|2005473.90.peg.1373	538	3.3e-79	6	483	9	518	0.883333333333
