HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	fig|2005473.97.peg.1023	337	3.2e-33	1	169	9	175	0.988235294118
GH23.hmm	135	fig|2005473.97.peg.1046	473	4.1e-26	12	122	309	464	0.814814814815
GT30.hmm	177	fig|2005473.97.peg.108	426	1.1e-46	12	176	47	207	0.926553672316
GT2.hmm	170	fig|2005473.97.peg.1087	283	7.1e-17	4	168	7	188	0.964705882353
GT2.hmm	170	fig|2005473.97.peg.1088	334	2.7e-34	1	166	23	184	0.970588235294
GH31_15.hmm	426	fig|2005473.97.peg.1139	817	6.2e-160	1	426	245	679	0.99765258216
CE1.hmm	227	fig|2005473.97.peg.1151	328	1.9e-36	1	221	51	317	0.969162995595
CE20.hmm	249	fig|2005473.97.peg.1187	465	1.5e-77	3	248	97	354	0.983935742972
GH5_2.hmm	237	fig|2005473.97.peg.1188	337	5.4e-85	3	235	55	288	0.978902953586
CE1.hmm	227	fig|2005473.97.peg.1192	707	1.7e-19	5	207	443	668	0.88986784141
GT2.hmm	170	fig|2005473.97.peg.1220	266	1.7e-22	1	123	9	137	0.717647058824
GT2.hmm	170	fig|2005473.97.peg.1221	301	2.5e-16	1	129	5	129	0.752941176471
GT4.hmm	160	fig|2005473.97.peg.1225	379	1.8e-25	6	150	185	329	0.9
GT4.hmm	160	fig|2005473.97.peg.1226	382	4.9e-21	12	152	199	340	0.875
GT4.hmm	160	fig|2005473.97.peg.1228	371	5.2e-22	7	155	198	341	0.925
GT2.hmm	170	fig|2005473.97.peg.1229	316	7.1e-34	1	118	3	116	0.688235294118
GT32.hmm	90	fig|2005473.97.peg.1230	250	1.3e-18	3	87	20	96	0.933333333333
GT2.hmm	170	fig|2005473.97.peg.1231	320	1.1e-36	1	165	9	168	0.964705882353
GT2.hmm	170	fig|2005473.97.peg.1239	332	4.1e-34	1	125	7	129	0.729411764706
GH130_1.hmm	313	fig|2005473.97.peg.1259	387	4.6e-173	1	313	49	359	0.996805111821
GH26.hmm	303	fig|2005473.97.peg.1260	379	3.3e-51	10	254	41	308	0.805280528053
GH26.hmm	303	fig|2005473.97.peg.1261	464	3.6e-82	2	303	139	458	0.993399339934
GH36.hmm	688	fig|2005473.97.peg.1265	734	2.6e-210	4	686	26	708	0.991279069767
GH171.hmm	355	fig|2005473.97.peg.127	414	1.3e-123	1	355	47	414	0.997183098592
GH133.hmm	372	fig|2005473.97.peg.1278	647	1e-80	8	372	287	637	0.978494623656
GT4.hmm	160	fig|2005473.97.peg.1279	420	6.9e-36	4	157	238	388	0.95625
GH57.hmm	383	fig|2005473.97.peg.1280	479	2.7e-62	2	310	6	321	0.804177545692
GH97.hmm	631	fig|2005473.97.peg.1296	700	2.1e-229	9	630	15	697	0.984152139461
GT51.hmm	177	fig|2005473.97.peg.1302	808	3.6e-60	2	177	87	269	0.988700564972
GT9.hmm	225	fig|2005473.97.peg.1370	361	1.3e-32	2	217	84	338	0.955555555556
GT117.hmm	245	fig|2005473.97.peg.1372	1163	2.4e-37	2	206	16	235	0.832653061224
CE4.hmm	130	fig|2005473.97.peg.1373	205	7.9e-27	4	117	22	131	0.869230769231
GH13_48.hmm	283	fig|2005473.97.peg.1379	479	1.7e-118	2	282	49	346	0.989399293286
GH13_42.hmm	400	fig|2005473.97.peg.1399	1152	2.8e-147	1	400	123	551	0.9975
CBM62.hmm	131	fig|2005473.97.peg.1411	1003	8.6e-21	24	130	310	432	0.809160305344
GH25.hmm	177	fig|2005473.97.peg.1446	240	2.7e-43	1	177	46	222	0.994350282486
GH23.hmm	135	fig|2005473.97.peg.149	566	6.2e-22	2	120	128	263	0.874074074074
GT2.hmm	170	fig|2005473.97.peg.1537	269	2.7e-30	1	124	4	126	0.723529411765
GT2.hmm	170	fig|2005473.97.peg.1538	319	6.5e-30	1	168	6	181	0.982352941176
GT2.hmm	170	fig|2005473.97.peg.156	331	3e-23	2	129	6	130	0.747058823529
GT83.hmm	540	fig|2005473.97.peg.1608	604	1.5e-75	2	449	2	504	0.827777777778
CE4.hmm	130	fig|2005473.97.peg.1609	262	2.6e-18	21	126	32	129	0.807692307692
GT2.hmm	170	fig|2005473.97.peg.1610	314	9.1e-26	2	169	6	176	0.982352941176
GH32.hmm	293	fig|2005473.97.peg.1645	569	2.6e-57	1	289	266	568	0.982935153584
GH32.hmm	293	fig|2005473.97.peg.1658	612	1.5e-87	1	290	143	445	0.986348122867
GT4.hmm	160	fig|2005473.97.peg.1666	411	9.4e-35	11	158	231	379	0.91875
GT14.hmm	250	fig|2005473.97.peg.1703	278	1e-41	2	242	4	237	0.96
GH26.hmm	303	fig|2005473.97.peg.1918	570	1e-82	1	303	182	510	0.996699669967
GT119.hmm	360	fig|2005473.97.peg.2009	487	3.6e-31	2	197	23	213	0.541666666667
GT119.hmm	360	fig|2005473.97.peg.2009	487	9.8e-50	137	358	248	480	0.613888888889
GH13_38.hmm	371	fig|2005473.97.peg.2011	598	1.4e-167	1	370	62	421	0.99460916442
GH53.hmm	342	fig|2005473.97.peg.2023	365	7.9e-91	3	313	56	340	0.906432748538
CE11.hmm	271	fig|2005473.97.peg.204	460	5.4e-71	1	221	3	224	0.811808118081
GH94.hmm	1036	fig|2005473.97.peg.2090	812	1.1e-295	263	1036	2	809	0.746138996139
GT3.hmm	637	fig|2005473.97.peg.213	559	3.8e-107	1	343	13	344	0.536891679749
GT35.hmm	674	fig|2005473.97.peg.214	851	1e-126	20	627	124	707	0.90059347181
GH31.hmm	427	fig|2005473.97.peg.2142	804	7.8e-122	2	427	232	671	0.995316159251
GT2.hmm	170	fig|2005473.97.peg.2174	288	1.7e-36	1	127	11	135	0.741176470588
GT2.hmm	170	fig|2005473.97.peg.2175	324	4.3e-30	1	166	7	183	0.970588235294
GH13_42.hmm	400	fig|2005473.97.peg.2187	991	6e-157	1	400	66	510	0.9975
CBM26.hmm	75	fig|2005473.97.peg.2187	991	3.9e-16	3	71	837	906	0.906666666667
GT2.hmm	170	fig|2005473.97.peg.2189	250	5.9e-29	2	167	9	174	0.970588235294
CBM98.hmm	105	fig|2005473.97.peg.227	921	4.7e-21	6	105	33	130	0.942857142857
GH13_47.hmm	312	fig|2005473.97.peg.227	921	2.5e-98	4	311	408	706	0.983974358974
GT4.hmm	160	fig|2005473.97.peg.229	356	2.6e-32	10	158	174	322	0.925
GH13_28.hmm	287	fig|2005473.97.peg.230	479	2.4e-100	1	286	43	354	0.993031358885
GT4.hmm	160	fig|2005473.97.peg.248	379	3.1e-22	31	152	198	344	0.75625
GH24.hmm	137	fig|2005473.97.peg.2527	114	4.1e-18	27	137	4	107	0.802919708029
CBM74.hmm	312	fig|2005473.97.peg.2543	360	5.7e-63	1	311	30	342	0.99358974359
GT2.hmm	170	fig|2005473.97.peg.262	272	1.3e-22	1	146	16	163	0.852941176471
GT4.hmm	160	fig|2005473.97.peg.266	389	5.4e-21	11	151	201	340	0.875
GT4.hmm	160	fig|2005473.97.peg.268	473	1e-26	7	148	308	440	0.88125
GT4.hmm	160	fig|2005473.97.peg.273	408	2.9e-24	11	157	224	377	0.9125
GT4.hmm	160	fig|2005473.97.peg.274	392	6.5e-26	6	159	213	366	0.95625
GT4.hmm	160	fig|2005473.97.peg.275	384	1.6e-27	6	159	209	355	0.95625
GT2.hmm	170	fig|2005473.97.peg.277	302	4e-21	1	137	5	136	0.8
GH13_46.hmm	322	fig|2005473.97.peg.35	621	2.4e-139	1	320	168	485	0.990683229814
CBM26.hmm	75	fig|2005473.97.peg.351	777	7.5e-17	1	62	138	200	0.813333333333
GH13_37.hmm	314	fig|2005473.97.peg.351	777	6.8e-86	4	314	368	661	0.987261146497
GH53.hmm	342	fig|2005473.97.peg.354	363	9.7e-92	3	312	35	328	0.90350877193
CBM20.hmm	90	fig|2005473.97.peg.377	892	3.2e-17	11	85	140	217	0.822222222222
GH77.hmm	494	fig|2005473.97.peg.377	892	5.3e-150	1	490	244	888	0.98987854251
GH66.hmm	556	fig|2005473.97.peg.4	679	1.5e-155	2	555	125	679	0.994604316547
GH13_19.hmm	365	fig|2005473.97.peg.437	1059	8.8e-127	1	364	176	564	0.994520547945
GT5.hmm	472	fig|2005473.97.peg.458	273	1.5e-39	1	222	6	239	0.468220338983
GH5_8.hmm	255	fig|2005473.97.peg.460	547	2.4e-75	1	253	37	296	0.988235294118
GH5_8.hmm	255	fig|2005473.97.peg.461	642	1.7e-81	1	253	31	280	0.988235294118
GT119.hmm	360	fig|2005473.97.peg.471	441	1.4e-40	1	358	27	406	0.991666666667
GT28.hmm	157	fig|2005473.97.peg.472	368	3.3e-44	2	156	191	353	0.980891719745
GT19.hmm	354	fig|2005473.97.peg.486	391	9.4e-111	2	352	9	373	0.988700564972
GT4.hmm	160	fig|2005473.97.peg.488	381	5.5e-23	8	157	201	346	0.93125
GT2.hmm	170	fig|2005473.97.peg.495	272	8.8e-25	1	163	18	173	0.952941176471
GT2.hmm	170	fig|2005473.97.peg.521	323	1.1e-23	1	113	22	135	0.658823529412
GH3.hmm	216	fig|2005473.97.peg.548	741	2.4e-67	3	215	85	306	0.981481481481
CE7.hmm	313	fig|2005473.97.peg.549	423	3.6e-68	16	312	117	413	0.945686900958
GT4.hmm	160	fig|2005473.97.peg.570	425	1.7e-17	8	150	235	376	0.8875
GH30_3.hmm	417	fig|2005473.97.peg.599	500	4.5e-155	4	417	76	500	0.990407673861
GH3.hmm	216	fig|2005473.97.peg.601	744	8.5e-66	4	214	63	281	0.972222222222
GT4.hmm	160	fig|2005473.97.peg.604	398	1.9e-19	6	159	207	365	0.95625
PL12_3.hmm	144	fig|2005473.97.peg.605	613	3.5e-33	1	134	384	507	0.923611111111
GH32.hmm	293	fig|2005473.97.peg.651	511	2e-42	3	281	55	343	0.948805460751
GH13_8.hmm	320	fig|2005473.97.peg.698	676	1.2e-164	2	320	194	514	0.99375
GT2.hmm	170	fig|2005473.97.peg.744	324	6e-31	1	168	11	175	0.982352941176
