feature_id	location	type	function	aliases	protein_md5
fig|2005473.97.peg.1	NODE_1_length_204484_cov_39.3853_385-126	CDS	hypothetical protein		a30e6d0cf82b2e8e16a0b2b883610dbc
fig|2005473.97.peg.2	NODE_1_length_204484_cov_39.3853_2244-1467	CDS	Trk potassium uptake system protein TrkH		3f0e848c43a2f7e18890a866e8055120
fig|2005473.97.peg.3	NODE_1_length_204484_cov_39.3853_3598-1335	CDS	hypothetical protein		194249d2c5086f05753cd12ec11ed47e
fig|2005473.97.peg.4	NODE_1_length_204484_cov_39.3853_5763-2040	CDS	hypothetical protein		ec040079f5c5fe933dd4c874b6c957d1
fig|2005473.97.peg.5	NODE_1_length_204484_cov_39.3853_7085-1326	CDS	hypothetical protein		647bd26afa1d96982b54e809be9cf7ce
fig|2005473.97.peg.6	NODE_1_length_204484_cov_39.3853_10780-3678	CDS	hypothetical protein		e7e4385ebd8997f086768e519a34e07d
fig|2005473.97.peg.7	NODE_1_length_204484_cov_39.3853_11721-906	CDS	hypothetical protein		50c6489aae0817808418cc0583c38939
fig|2005473.97.peg.8	NODE_1_length_204484_cov_39.3853_14143-2142	CDS	Glucan 1,4-alpha-glucosidase (EC 3.2.1.3)		004f5fe789d97be7eddcfbddefbc7a03
fig|2005473.97.peg.9	NODE_1_length_204484_cov_39.3853_15593-1416	CDS	hypothetical protein		6f2077c8bbfee7a5249d04178005a4c1
fig|2005473.97.peg.10	NODE_1_length_204484_cov_39.3853_16878-1188	CDS	hypothetical protein		4e91e29b90276161f2563c9c5d6e12e6
fig|2005473.97.peg.11	NODE_1_length_204484_cov_39.3853_18657-1737	CDS	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family		482748e677b92c206ef29f4d495d3509
fig|2005473.97.peg.12	NODE_1_length_204484_cov_39.3853_21666-2982	CDS	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family		3ca1f3d61aabbff8fe942fe4764ca4ac
fig|2005473.97.peg.13	NODE_1_length_204484_cov_39.3853_21859-138	CDS	hypothetical protein		0d136f31d32097cbaeb45d0e25e32534
fig|2005473.97.peg.14	NODE_1_length_204484_cov_39.3853_23670-1662	CDS	Regulatory protein SusR		46fee8b7d1c660eb29597fb923937bbd
fig|2005473.97.peg.15	NODE_1_length_204484_cov_39.3853_25551-1737	CDS	Acyl-CoA dehydrogenase		b4b4207cfbca93938234d3700c86aeb0
fig|2005473.97.peg.16	NODE_1_length_204484_cov_39.3853_26582-1032	CDS	Electron transfer flavoprotein, alpha subunit		158f90c82ac0bcae97166d34cfe33f75
