HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT28.hmm	157	fig|2005473.103.peg.100	363	1.1e-48	1	156	191	348	0.987261146497
GT117.hmm	245	fig|2005473.103.peg.1097	1293	4.1e-39	1	202	17	242	0.820408163265
CE4.hmm	130	fig|2005473.103.peg.1098	206	7.8e-25	6	111	25	126	0.807692307692
GH51_1.hmm	472	fig|2005473.103.peg.110	513	4.9e-172	5	471	29	511	0.987288135593
GH2.hmm	752	fig|2005473.103.peg.1127	827	1.2e-106	34	475	26	594	0.586436170213
GT4.hmm	160	fig|2005473.103.peg.1150	403	8e-16	11	154	219	365	0.89375
GT2.hmm	170	fig|2005473.103.peg.1155	230	2.1e-25	4	167	1	154	0.958823529412
GH13_48.hmm	283	fig|2005473.103.peg.1159	584	8.1e-119	4	282	54	343	0.982332155477
GT4.hmm	160	fig|2005473.103.peg.1173	384	3.4e-25	9	159	200	347	0.9375
GH25.hmm	177	fig|2005473.103.peg.1212	243	2.3e-42	1	177	53	222	0.994350282486
GH53.hmm	342	fig|2005473.103.peg.124	247	9.2e-73	36	221	38	214	0.540935672515
GH31_15.hmm	426	fig|2005473.103.peg.1249	876	2.8e-166	1	426	198	637	0.99765258216
GH31_15.hmm	426	fig|2005473.103.peg.1255	861	1.3e-169	1	426	207	633	0.99765258216
GH32.hmm	293	fig|2005473.103.peg.1259	609	3.3e-87	1	285	140	436	0.969283276451
GT2.hmm	170	fig|2005473.103.peg.1280	488	1.3e-18	1	133	202	340	0.776470588235
GH30_2.hmm	411	fig|2005473.103.peg.1285	589	1.4e-156	10	411	140	581	0.975669099757
GH31_16.hmm	431	fig|2005473.103.peg.1328	749	8e-229	1	430	187	614	0.99535962877
GH36.hmm	688	fig|2005473.103.peg.1342	736	1.6e-217	3	687	28	711	0.994186046512
GH63.hmm	570	fig|2005473.103.peg.1345	629	6.5e-110	236	568	175	626	0.582456140351
GH2.hmm	752	fig|2005473.103.peg.1346	1043	3.4e-216	21	751	65	914	0.970744680851
GT2.hmm	170	fig|2005473.103.peg.1359	244	3.6e-29	2	169	6	173	0.982352941176
GH13_14.hmm	289	fig|2005473.103.peg.1433	671	7.3e-118	1	289	200	524	0.996539792388
