Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2518495.5.peg.1013	-	GT4(212-359)	GT4_e1075	GT4	N	3
fig|2518495.5.peg.1062	-	GH23(100-231)	GH23_e461	GH23	Y(1-30)	3
fig|2518495.5.peg.107	3.2.1.3|3.2.1.20	GH97(13-718)	GH97_e22	GH97	N	3
fig|2518495.5.peg.108	4.2.2.2	PL10_1(74-365)	PL10_e13	PL10_1	Y(1-43)	3
fig|2518495.5.peg.1144	-	GT2(8-169)	GT2	GT2	N	3
fig|2518495.5.peg.1158	-	GH23(301-460)	GH23_e762	GH23	Y(1-21)	3
fig|2518495.5.peg.1201	2.4.1.-	GT113(14-339)	GT113_e0	GT113	N	3
fig|2518495.5.peg.1215	N	GT119(20-207)+GT119(252-480)	N	GT119	N	2
fig|2518495.5.peg.1240	4.2.2.23|4.2.2.24	PL11_1(18-610)	PL11_e0	PL11_1	N	3
fig|2518495.5.peg.1272	-	CE12(70-289)+CE12(321-540)	CE12_e36+CE12_e36	CE12	Y(1-26)	3
fig|2518495.5.peg.1336	3.2.1.55	GH51_2(200-655)	GH51_e47	GH51_2	Y(1-25)	3
fig|2518495.5.peg.1337	-	GH28(91-459)	GH28_e80	GH28	Y(1-26)	3
fig|2518495.5.peg.1338	-	GT3(16-366)	GT3_e2	GT3	N	3
fig|2518495.5.peg.1339	2.4.1.1	GT35(249-642)	GT35_e7	GT35	N	3
fig|2518495.5.peg.1348	3.2.1.55|3.2.1.37|-	GH43_10(40-298)+CBM91(331-521)	GH43_e0+CBM91_e20	CBM91+GH43_10	Y(1-30)	3
fig|2518495.5.peg.1453	-	GH105(48-412)	GH105_e30	GH105	Y(1-16)	3
fig|2518495.5.peg.1454	3.2.1.37|3.2.1.55|3.2.1.21|3.2.1.6|3.2.1.73	GH3(59-304)	GH3_e0	GH3	Y(1-22)	3
fig|2518495.5.peg.146	-	GT2(3-168)	GT2	GT2	N	3
fig|2518495.5.peg.1468	3.1.1.72|3.1.1.73|3.2.1.22|3.2.1.88	GH97(11-645)+CE6(716-826)	GH97_e18+CE6_e2	CE6+GH97	Y(1-20)	3
fig|2518495.5.peg.1469	3.2.1.8	GH5_21(28-318)	GH5_e243	GH5_21	N	3
fig|2518495.5.peg.1470	3.2.1.37|3.2.1.55|3.2.1.8	GH43_29(26-313)+CBM6(334-460)	GH43_e59+CBM6_e0	CBM6+GH43_29	Y(1-25)	3
fig|2518495.5.peg.1471	3.1.1.72|3.1.1.73|-	CE1(150-377)	CBM48_e9+CE1_e22	CBM48+CE0	Y(1-23)	3
fig|2518495.5.peg.1472	3.2.1.37|3.2.1.55|3.2.1.8	GH43_29(23-296)+CBM6(320-440)	GH43_e59+CBM6_e0	CBM6+GH43_29	Y(1-19)	3
fig|2518495.5.peg.1473	3.2.1.177	GH31_4(222-717)	GH31_e94	GH31_4	Y(1-27)	3
fig|2518495.5.peg.1474	3.2.1.8	GH10(444-701)	GH10_e5	GH10	Y(1-22)	3
fig|2518495.5.peg.1480	3.2.1.55|3.2.1.8|-	GH43_12(56-351)+CBM91(381-563)	GH43_e124+CBM91_e46	CBM91+GH43_12	N	3
fig|2518495.5.peg.1481	3.2.1.55|-	GH43_10(32-298)+CBM91(326-529)	GH43_e82+CBM91_e4	CBM91+GH43_10	Y(1-27)	3
fig|2518495.5.peg.1536	-	GT2(12-178)	GT2	GT2	N	3
fig|2518495.5.peg.1584	-	GT2(4-167)	GT2	GT2	N	3
fig|2518495.5.peg.1601	3.2.1.55|3.2.1.8|-	GH43_12(37-332)+CBM91(364-532)	GH43_e124+CBM91_e46	CBM91+GH43_12	N	3
fig|2518495.5.peg.1632	-	GH24(42-167)	GH24_e168	N	Y(1-20)	2
fig|2518495.5.peg.1654	3.2.1.63|3.2.1.51	GH29(18-356)	GH29_e63	GH29	Y(1-23)	3
fig|2518495.5.peg.1656	3.2.1.-	GH127(44-604)	GH127_e5	GH127	Y(1-21)	3
fig|2518495.5.peg.1657	3.2.1.51	GH141(16-563)	GH141_e22	GH141	N	3
fig|2518495.5.peg.1658	3.2.1.40	GH78(192-683)	GH78_e1	GH78	Y(1-21)	3
fig|2518495.5.peg.1659	-	GH138(9-897)	GH138_e1	GH138	Y(1-24)	3
fig|2518495.5.peg.1660	3.2.1.31|3.2.1.185	GH137(21-369)+GH2(377-809)+CBM57(1059-1221)+CBM97(1269-1391)	GH137_e0+GH2_e99+CBM57_e0	CBM57+CBM97+GH137+GH2	N	3
fig|2518495.5.peg.1661	3.2.1.23	GH2(51-963)	GH2_e1	GH2	Y(1-20)	3
fig|2518495.5.peg.1662	3.2.1.-|3.2.1.23	GH2(39-822)	GH2_e106	GH2	Y(1-29)	3
fig|2518495.5.peg.1663	3.2.1.40	GH106(340-790)	GH106_e44	GH106	N	3
fig|2518495.5.peg.1664	-	CE20(108-370)	CE20_e10	CE20	Y(1-27)	3
fig|2518495.5.peg.1665	3.2.1.-	GH139(21-756)	GH139_e0	GH139	Y(1-24)	3
fig|2518495.5.peg.1666	3.2.1.-	GH2(41-600)	GH2_e50	GH2	Y(1-20)	3
fig|2518495.5.peg.1667	-	PL1_2(132-323)	PL1_e77	PL1_2	Y(1-19)	3
fig|2518495.5.peg.1670	3.2.1.-|3.2.1.63	GH95(35-764)	GH95_e1	GH95	Y(1-36)	3
fig|2518495.5.peg.1671	3.2.1.-	GH140(34-460)	GH140_e1	GH140	Y(1-21)	3
fig|2518495.5.peg.1672	3.2.1.40|3.2.1.-	CBM67(150-328)+GH78(359-886)+GH33(946-1287)	CBM67_e28+GH78_e2+GH33_e82	GH33+GH78	Y(1-21)	3
fig|2518495.5.peg.1673	3.2.1.55	GH43_18(75-301)	GH43_e173	GH43_18	Y(1-24)	3
fig|2518495.5.peg.1674	3.2.1.185|3.2.1.-	GH143(20-570)+GH142(633-1099)	GH143_e0+GH142_e0	GH142+GH143	Y(1-22)	3
fig|2518495.5.peg.1675	3.2.1.40|-	CBM67(167-336)+GH78(377-892)	CBM67_e27+GH78_e43	GH78	N	3
fig|2518495.5.peg.1676	3.1.1.11	CE19(118-443)	CE19_e0	CE19	Y(1-20)	3
fig|2518495.5.peg.1678	2.4.1.18	GH13_8(195-514)	CBM48_e32+GH13_e20	CBM48+GH13_8	N	3
fig|2518495.5.peg.1680	3.2.1.173	GH28(78-413)	GH28_e117	GH28	Y(1-23)	3
fig|2518495.5.peg.1722	-	GH146(32-534)	GH146_e13	GH146	Y(1-20)	3
fig|2518495.5.peg.1726	-	GH13_28(41-352)	GH13_e17	GH13_28	Y(1-29)	3
fig|2518495.5.peg.1728	-	GT2(6-161)	GT2	GT2	N	3
fig|2518495.5.peg.1779	-	GT51(96-278)	GT51_e160	GT51	N	3
fig|2518495.5.peg.1821	-	GT4(187-340)	GT4_e782	GT4	N	3
fig|2518495.5.peg.185	-	GH23(133-251)	GH23_e209+CBM50_e113	CBM50+GH23	Y(1-23)	3
fig|2518495.5.peg.1913	-	GH28(90-443)	GH28_e25	GH28	Y(1-24)	3
fig|2518495.5.peg.1939	-	CE20(104-365)	CE20_e40	CE20	Y(1-22)	3
fig|2518495.5.peg.1947	2.4.1.161	GH31(224-664)	GH31_e76	GH31	Y(1-22)	3
fig|2518495.5.peg.1958	2.4.1.25	CBM20(2-86)+GH77(244-885)	CBM20_e2+GH77_e22	CBM20+GH77	N	3
fig|2518495.5.peg.196	3.2.1.92	GH171(70-437)	GH171_e0	GH171	Y(1-33)	3
fig|2518495.5.peg.1961	-	CE8(1048-1330)	CE8_e70	CE0	Y(1-24)	3
fig|2518495.5.peg.2025	-	CE4(24-132)	CE4_e140	CE4	N	3
fig|2518495.5.peg.2026	N	GT117(16-240)	N	N	N	1
fig|2518495.5.peg.2078	-	GH73(106-204)	GH73_e10	GH0	Y(1-27)	3
fig|2518495.5.peg.2105	3.2.1.22	GH36(25-710)	GH36_e36	GH36	Y(1-21)	3
fig|2518495.5.peg.2115	N	CE1(446-694)	N	N	N	1
fig|2518495.5.peg.2128	-	CBM98(29-133)+GH13_47(327-636)	CBM48_e31+GH13_e156	CBM48+GH13_47	Y(1-23)	3
fig|2518495.5.peg.2176	-	CE11(3-222)	CE11_e18	CE11	N	3
fig|2518495.5.peg.2222	-	GT2(13-140)	GT2	GT2	N	3
fig|2518495.5.peg.2260	3.2.1.1	GH13_37(58-367)	GH13_e203	GH13_37	Y(1-23)	3
fig|2518495.5.peg.2320	-	GH133(285-633)	GH133_e1	GH133	N	3
fig|2518495.5.peg.2321	-	GT4(240-388)	GT4_e602	GT4	N	3
