feature_id	location	type	function	aliases	protein_md5
fig|2005473.92.peg.1	NODE_1_length_246582_cov_308.299923_1492-1239	CDS	hypothetical protein		bdbd739c62b643d3dba2821d52a5ae0d
fig|2005473.92.peg.2	NODE_1_length_246582_cov_308.299923_2105-609	CDS	hypothetical protein		7dccae0351526b48a4ede89589cc42e8
fig|2005473.92.peg.3	NODE_1_length_246582_cov_308.299923_2156+450	CDS	hypothetical protein		2f59ead2d3f6953debe16d7d529e29f7
fig|2005473.92.peg.4	NODE_1_length_246582_cov_308.299923_2670+387	CDS	Fluoride ion transporter CrcB		47c0876f325be030b5da084390a8c4e6
fig|2005473.92.peg.5	NODE_1_length_246582_cov_308.299923_3064+357	CDS	Fluoride ion transporter CrcB		937b591c6874f16a8696f341f0326be8
fig|2005473.92.peg.6	NODE_1_length_246582_cov_308.299923_3592+2124	CDS	RecD-like DNA helicase YrrC		3b86a2f0943731ad96baa7f13ff14a01
fig|2005473.92.peg.7	NODE_1_length_246582_cov_308.299923_5947+411	CDS	hypothetical protein		16c194791ca980324e4277460e5c6a7b
fig|2005473.92.peg.8	NODE_1_length_246582_cov_308.299923_6451+486	CDS	hypothetical protein		11909399a4d500dd7d98a651c60e4c8f
fig|2005473.92.peg.9	NODE_1_length_246582_cov_308.299923_6933+108	CDS	hypothetical protein		20e2d06527587a69266849d525ae609f
fig|2005473.92.peg.10	NODE_1_length_246582_cov_308.299923_7412+846	CDS	Acetyltransferase, GNAT family		63fa7c842656a92991bff48dfbfde9a3
fig|2005473.92.peg.11	NODE_1_length_246582_cov_308.299923_9960-1629	CDS	Bis-ABC ATPase YheS.2		2d2232cbc676775c397d2a14f1cccbbc
fig|2005473.92.peg.12	NODE_1_length_246582_cov_308.299923_10020+210	CDS	hypothetical protein		e73799d8b2f0ec4cebb32c2f61ef92a4
fig|2005473.92.peg.13	NODE_1_length_246582_cov_308.299923_10226+132	CDS	hypothetical protein		c3515f753831dca41af42bd9c2649c25
fig|2005473.92.peg.14	NODE_1_length_246582_cov_308.299923_13184-2715	CDS	Pyruvate,phosphate dikinase (EC 2.7.9.1)		f18937b1c89a9de58bd045c05155c66e
fig|2005473.92.peg.15	NODE_1_length_246582_cov_308.299923_13376+1521	CDS	RNA methyltransferase, TrmA family		03c0db8e69556916ca35f8230c6f4cd1
fig|2005473.92.peg.16	NODE_1_length_246582_cov_308.299923_14893+771	CDS	hypothetical protein		fb830cb013b122e4473730be45e8d442
fig|2005473.92.peg.17	NODE_1_length_246582_cov_308.299923_15736+510	CDS	Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)		d5b35e78262fd655194d5dd9a1c7fee1
fig|2005473.92.peg.18	NODE_1_length_246582_cov_308.299923_16353+156	CDS	hypothetical protein		3b52649041b1f5f298f8ae036aae466a
fig|2005473.92.peg.19	NODE_1_length_246582_cov_308.299923_16627+2169	CDS	TonB-dependent receptor		987afd0de43f7f446c9e235a82bfc250
fig|2005473.92.peg.20	NODE_1_length_246582_cov_308.299923_18890+1269	CDS	hypothetical protein		ab93fc5fd4b632193877bd7bb0d1c835
fig|2005473.92.peg.21	NODE_1_length_246582_cov_308.299923_20241+900	CDS	Sirohydrochlorin cobaltochelatase CbiK (EC 4.99.1.3) @ Sirohydrochlorin ferrochelatase activity of CbiK (EC 4.99.1.4)		98d76e2c9f1f7b57cf47ed8dae215ac7
fig|2005473.92.peg.22	NODE_1_length_246582_cov_308.299923_21155+3909	CDS	CobN-like chelatase BtuS for metalloporphyrine salvage		5cbc7961f2a61123472a99630241264c
fig|2005473.92.peg.23	NODE_1_length_246582_cov_308.299923_25060+501	CDS	hypothetical protein		f29cd93328cb6f9ce849d78f10297c9d
