Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.103.peg.100	-	GT28(191-348)	-	-	N	1
fig|2005473.103.peg.1097	-	GT117(17-242)	-	-	N	1
fig|2005473.103.peg.1098	-	CE4(25-126)	-	-	N	1
fig|2005473.103.peg.110	-	GH51_1(29-511)	-	-	Y(1-21)	1
fig|2005473.103.peg.1127	-	GH2(26-594)	-	-	N	1
fig|2005473.103.peg.1150	-	GT4(219-365)	-	-	N	1
fig|2005473.103.peg.1155	-	GT2(1-154)	-	-	N	1
fig|2005473.103.peg.1159	-	GH13_48(54-343)	-	-	Y(1-22)	1
fig|2005473.103.peg.1173	-	GT4(200-347)	-	-	N	1
fig|2005473.103.peg.1212	-	GH25(53-222)	-	-	N	1
fig|2005473.103.peg.124	-	GH53(38-214)	-	-	Y(1-22)	1
fig|2005473.103.peg.1249	-	GH31_15(198-637)	-	-	Y(1-23)	1
fig|2005473.103.peg.1255	-	GH31_15(207-633)	-	-	Y(1-26)	1
fig|2005473.103.peg.1259	-	GH32(140-436)	-	-	Y(1-23)	1
fig|2005473.103.peg.1280	-	GT2(202-340)	-	-	N	1
fig|2005473.103.peg.1285	-	GH30_2(140-581)	-	-	N	1
fig|2005473.103.peg.1328	-	GH31_16(187-614)	-	-	Y(1-22)	1
fig|2005473.103.peg.1342	-	GH36(28-711)	-	-	Y(1-25)	1
fig|2005473.103.peg.1345	-	GH63(175-626)	-	-	N	1
fig|2005473.103.peg.1346	-	GH2(65-914)	-	-	Y(1-23)	1
fig|2005473.103.peg.1359	-	GT2(6-173)	-	-	N	1
fig|2005473.103.peg.1433	-	GH13_14(200-524)	-	-	N	1
fig|2005473.103.peg.1453	-	GH127(40-572)	-	-	Y(1-20)	1
fig|2005473.103.peg.149	-	GT2(19-160)	-	-	N	1
fig|2005473.103.peg.1491	-	GH27(193-449)	-	-	N	1
fig|2005473.103.peg.1492	-	GH97(24-703)	-	-	Y(1-26)	1
fig|2005473.103.peg.155	-	CE1(36-268)	-	-	N	1
