Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.96.peg.1000	-	GH28(159-451)	-	-	Y(1-21)	1
fig|2005473.96.peg.1015	-	GH35(38-212)	-	-	N	1
fig|2005473.96.peg.1017	-	GH10(32-369)	-	-	Y(1-28)	1
fig|2005473.96.peg.1018	-	GH43_1(10-314)	-	-	N	1
fig|2005473.96.peg.1019	-	GH67(46-637)	-	-	N	1
fig|2005473.96.peg.102	-	GH5_42(42-250)	-	-	Y(1-24)	1
fig|2005473.96.peg.1020	-	GH25(47-217)	-	-	N	1
fig|2005473.96.peg.1025	-	GH23(121-257)	-	-	Y(1-20)	1
fig|2005473.96.peg.108	-	GH28(53-401)	-	-	N	1
fig|2005473.96.peg.109	-	GH92(255-749)	-	-	Y(1-24)	1
fig|2005473.96.peg.1090	-	GH89(57-714)	-	-	Y(1-21)	1
fig|2005473.96.peg.1103	-	GT2(6-161)	-	-	N	1
fig|2005473.96.peg.1124	-	GT2(7-124)	-	-	N	1
fig|2005473.96.peg.115	-	GH182(452-683)	-	-	Y(1-30)	1
fig|2005473.96.peg.1279	-	GH27(130-370)	-	-	Y(1-21)	1
fig|2005473.96.peg.1300	-	GH3(169-419)	-	-	Y(1-22)	1
fig|2005473.96.peg.1362	-	GH179(28-186)	-	-	N	1
fig|2005473.96.peg.1382	-	GH43_19(90-317)	-	-	Y(1-28)	1
fig|2005473.96.peg.1384	-	GH2(28-571)	-	-	Y(1-23)	1
fig|2005473.96.peg.1436	-	GH24(40-156)	-	-	Y(1-23)	1
fig|2005473.96.peg.144	-	GH3(64-283)	-	-	Y(1-22)	1
fig|2005473.96.peg.1499	-	GT2(5-170)	-	-	N	1
fig|2005473.96.peg.1524	-	CE11(3-223)	-	-	N	1
fig|2005473.96.peg.154	-	GH97(10-613)	-	-	Y(1-18)	1
fig|2005473.96.peg.155	-	GH31_4(332-761)	-	-	Y(1-24)	1
fig|2005473.96.peg.156	-	GH43_29(26-299)+CBM6(323-446)	-	-	Y(1-22)	1
fig|2005473.96.peg.1596	-	GH105(53-378)+GH154(387-749)	-	-	Y(1-25)	1
fig|2005473.96.peg.1597	-	GH2(30-672)	-	-	Y(1-23)	1
fig|2005473.96.peg.1616	-	GT5(5-233)	-	-	N	1
fig|2005473.96.peg.1639	-	GH43_10(37-252)+CBM91(363-548)	-	-	Y(1-20)	1
fig|2005473.96.peg.168	-	GH43_35(40-381)	-	-	Y(1-26)	1
fig|2005473.96.peg.1743	-	GT3(13-347)	-	-	N	1
fig|2005473.96.peg.1744	-	GT35(124-641)	-	-	N	1
fig|2005473.96.peg.1761	-	GH95(25-793)	-	-	N	1
