Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.98.peg.1006	-	GH29(25-353)	-	-	Y(1-21)	1
fig|2005473.98.peg.1043	-	CE11(3-224)	-	-	N	1
fig|2005473.98.peg.1059	-	GT5(5-231)	-	-	N	1
fig|2005473.98.peg.1115	-	GH92(243-734)	-	-	Y(1-30)	1
fig|2005473.98.peg.1140	-	GH20(136-485)	-	-	Y(1-21)	1
fig|2005473.98.peg.1190	-	GT2(16-137)	-	-	N	1
fig|2005473.98.peg.1191	-	GT2(5-123)	-	-	N	1
fig|2005473.98.peg.1216	-	GH2(30-597)	-	-	Y(1-58)	1
fig|2005473.98.peg.1226	-	GH2(215-1065)	-	-	Y(1-28)	1
fig|2005473.98.peg.1241	-	GH20(138-410)	-	-	Y(1-22)	1
fig|2005473.98.peg.1265	-	GT2(10-148)	-	-	N	1
fig|2005473.98.peg.1289	-	GH110(42-583)	-	-	N	1
fig|2005473.98.peg.13	-	GT119(36-395)	-	-	N	1
fig|2005473.98.peg.1305	-	GH188(7-210)	-	-	N	1
fig|2005473.98.peg.1307	-	CBM48(55-140)+GH13_8(199-518)	-	-	N	1
fig|2005473.98.peg.1329	-	GT2(6-167)	-	-	N	1
fig|2005473.98.peg.1368	-	GH23(126-253)	-	-	Y(1-22)	1
fig|2005473.98.peg.14	-	GT28(197-350)	-	-	N	1
fig|2005473.98.peg.1438	-	GH89(56-678)	-	-	Y(1-19)	1
fig|2005473.98.peg.1443	-	GH3(111-335)	-	-	Y(1-23)	1
fig|2005473.98.peg.1452	-	GH23(304-460)	-	-	Y(1-29)	1
fig|2005473.98.peg.1490	-	GH130_1(49-359)	-	-	N	1
fig|2005473.98.peg.1491	-	GH26(35-309)	-	-	Y(1-23)	1
fig|2005473.98.peg.1492	-	GH5_7(70-379)	-	-	Y(1-23)	1
fig|2005473.98.peg.1519	-	GH92(261-752)	-	-	Y(1-21)	1
fig|2005473.98.peg.1520	-	GH92(235-705)	-	-	N	1
fig|2005473.98.peg.1523	-	GH84(176-470)+CBM32(628-734)	-	-	Y(1-24)	1
fig|2005473.98.peg.1570	-	GH109(51-454)	-	-	Y(1-27)	1
fig|2005473.98.peg.1598	-	GH20(132-466)	-	-	N	1
fig|2005473.98.peg.1599	-	GH29(47-378)	-	-	Y(1-28)	1
fig|2005473.98.peg.1645	-	GT2(9-124)	-	-	N	1
fig|2005473.98.peg.168	-	GT2(7-139)	-	-	N	1
fig|2005473.98.peg.1715	-	CE4(15-124)	-	-	N	1
fig|2005473.98.peg.1716	-	GT117(16-240)	-	-	N	1
fig|2005473.98.peg.1718	-	GH57(6-322)	-	-	N	1
fig|2005473.98.peg.1719	-	GT4(235-382)	-	-	N	1
fig|2005473.98.peg.1720	-	GH133(285-637)	-	-	N	1
fig|2005473.98.peg.1730	-	GH130_2(14-318)	-	-	N	1
fig|2005473.98.peg.1745	-	CE1(42-272)	-	-	Y(1-26)	1
fig|2005473.98.peg.1759	-	GH125(61-462)	-	-	Y(1-21)	1
fig|2005473.98.peg.1779	-	GH31_18(445-672)	-	-	Y(1-24)	1
fig|2005473.98.peg.1784	-	CE20(303-582)	-	-	Y(1-24)	1
fig|2005473.98.peg.1852	-	CE1(442-673)	-	-	N	1
fig|2005473.98.peg.1871	-	GH2(69-1003)+CBM32(1212-1336)	-	-	Y(1-20)	1
fig|2005473.98.peg.1895	-	GH16_3(35-264)	-	-	Y(1-27)	1
fig|2005473.98.peg.1947	-	GH110(13-577)	-	-	N	1
fig|2005473.98.peg.1982	-	GH188(23-212)	-	-	N	1
fig|2005473.98.peg.1985	-	GT2(512-640)	-	-	N	1
fig|2005473.98.peg.1991	-	CBM20(3-87)+CBM20(136-208)+GH77(239-880)	-	-	N	1
fig|2005473.98.peg.1992	-	GT51(69-251)	-	-	N	1
fig|2005473.98.peg.200	-	GH20(154-509)	-	-	Y(1-28)	1
fig|2005473.98.peg.2054	-	GT2(2-111)	-	-	N	1
fig|2005473.98.peg.2056	-	GT2(3-128)	-	-	N	1
fig|2005473.98.peg.2057	-	GT122(33-335)	-	-	N	1
fig|2005473.98.peg.2076	-	GT2(6-141)	-	-	N	1
fig|2005473.98.peg.2078	-	GT3(12-354)	-	-	N	1
fig|2005473.98.peg.2079	-	GT35(124-640)	-	-	N	1
fig|2005473.98.peg.2123	-	GT2(6-138)	-	-	N	1
fig|2005473.98.peg.2124	-	GT32(20-96)	-	-	N	1
fig|2005473.98.peg.2125	-	GT122(31-346)	-	-	N	1
fig|2005473.98.peg.2127	-	GT2(6-108)	-	-	N	1
fig|2005473.98.peg.2142	-	GH25(55-223)	-	-	N	1
fig|2005473.98.peg.2157	-	GH73(106-204)	-	-	Y(1-25)	1
fig|2005473.98.peg.2187	-	GT2(5-78)	-	-	N	1
fig|2005473.98.peg.2188	-	GT4(238-382)	-	-	N	1
fig|2005473.98.peg.263	-	GH20(254-641)	-	-	N	1
fig|2005473.98.peg.279	-	GH20(159-505)	-	-	Y(1-25)	1
fig|2005473.98.peg.30	-	GH73(94-221)	-	-	Y(1-23)	1
fig|2005473.98.peg.324	-	GT2(5-94)	-	-	N	1
fig|2005473.98.peg.369	-	GT4(241-384)	-	-	N	1
fig|2005473.98.peg.378	-	GH171(42-385)	-	-	Y(1-22)	1
fig|2005473.98.peg.38	-	GH20(152-480)	-	-	Y(1-26)	1
fig|2005473.98.peg.399	-	GH2(49-902)	-	-	Y(1-20)	1
fig|2005473.98.peg.468	-	GT32(87-167)	-	-	N	1
fig|2005473.98.peg.469	-	GT14(5-251)	-	-	N	1
fig|2005473.98.peg.508	-	GH20(145-504)	-	-	Y(1-24)	1
fig|2005473.98.peg.511	-	GH23(80-221)	-	-	Y(1-24)	1
fig|2005473.98.peg.583	-	GH20(145-492)	-	-	Y(1-20)	1
fig|2005473.98.peg.591	-	GT4(192-334)	-	-	N	1
fig|2005473.98.peg.593	-	GT128(176-332)	-	-	N	1
fig|2005473.98.peg.595	-	GT32(23-99)	-	-	N	1
fig|2005473.98.peg.623	-	GH13_38(33-396)	-	-	N	1
fig|2005473.98.peg.736	-	GT2(4-167)	-	-	N	1
fig|2005473.98.peg.779	-	GT2(8-118)	-	-	N	1
fig|2005473.98.peg.803	-	GH33(46-371)	-	-	Y(1-28)	1
fig|2005473.98.peg.807	-	GT19(4-355)	-	-	N	1
fig|2005473.98.peg.808	-	GH95(21-793)	-	-	Y(1-21)	1
fig|2005473.98.peg.844	-	CE9(5-378)	-	-	N	1
fig|2005473.98.peg.895	-	GT119(21-203)+GT119(282-481)	-	-	N	1
