HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE20.hmm	249	fig|2005473.94.peg.10	479	9.5e-83	3	248	101	366	0.983935742972
GT2.hmm	170	fig|2005473.94.peg.1007	245	1.5e-30	2	167	8	172	0.970588235294
GT2.hmm	170	fig|2005473.94.peg.1012	318	7.8e-33	1	168	4	167	0.982352941176
CE8.hmm	288	fig|2005473.94.peg.1018	1294	7.8e-67	3	286	349	648	0.982638888889
PL1_2.hmm	183	fig|2005473.94.peg.1018	1294	9.4e-61	1	183	795	998	0.994535519126
GH92.hmm	491	fig|2005473.94.peg.1019	740	2.4e-185	5	491	241	733	0.989816700611
GH92.hmm	491	fig|2005473.94.peg.1020	761	1.1e-176	2	491	231	735	0.995926680244
GH13_28.hmm	287	fig|2005473.94.peg.1037	478	6.4e-109	1	286	42	353	0.993031358885
GH32.hmm	293	fig|2005473.94.peg.1063	616	2.3e-87	1	290	144	446	0.986348122867
GH32.hmm	293	fig|2005473.94.peg.1069	483	1.4e-66	1	293	33	324	0.996587030717
GH16_3.hmm	230	fig|2005473.94.peg.107	265	6.7e-56	1	230	33	261	0.995652173913
GH23.hmm	135	fig|2005473.94.peg.1170	321	1.9e-22	9	122	99	225	0.837037037037
GH43_2.hmm	277	fig|2005473.94.peg.1190	340	8.4e-121	1	277	29	313	0.996389891697
GT2.hmm	170	fig|2005473.94.peg.1204	254	2.2e-27	1	155	4	152	0.905882352941
GH123.hmm	538	fig|2005473.94.peg.1244	530	9.2e-172	6	537	11	525	0.986988847584
GT30.hmm	177	fig|2005473.94.peg.1284	416	1.1e-43	12	176	47	207	0.926553672316
GH92.hmm	491	fig|2005473.94.peg.1290	750	6.7e-169	4	490	244	749	0.989816700611
GH95.hmm	722	fig|2005473.94.peg.135	1242	1.2e-269	5	714	344	1130	0.981994459834
GH31_15.hmm	426	fig|2005473.94.peg.1364	888	8.8e-165	1	426	205	650	0.99765258216
GH43_24.hmm	246	fig|2005473.94.peg.1368	636	3.2e-90	2	246	54	342	0.991869918699
GH16_3.hmm	230	fig|2005473.94.peg.1368	636	1e-60	1	230	385	635	0.995652173913
GH13_14.hmm	289	fig|2005473.94.peg.1412	673	6.9e-121	1	289	204	528	0.996539792388
GT2.hmm	170	fig|2005473.94.peg.1462	317	1.9e-21	2	151	10	161	0.876470588235
GH36.hmm	688	fig|2005473.94.peg.1464	733	6.3e-204	1	686	27	707	0.995639534884
GT2.hmm	170	fig|2005473.94.peg.1476	334	8.4e-23	1	128	10	134	0.747058823529
GH20.hmm	337	fig|2005473.94.peg.1491	776	3.7e-126	8	336	154	509	0.973293768546
GH92.hmm	491	fig|2005473.94.peg.1495	752	2.1e-183	4	491	244	751	0.991853360489
CE19.hmm	332	fig|2005473.94.peg.1501	394	5.9e-29	4	288	67	393	0.855421686747
GT4.hmm	160	fig|2005473.94.peg.1533	379	2.4e-26	9	157	202	346	0.925
GH13_8.hmm	320	fig|2005473.94.peg.1597	676	3e-161	2	320	194	514	0.99375
GH85.hmm	315	fig|2005473.94.peg.164	1008	1.4e-35	14	315	117	433	0.955555555556
GH78.hmm	504	fig|2005473.94.peg.1676	897	8e-16	148	348	264	485	0.396825396825
GH20.hmm	337	fig|2005473.94.peg.1689	782	4.3e-119	8	337	149	504	0.976261127596
GH130_2.hmm	300	fig|2005473.94.peg.1691	318	2.6e-157	1	300	20	314	0.996666666667
GH92.hmm	491	fig|2005473.94.peg.1692	742	6.4e-155	2	453	272	727	0.918533604888
GH3.hmm	216	fig|2005473.94.peg.1702	779	7.9e-65	3	215	125	350	0.981481481481
CE11.hmm	271	fig|2005473.94.peg.1721	460	3.6e-71	1	223	3	226	0.819188191882
GT2.hmm	170	fig|2005473.94.peg.1731	503	2.7e-21	1	123	21	138	0.717647058824
CE1.hmm	227	fig|2005473.94.peg.1746	278	2.7e-29	5	207	39	242	0.88986784141
GH3.hmm	216	fig|2005473.94.peg.19	987	6.4e-69	4	212	232	451	0.962962962963
GH163.hmm	251	fig|2005473.94.peg.1902	732	3.4e-106	1	250	195	448	0.99203187251
GH31_16.hmm	431	fig|2005473.94.peg.1959	750	6e-232	1	431	187	615	0.997679814385
GH110.hmm	548	fig|2005473.94.peg.2029	605	7.8e-180	2	548	33	582	0.996350364964
GH108.hmm	86	fig|2005473.94.peg.2051	187	1.9e-20	3	86	2	92	0.96511627907
GH3.hmm	216	fig|2005473.94.peg.2102	992	9.8e-54	5	214	105	327	0.967592592593
GH25.hmm	177	fig|2005473.94.peg.2133	252	4e-38	2	174	54	224	0.971751412429
GT2.hmm	170	fig|2005473.94.peg.2168	332	6.1e-29	1	169	5	170	0.988235294118
GT2.hmm	170	fig|2005473.94.peg.2191	440	1.3e-23	1	142	200	345	0.829411764706
GH2.hmm	752	fig|2005473.94.peg.2194	1461	1e-81	23	413	429	948	0.518617021277
GH2.hmm	752	fig|2005473.94.peg.2195	1240	2.6e-83	18	562	238	984	0.723404255319
GH92.hmm	491	fig|2005473.94.peg.2196	764	9.2e-161	2	491	226	748	0.995926680244
GH171.hmm	355	fig|2005473.94.peg.221	401	3.8e-106	1	355	53	398	0.997183098592
CBM98.hmm	105	fig|2005473.94.peg.2215	759	1.5e-24	2	104	33	138	0.971428571429
GH13_47.hmm	312	fig|2005473.94.peg.2215	759	3.8e-109	3	311	335	646	0.987179487179
CE3.hmm	194	fig|2005473.94.peg.224	214	4.5e-17	4	185	4	202	0.932989690722
CE20.hmm	249	fig|2005473.94.peg.225	698	2e-80	3	248	307	588	0.983935742972
GT51.hmm	177	fig|2005473.94.peg.2262	787	5.1e-60	3	177	64	245	0.983050847458
GT117.hmm	245	fig|2005473.94.peg.2308	1157	4.9e-38	2	205	24	245	0.828571428571
CE4.hmm	130	fig|2005473.94.peg.2309	217	3.6e-25	4	120	34	146	0.892307692308
GH109.hmm	399	fig|2005473.94.peg.2323	480	4.5e-171	3	397	59	462	0.987468671679
GT4.hmm	160	fig|2005473.94.peg.2342	356	7.7e-20	11	128	185	296	0.73125
GT2.hmm	170	fig|2005473.94.peg.2343	261	1.8e-23	1	157	4	157	0.917647058824
CE9.hmm	373	fig|2005473.94.peg.2344	390	6.2e-99	4	373	8	380	0.98927613941
GT5.hmm	472	fig|2005473.94.peg.2350	272	1.7e-35	1	217	5	234	0.457627118644
GH29.hmm	346	fig|2005473.94.peg.2351	600	2.7e-79	33	340	46	372	0.887283236994
GH97.hmm	631	fig|2005473.94.peg.2380	703	2.3e-232	11	630	20	699	0.980982567353
CE1.hmm	227	fig|2005473.94.peg.2400	286	2.5e-21	8	215	35	271	0.911894273128
GH95.hmm	722	fig|2005473.94.peg.2421	862	7.3e-249	4	715	34	828	0.984764542936
GH89.hmm	663	fig|2005473.94.peg.2422	744	1.9e-217	2	642	60	700	0.965309200603
GT19.hmm	354	fig|2005473.94.peg.248	379	1.4e-110	2	352	4	357	0.988700564972
GH36.hmm	688	fig|2005473.94.peg.2563	731	4.1e-212	2	687	27	714	0.995639534884
GH3.hmm	216	fig|2005473.94.peg.2575	768	3.3e-64	4	215	108	336	0.976851851852
GH43_28.hmm	265	fig|2005473.94.peg.2584	565	8.3e-104	2	262	49	310	0.981132075472
CBM32.hmm	124	fig|2005473.94.peg.2584	565	3.2e-21	6	107	352	468	0.814516129032
CE1.hmm	227	fig|2005473.94.peg.2653	448	8.1e-56	6	222	168	444	0.95154185022
GH73.hmm	128	fig|2005473.94.peg.2732	198	5.4e-17	5	125	98	197	0.9375
GH33.hmm	342	fig|2005473.94.peg.280	375	1.6e-84	9	329	39	358	0.93567251462
GH33.hmm	342	fig|2005473.94.peg.284	546	2.1e-91	10	340	167	536	0.964912280702
GT83.hmm	540	fig|2005473.94.peg.288	578	2.3e-70	3	482	13	524	0.887037037037
CE12.hmm	210	fig|2005473.94.peg.31	1626	5.3e-43	1	208	17	263	0.985714285714
CE8.hmm	288	fig|2005473.94.peg.31	1626	1.6e-73	2	287	1182	1489	0.989583333333
GH16_3.hmm	230	fig|2005473.94.peg.325	270	4e-49	1	230	41	267	0.995652173913
GH2.hmm	752	fig|2005473.94.peg.343	822	1.4e-121	25	484	9	601	0.610372340426
GT4.hmm	160	fig|2005473.94.peg.369	367	3.9e-28	8	154	194	338	0.9125
GT119.hmm	360	fig|2005473.94.peg.385	454	2.3e-48	1	358	45	423	0.991666666667
GT28.hmm	157	fig|2005473.94.peg.386	366	5.9e-45	2	156	192	349	0.980891719745
GH28.hmm	325	fig|2005473.94.peg.448	873	2.8e-81	6	309	68	439	0.932307692308
GH105.hmm	332	fig|2005473.94.peg.448	873	2e-111	5	331	488	850	0.981927710843
CE12.hmm	210	fig|2005473.94.peg.449	664	2.3e-72	1	210	415	649	0.995238095238
CE8.hmm	288	fig|2005473.94.peg.455	320	8.6e-94	2	282	28	304	0.972222222222
GH43_10.hmm	271	fig|2005473.94.peg.456	544	2e-108	1	271	40	312	0.9963099631
CBM91.hmm	200	fig|2005473.94.peg.456	544	1.7e-21	4	195	346	541	0.955
PL10_1.hmm	288	fig|2005473.94.peg.458	454	2.7e-85	1	251	61	325	0.868055555556
GH31_16.hmm	431	fig|2005473.94.peg.480	776	4.9e-218	1	431	210	641	0.997679814385
GH20.hmm	337	fig|2005473.94.peg.492	684	5.5e-117	9	337	147	491	0.973293768546
GT2.hmm	170	fig|2005473.94.peg.513	255	1e-22	1	164	6	161	0.958823529412
GT35.hmm	674	fig|2005473.94.peg.535	853	1.2e-127	20	564	124	643	0.807121661721
GT3.hmm	637	fig|2005473.94.peg.536	551	1e-112	1	346	13	346	0.541601255887
GT4.hmm	160	fig|2005473.94.peg.553	363	2.2e-24	9	156	190	333	0.91875
GT9.hmm	225	fig|2005473.94.peg.557	353	2.6e-31	2	218	79	330	0.96
GH97.hmm	631	fig|2005473.94.peg.561	665	1.9e-209	12	630	21	660	0.9793977813
GH13_48.hmm	283	fig|2005473.94.peg.562	481	1e-122	2	282	65	359	0.989399293286
GT4.hmm	160	fig|2005473.94.peg.578	402	1.6e-26	8	149	235	368	0.88125
GT2.hmm	170	fig|2005473.94.peg.608	345	1.8e-35	1	167	8	176	0.976470588235
GT2.hmm	170	fig|2005473.94.peg.614	334	3e-28	1	132	7	137	0.770588235294
GT2.hmm	170	fig|2005473.94.peg.615	338	3.4e-27	1	112	7	118	0.652941176471
GT2.hmm	170	fig|2005473.94.peg.616	336	7.3e-29	1	165	18	194	0.964705882353
GT8.hmm	257	fig|2005473.94.peg.617	306	5.9e-62	32	256	3	252	0.871595330739
GT8.hmm	257	fig|2005473.94.peg.618	309	4.2e-58	32	255	6	255	0.867704280156
GH43_2.hmm	277	fig|2005473.94.peg.619	887	5.2e-100	7	276	248	533	0.971119133574
GT4.hmm	160	fig|2005473.94.peg.630	359	2.9e-32	8	157	181	329	0.93125
GT128.hmm	149	fig|2005473.94.peg.638	425	3.3e-46	2	149	178	335	0.986577181208
GT4.hmm	160	fig|2005473.94.peg.668	392	2.4e-27	6	154	207	353	0.925
GT2.hmm	170	fig|2005473.94.peg.698	307	1.2e-25	1	115	6	121	0.670588235294
GT119.hmm	360	fig|2005473.94.peg.716	489	1.1e-27	1	190	22	206	0.525
GT119.hmm	360	fig|2005473.94.peg.716	489	4.8e-51	137	359	267	482	0.616666666667
GH3.hmm	216	fig|2005473.94.peg.724	743	8.4e-70	3	215	59	301	0.981481481481
GH33.hmm	342	fig|2005473.94.peg.725	406	1e-85	12	341	65	395	0.961988304094
GH84.hmm	295	fig|2005473.94.peg.793	853	5.9e-101	1	294	177	471	0.993220338983
GH2.hmm	752	fig|2005473.94.peg.795	822	2.5e-118	24	475	5	608	0.599734042553
GH3.hmm	216	fig|2005473.94.peg.796	819	7.7e-72	3	216	58	266	0.986111111111
GH3.hmm	216	fig|2005473.94.peg.797	990	2.7e-65	2	216	360	583	0.990740740741
GH2.hmm	752	fig|2005473.94.peg.798	602	3.1e-91	27	431	34	510	0.537234042553
GH23.hmm	135	fig|2005473.94.peg.854	462	1.9e-26	13	125	300	457	0.82962962963
GH23.hmm	135	fig|2005473.94.peg.876	547	2.8e-24	4	120	123	259	0.859259259259
GH57.hmm	383	fig|2005473.94.peg.901	500	1.8e-64	2	314	6	327	0.814621409922
GT4.hmm	160	fig|2005473.94.peg.902	419	1.6e-35	8	156	242	387	0.925
GH133.hmm	372	fig|2005473.94.peg.903	647	2.1e-87	8	372	287	637	0.978494623656
GH20.hmm	337	fig|2005473.94.peg.906	610	2e-49	8	335	110	390	0.970326409496
CBM20.hmm	90	fig|2005473.94.peg.907	892	8.8e-16	3	87	131	219	0.933333333333
GH77.hmm	494	fig|2005473.94.peg.907	892	3.4e-147	2	487	245	885	0.981781376518
GH33.hmm	342	fig|2005473.94.peg.910	663	8.6e-22	22	323	307	644	0.880116959064
GH2.hmm	752	fig|2005473.94.peg.927	1135	1.1e-73	34	406	73	506	0.494680851064
GH43_12.hmm	281	fig|2005473.94.peg.939	565	1.9e-104	2	281	58	354	0.992882562278
CBM91.hmm	200	fig|2005473.94.peg.939	565	3e-43	5	180	387	563	0.875
GH3.hmm	216	fig|2005473.94.peg.940	854	1.9e-65	3	215	59	304	0.981481481481
CE8.hmm	288	fig|2005473.94.peg.941	1159	1.6e-46	17	285	754	1019	0.930555555556
PL1_2.hmm	183	fig|2005473.94.peg.942	700	1.2e-70	1	183	80	270	0.994535519126
PL1_2.hmm	183	fig|2005473.94.peg.943	691	6.7e-71	1	183	77	264	0.994535519126
GH2.hmm	752	fig|2005473.94.peg.962	1034	1.2e-214	18	749	51	905	0.972074468085
GH28.hmm	325	fig|2005473.94.peg.963	260	1.9e-19	9	131	76	260	0.375384615385
GH28.hmm	325	fig|2005473.94.peg.964	242	1.9e-50	134	319	12	220	0.569230769231
GH13_38.hmm	371	fig|2005473.94.peg.98	570	1.3e-166	1	370	34	397	0.99460916442
GH31.hmm	427	fig|2005473.94.peg.989	801	2.3e-123	1	427	226	666	0.997658079625
GT2.hmm	170	fig|2005473.94.peg.994	269	5.6e-21	1	148	4	148	0.864705882353
GT11.hmm	276	fig|2005473.94.peg.995	290	3e-68	2	274	2	285	0.985507246377
GT6.hmm	280	fig|2005473.94.peg.996	264	1e-57	44	267	2	224	0.796428571429
GT122.hmm	327	fig|2005473.94.peg.997	364	6.7e-30	3	324	34	349	0.981651376147
