HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH92.hmm	491	fig|1796646.660.peg.1006	742	6.3e-155	2	453	272	727	0.918533604888
GH130_2.hmm	300	fig|1796646.660.peg.1007	318	2.6e-157	1	300	20	314	0.996666666667
GH20.hmm	337	fig|1796646.660.peg.1009	782	6.8e-119	8	337	149	504	0.976261127596
GH13_14.hmm	289	fig|1796646.660.peg.1029	673	3.3e-121	1	289	204	528	0.996539792388
GH13_8.hmm	320	fig|1796646.660.peg.1090	676	4e-162	2	320	194	514	0.99375
GH23.hmm	135	fig|1796646.660.peg.1126	462	1.9e-26	13	125	300	457	0.82962962963
GT4.hmm	160	fig|1796646.660.peg.118	379	3.1e-26	9	157	202	346	0.925
CBM98.hmm	105	fig|1796646.660.peg.1201	832	2.4e-24	2	104	33	138	0.971428571429
GH13_47.hmm	312	fig|1796646.660.peg.1201	832	7.3e-109	3	311	335	646	0.987179487179
GT4.hmm	160	fig|1796646.660.peg.1211	363	1.4e-24	9	156	190	333	0.91875
GT9.hmm	225	fig|1796646.660.peg.1215	353	3.9e-31	2	218	79	330	0.96
GH97.hmm	631	fig|1796646.660.peg.1219	665	3e-210	12	630	21	660	0.9793977813
GH13_48.hmm	283	fig|1796646.660.peg.1220	481	1.7e-122	2	282	65	359	0.989399293286
GT4.hmm	160	fig|1796646.660.peg.1236	402	3.5e-25	8	149	235	368	0.88125
GT2.hmm	170	fig|1796646.660.peg.1264	345	8.1e-36	1	167	8	176	0.976470588235
GT2.hmm	170	fig|1796646.660.peg.1270	334	3e-28	1	132	7	137	0.770588235294
GT2.hmm	170	fig|1796646.660.peg.1271	338	3.4e-27	1	112	7	118	0.652941176471
GT2.hmm	170	fig|1796646.660.peg.1272	336	7.5e-29	1	165	18	194	0.964705882353
GT8.hmm	257	fig|1796646.660.peg.1273	306	5.9e-62	32	256	3	252	0.871595330739
GT8.hmm	257	fig|1796646.660.peg.1274	309	4.9e-58	32	255	6	255	0.867704280156
CBM6.hmm	138	fig|1796646.660.peg.1275	779	1.4e-16	1	134	72	200	0.963768115942
GH43_2.hmm	277	fig|1796646.660.peg.1275	779	1.9e-99	7	276	248	533	0.971119133574
GH43_28.hmm	265	fig|1796646.660.peg.1282	565	6.8e-103	2	262	49	310	0.981132075472
CBM32.hmm	124	fig|1796646.660.peg.1282	565	1.7e-20	6	107	352	468	0.814516129032
GT83.hmm	540	fig|1796646.660.peg.1308	578	2.2e-70	3	482	13	524	0.887037037037
GH33.hmm	342	fig|1796646.660.peg.1313	499	2.7e-92	10	340	120	489	0.964912280702
GH33.hmm	342	fig|1796646.660.peg.1317	375	5.5e-84	9	329	39	358	0.93567251462
GT19.hmm	354	fig|1796646.660.peg.1348	379	2.3e-110	2	352	4	357	0.988700564972
CE19.hmm	332	fig|1796646.660.peg.1375	394	3.9e-29	4	288	67	393	0.855421686747
GH92.hmm	491	fig|1796646.660.peg.1381	752	1.3e-182	4	491	244	751	0.991853360489
GH20.hmm	337	fig|1796646.660.peg.1385	776	3.7e-126	8	336	154	509	0.973293768546
GT2.hmm	170	fig|1796646.660.peg.1399	333	8.3e-23	1	128	9	133	0.747058823529
GT117.hmm	245	fig|1796646.660.peg.1462	1157	4.4e-38	2	205	24	245	0.828571428571
CE4.hmm	130	fig|1796646.660.peg.1463	217	3.6e-25	4	120	34	146	0.892307692308
GH109.hmm	399	fig|1796646.660.peg.1477	480	2.5e-170	3	397	59	462	0.987468671679
GT30.hmm	177	fig|1796646.660.peg.1496	416	6.1e-44	12	176	47	207	0.926553672316
GH92.hmm	491	fig|1796646.660.peg.1502	750	7.1e-169	4	490	244	749	0.989816700611
GH73.hmm	128	fig|1796646.660.peg.1602	200	8.5e-18	5	125	100	199	0.9375
GT4.hmm	160	fig|1796646.660.peg.1633	396	2.4e-27	6	154	211	357	0.925
GH33.hmm	342	fig|1796646.660.peg.1663	663	1.9e-21	22	323	307	644	0.880116959064
CBM20.hmm	90	fig|1796646.660.peg.1666	892	8.8e-16	3	87	131	219	0.933333333333
GH77.hmm	494	fig|1796646.660.peg.1666	892	4.5e-147	2	487	245	885	0.981781376518
GH20.hmm	337	fig|1796646.660.peg.1667	610	2e-49	8	335	110	390	0.970326409496
GH133.hmm	372	fig|1796646.660.peg.1670	647	2.1e-87	8	372	287	637	0.978494623656
GT4.hmm	160	fig|1796646.660.peg.1671	415	1.6e-35	8	156	238	383	0.925
GH57.hmm	383	fig|1796646.660.peg.1672	500	1.6e-64	2	314	6	327	0.814621409922
GH23.hmm	135	fig|1796646.660.peg.1696	547	2.8e-24	4	120	123	259	0.859259259259
GH123.hmm	538	fig|1796646.660.peg.1806	542	2.3e-171	6	537	23	537	0.986988847584
GT4.hmm	160	fig|1796646.660.peg.181	367	1.2e-17	7	145	194	334	0.8625
GT128.hmm	149	fig|1796646.660.peg.183	425	4.4e-47	2	149	178	335	0.986577181208
GH2.hmm	752	fig|1796646.660.peg.1836	602	5e-90	30	442	37	524	0.547872340426
GH3.hmm	216	fig|1796646.660.peg.1837	990	3.7e-65	2	216	360	583	0.990740740741
GH3.hmm	216	fig|1796646.660.peg.1838	819	7.7e-72	3	216	58	266	0.986111111111
GH2.hmm	752	fig|1796646.660.peg.1839	835	1.9e-116	25	476	19	586	0.599734042553
GH84.hmm	295	fig|1796646.660.peg.1841	850	1.7e-100	1	294	174	468	0.993220338983
GH36.hmm	688	fig|1796646.660.peg.1861	733	4.9e-204	1	686	27	707	0.995639534884
GT2.hmm	170	fig|1796646.660.peg.1863	317	2.7e-21	2	150	10	160	0.870588235294
GT2.hmm	170	fig|1796646.660.peg.1880	440	5.3e-23	1	142	200	345	0.829411764706
GH2.hmm	752	fig|1796646.660.peg.1883	1461	1.7e-81	23	413	429	948	0.518617021277
GH2.hmm	752	fig|1796646.660.peg.1884	1240	1.6e-82	22	562	242	984	0.718085106383
