feature_id	location	type	function	aliases	protein_md5
fig|2005473.105.peg.1	NODE_1_length_574855_cov_1148.649749_1788-1038	CDS	UDP-glucose 4-epimerase (EC 5.1.3.2)		0fa4be93757768559b02809207cc3530
fig|2005473.105.peg.2	NODE_1_length_574855_cov_1148.649749_3726-1866	CDS	Uncharacterized protease YdcP		ba10355df930f57f775ea558c53612c6
fig|2005473.105.peg.3	NODE_1_length_574855_cov_1148.649749_4933-948	CDS	Cysteine synthase (EC 2.5.1.47)		bb75b383f81589f23adcc089f6a269f5
fig|2005473.105.peg.4	NODE_1_length_574855_cov_1148.649749_5123+1221	CDS	Tripeptide aminopeptidase (EC 3.4.11.4)		cdc25e644262d93d2cb01119d4a5e8de
fig|2005473.105.peg.5	NODE_1_length_574855_cov_1148.649749_6348+933	CDS	tRNA dimethylallyltransferase (EC 2.5.1.75)		cd4592c47adc384984b7319d91602fe6
fig|2005473.105.peg.6	NODE_1_length_574855_cov_1148.649749_7289+2424	CDS	Putative large secreted protein SCO0341		8758714b25ea472bf09a06f5030df373
fig|2005473.105.peg.7	NODE_1_length_574855_cov_1148.649749_10047-348	CDS	hypothetical protein		5287ae22ee2c7dbb5041ab5c0e32d5f0
fig|2005473.105.peg.8	NODE_1_length_574855_cov_1148.649749_10154+966	CDS	Cobalt-zinc-cadmium resistance protein		a3e874cbcc5e0afa7ecc4794425885bb
fig|2005473.105.peg.9	NODE_1_length_574855_cov_1148.649749_11231+1635	CDS	hypothetical protein		2a6f499bf0358721c561b2733ead5cfc
fig|2005473.105.peg.10	NODE_1_length_574855_cov_1148.649749_12994+357	CDS	hypothetical protein		b0371eed960fbbc1bd94c02555caba75
fig|2005473.105.peg.11	NODE_1_length_574855_cov_1148.649749_13450+228	CDS	hypothetical protein		d2470070ec340b7d605e7a77b733ef4a
fig|2005473.105.peg.12	NODE_1_length_574855_cov_1148.649749_13731+1278	CDS	hypothetical protein		cc17fe36f33ae0788441d9c8cf200bcd
fig|2005473.105.peg.13	NODE_1_length_574855_cov_1148.649749_15016+2088	CDS	hypothetical protein		861c7abfc864d3e6fd0904f2a6e7987d
