HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT119.hmm	360	lcl|U00096.3_prot_AAC73200.1_90	414	9.7e-94	6	358	54	399	0.977777777778
GT28.hmm	157	lcl|U00096.3_prot_AAC73201.1_91	355	1.7e-49	2	157	185	341	0.987261146497
CE11.hmm	271	lcl|U00096.3_prot_AAC73207.1_97	305	1.2e-121	1	270	4	276	0.992619926199
AA1.hmm	358	lcl|U00096.3_prot_AAC73234.1_123	516	2.6e-31	11	357	66	510	0.966480446927
CE4.hmm	130	lcl|U00096.3_prot_AAC73241.1_130	409	1.1e-27	4	128	227	371	0.953846153846
GT51.hmm	177	lcl|U00096.3_prot_AAC73260.1_149	844	1.2e-55	8	175	208	379	0.943502824859
GT19.hmm	354	lcl|U00096.3_prot_AAC73293.1_184	382	1.3e-142	1	353	9	366	0.994350282486
GH23.hmm	135	lcl|U00096.3_prot_AAC73316.1_208	452	7.2e-24	2	127	101	244	0.925925925926
GH43_11.hmm	292	lcl|U00096.3_prot_AAC73374.1_264	536	3.3e-138	1	292	3	303	0.996575342466
CBM91.hmm	200	lcl|U00096.3_prot_AAC73374.1_264	536	1.6e-58	4	199	331	536	0.975
AA3_2.hmm	568	lcl|U00096.3_prot_AAC73414.1_305	556	2.4e-165	2	566	2	532	0.992957746479
GH2.hmm	752	lcl|U00096.3_prot_AAC73447.1_338	1024	3e-224	17	751	40	916	0.976063829787
CE1.hmm	227	lcl|U00096.3_prot_AAC73458.1_349	277	3.7e-54	1	224	21	271	0.982378854626
GT2.hmm	170	lcl|U00096.3_prot_AAC73466.1_356	398	9e-26	2	166	34	198	0.964705882353
CE14.hmm	124	lcl|U00096.3_prot_AAC73467.2_358	185	3.9e-17	1	124	20	130	0.991935483871
CBM34.hmm	120	lcl|U00096.3_prot_AAC73506.2_395	604	1.4e-21	2	104	5	111	0.85
GH13_21.hmm	316	lcl|U00096.3_prot_AAC73506.2_395	604	4.6e-126	1	316	176	492	0.996835443038
GH24.hmm	137	lcl|U00096.3_prot_AAC73656.1_544	165	4.2e-46	12	137	34	156	0.912408759124
GT2.hmm	197	lcl|U00096.3_prot_AAC73670.1_559	745	2.6e-47	2	196	165	382	0.984771573604
CE1.hmm	227	lcl|U00096.3_prot_AAC73686.2_576	400	1.5e-18	1	218	172	386	0.955947136564
GT119.hmm	360	lcl|U00096.3_prot_AAC73735.1_625	370	1.2e-125	3	360	20	363	0.991666666667
CE9.hmm	373	lcl|U00096.3_prot_AAC73771.1_657	382	2.2e-120	2	373	5	376	0.994638069705
GH38.hmm	269	lcl|U00096.3_prot_AAC73826.1_712	877	4.3e-78	2	258	7	265	0.951672862454
CE8.hmm	288	lcl|U00096.3_prot_AAC73859.1_746	427	1.3e-53	10	262	90	420	0.875
AA6.hmm	195	lcl|U00096.3_prot_AAC74089.1_983	198	1.7e-83	1	194	3	194	0.989743589744
GT2.hmm	170	lcl|U00096.3_prot_AAC74107.1_1000	441	9.3e-40	1	169	78	245	0.988235294118
CE4.hmm	130	lcl|U00096.3_prot_AAC74108.1_1001	672	1.5e-24	5	125	103	271	0.923076923077
GH153.hmm	349	lcl|U00096.3_prot_AAC74108.1_1001	672	1.2e-169	1	348	313	664	0.994269340974
GH186.hmm	482	lcl|U00096.3_prot_AAC74132.1_1022	511	3e-207	9	481	21	507	0.979253112033
GT2.hmm	170	lcl|U00096.3_prot_AAC74133.1_1023	847	1.9e-24	2	168	246	428	0.976470588235
GH73.hmm	128	lcl|U00096.3_prot_AAC74165.1_1054	313	2e-34	5	127	160	295	0.953125
GH3.hmm	216	lcl|U00096.3_prot_AAC74191.1_1080	341	8.2e-53	10	216	56	278	0.953703703704
GH23.hmm	135	lcl|U00096.3_prot_AAC74277.2_1169	203	3.9e-16	14	118	52	197	0.77037037037
GH37.hmm	491	lcl|U00096.3_prot_AAC74281.1_1173	565	5.5e-192	1	490	56	531	0.995926680244
GH13_18.hmm	343	lcl|U00096.3_prot_AAC74391.2_1294	559	1.3e-152	1	343	81	423	0.997084548105
GH179.hmm	338	lcl|U00096.3_prot_AAC74397.1_1300	351	4.6e-48	2	331	25	346	0.973372781065
GH65.hmm	372	lcl|U00096.3_prot_AAC74398.1_1301	755	2.7e-138	2	371	299	674	0.991935483871
GT51.hmm	177	lcl|U00096.3_prot_QNV50512.1_150	799	1.1e-55	8	175	163	334	0.943502824859
