feature_id	location	type	function	aliases	protein_md5
fig|2005473.96.peg.1	NODE_1_length_462911_cov_37.95_483+609	CDS	hypothetical protein		4b35a4880fe3882db7ae4cf4fab46421
fig|2005473.96.peg.2	NODE_1_length_462911_cov_37.95_1281+981	CDS	Quinolinate synthetase (EC 2.5.1.72)		8a596021f7b1dc7adabb0538e1136769
fig|2005473.96.peg.3	NODE_1_length_462911_cov_37.95_2307+2772	CDS	Leucyl-tRNA synthetase (EC 6.1.1.4)		b374c964a3f913d75fa556e84c5667da
fig|2005473.96.peg.4	NODE_1_length_462911_cov_37.95_5140+576	CDS	Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)		825230059b34f9def85150c328bdfd7c
fig|2005473.96.peg.5	NODE_1_length_462911_cov_37.95_5754+2412	CDS	hypothetical protein		c3e7529ed36b720276fd49930725608d
fig|2005473.96.peg.6	NODE_1_length_462911_cov_37.95_8294+522	CDS	hypothetical protein		2c1348d7cd355e5736e2ab51f9f34a52
fig|2005473.96.peg.7	NODE_1_length_462911_cov_37.95_9021+2811	CDS	hypothetical protein		3295c7aa8c0c087bc02221826cdb6223
fig|2005473.96.peg.8	NODE_1_length_462911_cov_37.95_11993+1104	CDS	Endo-1,4-beta-xylanase (EC 3.2.1.8)		c2492f0e81673c28e2b45da8f41ea947
fig|2005473.96.peg.9	NODE_1_length_462911_cov_37.95_14152-975	CDS	Undecaprenyl diphosphate synthase, for quinones (EC 2.5.1.31) @ Decaprenyl diphosphate synthase (EC 2.5.1.91)		fe12e2ba7c12091a79a6dd7ad8715449
fig|2005473.96.peg.10	NODE_1_length_462911_cov_37.95_14246+2781	CDS	DNA polymerase I (EC 2.7.7.7)		5a9fee07d4989f4fc28d38391d9b436f
fig|2005473.96.peg.11	NODE_1_length_462911_cov_37.95_17078+123	CDS	hypothetical protein		39c8ba1f8a6d1dbf9b80e4ad684ef42d
fig|2005473.96.peg.12	NODE_1_length_462911_cov_37.95_17225+462	CDS	Transcriptional regulator, AsnC family		c89f88fd00ec4f5a0af4c81ba3d94f65
fig|2005473.96.peg.13	NODE_1_length_462911_cov_37.95_19119-1401	CDS	RecD-like DNA helicase Atu2026		f75777a49f1f37214f6fe053e1d84e42
fig|2005473.96.peg.14	NODE_1_length_462911_cov_37.95_20626-1491	CDS	Cysteinyl-tRNA synthetase (EC 6.1.1.16)		5764a1912d0d8aa525e8519460805220
fig|2005473.96.peg.15	NODE_1_length_462911_cov_37.95_20944-312	CDS	hypothetical protein		e6590120d44e1f6b8adf6791b6ee90a0
fig|2005473.96.peg.16	NODE_1_length_462911_cov_37.95_21608-660	CDS	hypothetical protein		4d7677f214cd4a1ac7b55029c091a75b
fig|2005473.96.peg.17	NODE_1_length_462911_cov_37.95_22292-678	CDS	Lipoprotein-releasing system ATP-binding protein LolD		615740f400652d162a43530d39cdfa36
fig|2005473.96.peg.18	NODE_1_length_462911_cov_37.95_23020-732	CDS	HesA/MoeB/ThiF family protein		3dc4c8d4ee0e93a13207dd2dfe3942c3
fig|2005473.96.peg.19	NODE_1_length_462911_cov_37.95_24234-1194	CDS	Aminopeptidase C (EC 3.4.22.40)		068d3525252fc6149b83f1d2924d6301
fig|2005473.96.rna.1	NODE_1_length_462911_cov_37.95_24553+74	rna	tRNA-Asp-GTC		
fig|2005473.96.peg.20	NODE_1_length_462911_cov_37.95_24688+1290	CDS	U32 family peptidase BT3072, annotated as collagenase		d257ba67cd7314f07e30442a2758b6ba
fig|2005473.96.peg.21	NODE_1_length_462911_cov_37.95_26321-252	CDS	hypothetical protein		2e7b1e69dedb7127e51783de6b676f2b
fig|2005473.96.peg.22	NODE_1_length_462911_cov_37.95_26506+924	CDS	Serine acetyltransferase (EC 2.3.1.30)		0609eaf0a103b61016935caafc5725e8
fig|2005473.96.peg.23	NODE_1_length_462911_cov_37.95_27429+1803	CDS	23S rRNA (guanine(2445)-N(2))-methyltransferase (EC 2.1.1.173)		6d528abb78eac4a84081cdd88b4833e9
fig|2005473.96.peg.24	NODE_1_length_462911_cov_37.95_29253+1281	CDS	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)		f6a193665a4fd938591d5640148f1752
fig|2005473.96.peg.25	NODE_1_length_462911_cov_37.95_30610+927	CDS	hypothetical protein		d89ab57879b9fd71e0dd4b42fdb3cb51
fig|2005473.96.peg.26	NODE_1_length_462911_cov_37.95_31560+1020	CDS	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)		218e1adb33030a43889c0f0de3bf2dc7
fig|2005473.96.peg.27	NODE_1_length_462911_cov_37.95_32720+1818	CDS	Sodium-dependent phosphate transporter		b41ab055f88cc3cbe21b907bc8a3be07
fig|2005473.96.peg.28	NODE_1_length_462911_cov_37.95_35166-546	CDS	hypothetical protein		cdfaf01dfd6d9b3800bf62e606cf2ca4
fig|2005473.96.peg.29	NODE_1_length_462911_cov_37.95_35606+411	CDS	hypothetical protein		24da87ee97acb0926543d418a284bbd5
