HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4.hmm	160	fig|2518495.5.peg.1013	395	1.3e-26	9	158	212	359	0.93125
GH23.hmm	135	fig|2518495.5.peg.1062	328	5.8e-22	3	121	100	231	0.874074074074
GH97.hmm	631	fig|2518495.5.peg.107	722	2.2e-242	4	630	13	718	0.992076069731
PL10_1.hmm	288	fig|2518495.5.peg.108	401	1.4e-114	1	287	74	365	0.993055555556
GT2.hmm	170	fig|2518495.5.peg.1144	317	2.4e-23	2	161	8	169	0.935294117647
GH23.hmm	135	fig|2518495.5.peg.1158	462	7.8e-25	12	126	301	460	0.844444444444
GT113.hmm	322	fig|2518495.5.peg.1201	345	1.6e-90	7	321	14	339	0.975155279503
GT119.hmm	360	fig|2518495.5.peg.1215	486	3.9e-25	1	193	20	207	0.533333333333
GT119.hmm	360	fig|2518495.5.peg.1215	486	3.2e-50	152	359	252	480	0.575
PL11_1.hmm	583	fig|2518495.5.peg.1240	1199	2.9e-248	2	576	18	610	0.984562607204
CE12.hmm	210	fig|2518495.5.peg.1272	551	2.3e-52	2	210	70	289	0.990476190476
CE12.hmm	210	fig|2518495.5.peg.1272	551	1.5e-60	2	210	321	540	0.990476190476
GH51_2.hmm	435	fig|2518495.5.peg.1336	657	8e-181	5	433	200	655	0.983908045977
GH28.hmm	325	fig|2518495.5.peg.1337	482	4.1e-81	6	309	91	459	0.932307692308
GT3.hmm	637	fig|2518495.5.peg.1338	577	1.1e-109	1	349	16	366	0.546310832025
GT35.hmm	674	fig|2518495.5.peg.1339	852	7.4e-112	177	564	249	642	0.574183976261
GH43_10.hmm	271	fig|2518495.5.peg.1348	532	4.1e-98	2	271	40	298	0.992619926199
CBM91.hmm	200	fig|2518495.5.peg.1348	532	2.1e-24	4	197	331	521	0.965
GH105.hmm	332	fig|2518495.5.peg.1453	431	1.2e-115	5	331	48	412	0.981927710843
GH3.hmm	216	fig|2518495.5.peg.1454	855	5.8e-66	3	215	59	304	0.981481481481
GT2.hmm	170	fig|2518495.5.peg.146	325	1.3e-36	1	167	3	168	0.976470588235
GH97.hmm	631	fig|2518495.5.peg.1468	902	2.4e-163	3	628	11	645	0.990491283677
CE6.hmm	99	fig|2518495.5.peg.1468	902	2.4e-31	2	99	716	826	0.979797979798
GH5_21.hmm	292	fig|2518495.5.peg.1469	670	3.3e-130	1	279	28	318	0.952054794521
