Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.102.peg.1016	-	GT2(13-126)	-	-	N	1
fig|2005473.102.peg.1020	-	GH23(124-264)	-	-	Y(1-23)	1
fig|2005473.102.peg.1027	-	GT2(19-173)	-	-	N	1
fig|2005473.102.peg.1036	-	GT5(7-240)	-	-	N	1
fig|2005473.102.peg.1059	-	GT2(15-180)	-	-	N	1
fig|2005473.102.peg.1168	-	GH23(308-463)	-	-	Y(1-31)	1
fig|2005473.102.peg.1197	-	GH128(44-253)	-	-	Y(1-22)	1
fig|2005473.102.peg.1198	-	GH3(104-325)	-	-	Y(1-20)	1
fig|2005473.102.peg.1199	-	GH16_3(39-301)	-	-	Y(1-23)	1
fig|2005473.102.peg.1246	-	CE1(474-701)	-	-	N	1
fig|2005473.102.peg.1265	-	GH13_28(42-351)	-	-	Y(1-21)	1
fig|2005473.102.peg.1299	-	GH64(77-480)	-	-	N	1
fig|2005473.102.peg.1344	-	GT83(13-507)	-	-	Y(1-37)	1
fig|2005473.102.peg.1352	-	GH171(45-412)	-	-	Y(1-26)	1
fig|2005473.102.peg.1355	-	GT2(202-333)	-	-	N	1
fig|2005473.102.peg.1397	-	GT2(9-125)	-	-	N	1
fig|2005473.102.peg.1398	-	GT2(6-136)	-	-	N	1
fig|2005473.102.peg.1425	-	GH13_5(30-368)	-	-	N	1
fig|2005473.102.peg.1443	-	GH87(30-326)	-	-	Y(1-21)	1
fig|2005473.102.peg.1450	-	GH77(254-896)	-	-	N	1
fig|2005473.102.peg.1528	-	GT30(37-207)	-	-	N	1
fig|2005473.102.peg.1577	-	GT2(3-134)	-	-	N	1
fig|2005473.102.peg.1579	-	GT2(6-136)	-	-	N	1
fig|2005473.102.peg.1580	-	GT2(7-147)	-	-	N	1
fig|2005473.102.peg.1581	-	GT32(19-97)	-	-	N	1
fig|2005473.102.peg.1582	-	GT32(88-164)	-	-	N	1
fig|2005473.102.peg.1658	-	GT23(13-266)	-	-	N	1
fig|2005473.102.peg.1666	-	GT9(82-332)	-	-	N	1
fig|2005473.102.peg.1673	-	GH3(73-291)	-	-	Y(1-30)	1
fig|2005473.102.peg.1697	-	GT51(71-253)	-	-	N	1
fig|2005473.102.peg.1747	-	GH13_28(41-313)	-	-	Y(1-22)	1
fig|2005473.102.peg.1828	-	GH31(204-644)	-	-	Y(1-20)	1
fig|2005473.102.peg.1835	-	GT26(53-216)	-	-	N	1
fig|2005473.102.peg.1904	-	GH144(47-458)	-	-	Y(1-22)	1
fig|2005473.102.peg.1905	-	GH3(109-330)	-	-	Y(1-33)	1
fig|2005473.102.peg.1977	-	GH66(120-673)	-	-	Y(1-20)	1
fig|2005473.102.peg.2060	-	CBM62(28-160)	-	-	Y(1-23)	1
fig|2005473.102.peg.215	-	GH25(55-227)	-	-	N	1
fig|2005473.102.peg.2189	-	GT2(4-167)	-	-	N	1
fig|2005473.102.peg.2208	-	CBM74(24-336)	-	-	N	1
fig|2005473.102.peg.225	-	GH13_42(70-514)	-	-	Y(1-20)	1
fig|2005473.102.peg.2250	-	GH24(51-156)	-	-	Y(1-23)	1
fig|2005473.102.peg.2295	-	GT6(2-189)	-	-	N	1
fig|2005473.102.peg.232	-	GH27(191-449)	-	-	N	1
fig|2005473.102.peg.233	-	GH97(16-699)	-	-	Y(1-22)	1
fig|2005473.102.peg.2337	-	CE1(150-385)	-	-	Y(1-20)	1
fig|2005473.102.peg.2348	-	GT119(30-217)+GT119(306-486)	-	-	N	1
fig|2005473.102.peg.2350	-	CE11(3-223)	-	-	N	1
fig|2005473.102.peg.2371	-	GH13_14(209-533)	-	-	Y(1-27)	1
fig|2005473.102.peg.2433	-	CBM26(126-189)+GH13_37(357-651)	-	-	Y(1-27)	1
fig|2005473.102.peg.2466	-	GH108(9-99)	-	-	N	1
fig|2005473.102.peg.2650	-	GT2(10-162)	-	-	N	1
fig|2005473.102.peg.270	-	GT11(1-262)	-	-	N	1
fig|2005473.102.peg.2745	-	GT4(265-408)	-	-	N	1
fig|2005473.102.peg.2748	-	GH105(119-379)	-	-	N	1
fig|2005473.102.peg.2750	-	GT2(3-126)	-	-	N	1
fig|2005473.102.peg.2751	-	GT4(208-351)	-	-	N	1
fig|2005473.102.peg.2752	-	GT4(212-351)	-	-	N	1
fig|2005473.102.peg.2763	-	GT3(13-348)	-	-	N	1
fig|2005473.102.peg.2764	-	GT35(124-642)	-	-	N	1
fig|2005473.102.peg.2770	-	GH81(39-658)	-	-	N	1
fig|2005473.102.peg.2843	-	GT4(231-375)	-	-	N	1
fig|2005473.102.peg.2844	-	GT2(4-146)	-	-	N	1
fig|2005473.102.peg.2846	-	GT4(220-364)	-	-	N	1
fig|2005473.102.peg.2861	-	GT32(2-71)	-	-	N	1
fig|2005473.102.peg.2862	-	GT122(70-368)	-	-	N	1
fig|2005473.102.peg.2863	-	GT2(6-83)	-	-	N	1
fig|2005473.102.peg.2865	-	GT2(5-113)	-	-	N	1
fig|2005473.102.peg.2866	-	GT4(192-338)	-	-	N	1
fig|2005473.102.peg.2867	-	GT4(200-308)	-	-	N	1
fig|2005473.102.peg.2894	-	CBM98(37-136)+GH13_47(329-639)	-	-	Y(1-24)	1
fig|2005473.102.peg.2964	-	GT4(199-348)	-	-	N	1
fig|2005473.102.peg.316	-	GH16_3(57-288)	-	-	N	1
fig|2005473.102.peg.320	-	GH3(108-336)	-	-	N	1
fig|2005473.102.peg.521	-	GT117(16-236)	-	-	N	1
fig|2005473.102.peg.522	-	CE4(26-134)	-	-	N	1
fig|2005473.102.peg.539	-	GH13_6(64-336)	-	-	Y(1-24)	1
fig|2005473.102.peg.559	-	GT28(192-356)	-	-	N	1
fig|2005473.102.peg.560	-	GT119(28-405)	-	-	N	1
fig|2005473.102.peg.573	-	GH13_8(191-511)	-	-	N	1
fig|2005473.102.peg.587	-	GT2(6-171)	-	-	N	1
fig|2005473.102.peg.634	-	GT2(12-133)	-	-	N	1
fig|2005473.102.peg.660	-	GT19(7-362)	-	-	N	1
fig|2005473.102.peg.671	-	GH13_42(73-500)	-	-	Y(1-27)	1
fig|2005473.102.peg.673	-	GT4(202-344)	-	-	N	1
fig|2005473.102.peg.684	-	GH133(288-637)	-	-	N	1
fig|2005473.102.peg.685	-	GT4(234-383)	-	-	N	1
fig|2005473.102.peg.686	-	GH57(6-323)	-	-	N	1
fig|2005473.102.peg.690	-	GT4(197-339)	-	-	N	1
fig|2005473.102.peg.743	-	GH97(8-709)	-	-	N	1
fig|2005473.102.peg.744	-	GH13_48(60-357)	-	-	Y(1-25)	1
fig|2005473.102.peg.751	-	GH43_28(174-441)+CBM32(483-593)	-	-	Y(1-26)	1
fig|2005473.102.peg.791	-	GT4(179-317)	-	-	N	1
fig|2005473.102.peg.838	-	GH13_46(173-493)	-	-	Y(1-22)	1
fig|2005473.102.peg.922	-	GH13_38(56-415)	-	-	N	1
fig|2005473.102.peg.944	-	CE1(26-212)	-	-	N	1
fig|2005473.102.peg.950	-	CBM98(157-258)+GH31(486-919)	-	-	N	1
fig|2005473.102.peg.962	-	GH32(267-573)	-	-	Y(1-24)	1
