feature_id	location	type	function	aliases	protein_md5
fig|2005473.98.peg.1	NODE_1_length_261818_cov_47.1259_1+75	CDS	hypothetical protein		ffb8865d7223216e886c383ce60d4e9f
fig|2005473.98.peg.2	NODE_1_length_261818_cov_47.1259_278+1353	CDS	Hemolysins and related proteins containing CBS domains		c02e40df34bd7e79e4450be1a6932b39
fig|2005473.98.peg.3	NODE_1_length_261818_cov_47.1259_1662+483	CDS	hypothetical protein		f6838934baec9ed4f6d3b0545c81da13
fig|2005473.98.peg.4	NODE_1_length_261818_cov_47.1259_2274+669	CDS	hypothetical protein		342526b4163504d74075fc9dc101c2f2
fig|2005473.98.peg.5	NODE_1_length_261818_cov_47.1259_2936+726	CDS	hypothetical protein		f3b1dd4972e91cf130be10143b614e30
fig|2005473.98.peg.6	NODE_1_length_261818_cov_47.1259_4835-1197	CDS	Carboxynorspermidine synthase (EC 1.5.1.43)		57e7b8ffe612cd3dfa6be6af76e317b4
fig|2005473.98.peg.7	NODE_1_length_261818_cov_47.1259_5139+915	CDS	16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)		f436ebf1deba0aab524c02b825af814b
fig|2005473.98.peg.8	NODE_1_length_261818_cov_47.1259_6074+345	CDS	hypothetical protein		f6672a8ae73aedac69a7a4b14e61f600
fig|2005473.98.peg.9	NODE_1_length_261818_cov_47.1259_6415+2085	CDS	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)		82d0c681a108a406f6dd25a20833b337
fig|2005473.98.peg.10	NODE_1_length_261818_cov_47.1259_8551+1458	CDS	UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)		bbdaa1f5055ffc0721461580fb3f3621
fig|2005473.98.peg.11	NODE_1_length_261818_cov_47.1259_10031+1263	CDS	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)		e4f9344a4237c30564837236cd0c3b3e
fig|2005473.98.peg.12	NODE_1_length_261818_cov_47.1259_11298+1368	CDS	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)		05c40353f86a3d48faa8a18c9121d473
fig|2005473.98.peg.13	NODE_1_length_261818_cov_47.1259_12687+1278	CDS	Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)		c29e12269c7083a5668a0a1fe7264729
fig|2005473.98.peg.14	NODE_1_length_261818_cov_47.1259_13981+1104	CDS	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)		30e704d6d83147cb94549b607f6911dc
fig|2005473.98.peg.15	NODE_1_length_261818_cov_47.1259_15081+1377	CDS	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8)		36473f43da83235c7221b61f02509714
fig|2005473.98.peg.16	NODE_1_length_261818_cov_47.1259_16454+933	CDS	hypothetical protein		8845007b93d9583b5678dd9bec513092
fig|2005473.98.peg.17	NODE_1_length_261818_cov_47.1259_17410+1278	CDS	hypothetical protein		2be4b52e4d0291b8818b75d596b7f143
fig|2005473.98.peg.18	NODE_1_length_261818_cov_47.1259_18738+1326	CDS	Cell division protein FtsZ		31af9ca704c5e9c454b7f4db90b43d20
fig|2005473.98.peg.19	NODE_1_length_261818_cov_47.1259_20973-900	CDS	hypothetical protein		c426430cbc3bb66344e697e6067a63cf
fig|2005473.98.peg.20	NODE_1_length_261818_cov_47.1259_21180+1041	CDS	hypothetical protein		3bc4118f79e18410803fb3b014e3ccea
fig|2005473.98.peg.21	NODE_1_length_261818_cov_47.1259_22207+495	CDS	hypothetical protein		565ecd7b2e2e040d663472ecb7362e37
fig|2005473.98.peg.22	NODE_1_length_261818_cov_47.1259_22803+981	CDS	6-phosphofructokinase (EC 2.7.1.11)		d5454c0b74973288ee1cd7f24c2c420b
fig|2005473.98.peg.23	NODE_1_length_261818_cov_47.1259_23789+1365	CDS	tRNA/rRNA cytosine-C5-methyltransferase		f2164d774fe47fb84fd3f95dc7541e88
fig|2005473.98.peg.24	NODE_1_length_261818_cov_47.1259_25150+552	CDS	hypothetical protein		aaa6e5982cd109285d58d51aef6ccd7e
fig|2005473.98.peg.25	NODE_1_length_261818_cov_47.1259_25719+744	CDS	hypothetical protein		57bc45802bc3086225dca78e46434787
fig|2005473.98.peg.26	NODE_1_length_261818_cov_47.1259_26474+363	CDS	hypothetical protein		602b91e227a74790e9463ffa4aff859c
fig|2005473.98.peg.27	NODE_1_length_261818_cov_47.1259_26977+378	CDS	Ribosome-binding factor A		626728b1ab76a918a6cee8eff599b57d
fig|2005473.98.peg.28	NODE_1_length_261818_cov_47.1259_27370+1233	CDS	hypothetical protein		ae5908ac8d3278e877b379f29c826d76
fig|2005473.98.peg.29	NODE_1_length_261818_cov_47.1259_29276-471	CDS	NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)		23537460a2963d85b57b5e8dfccaaf3f
fig|2005473.98.peg.30	NODE_1_length_261818_cov_47.1259_29971-696	CDS	hypothetical protein		4c5f9d4e194ced1a1f6e4fb868091028
fig|2005473.98.peg.31	NODE_1_length_261818_cov_47.1259_31117-1140	CDS	putative protein involved in capsular polysaccharide biosynthesis		cb4f933189efb8febea3338707496484
fig|2005473.98.peg.32	NODE_1_length_261818_cov_47.1259_33590-2466	CDS	hypothetical protein		3dde4a67243ab23a39e92f7daa19aab6
fig|2005473.98.peg.33	NODE_1_length_261818_cov_47.1259_34733-1098	CDS	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33)		b4fb4d457156b05b6c10c2e9deeb4cc8
fig|2005473.98.peg.34	NODE_1_length_261818_cov_47.1259_34905-159	CDS	hypothetical protein		602b3e125569e12c776fd339d2b64bfc
fig|2005473.98.peg.35	NODE_1_length_261818_cov_47.1259_35505-408	CDS	hypothetical protein		38c885ff3152fca13abc84fbbcd70708
fig|2005473.98.peg.36	NODE_1_length_261818_cov_47.1259_36968-1467	CDS	hypothetical protein		90c81f5885d7f5aeeaa28d702cbd202b
fig|2005473.98.peg.37	NODE_1_length_261818_cov_47.1259_37469+1035	CDS	Aspartate--ammonia ligase (EC 6.3.1.1)		6757b3786ebe9a9fc42d9fdec1e7b38a
fig|2005473.98.peg.38	NODE_1_length_261818_cov_47.1259_40564-1989	CDS	beta-glycosyl hydrolase		5dbe0f3f91e67311b652ef6111d69699
fig|2005473.98.peg.39	NODE_1_length_261818_cov_47.1259_41872-1272	CDS	Hemolysins and related proteins containing CBS domains		a9bedb7c02ba6c734f1a13d3fce5c5c8
fig|2005473.98.peg.40	NODE_1_length_261818_cov_47.1259_42606-720	CDS	hypothetical protein		de373b39ef8c82d7457535d02a098e12
fig|2005473.98.peg.41	NODE_1_length_261818_cov_47.1259_43803-1191	CDS	Putative outer membrane protein		1a8a85ea3cddc252ff343e0cf1f8ee0a
fig|2005473.98.peg.42	NODE_1_length_261818_cov_47.1259_44572-738	CDS	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)		d352b06449a96d6694340da0f4ef71c8
fig|2005473.98.peg.43	NODE_1_length_261818_cov_47.1259_45016-405	CDS	hypothetical protein		df6c499938b2b4ce2552bf221f7adc88
fig|2005473.98.peg.44	NODE_1_length_261818_cov_47.1259_45315-303	CDS	hypothetical protein		e4192638bd84d2500ccd04e8af81b3ba
fig|2005473.98.peg.45	NODE_1_length_261818_cov_47.1259_45389+1749	CDS	DNA polymerase III subunits gamma and tau (EC 2.7.7.7)		670a2101a8c52de2b8254dc1850eae0d
