Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
WP_012419072.1	-	GH29(80-426)	-	-	N	1
WP_012419079.1	-	GH109(71-473)	-	-	Y(1-30)	1
WP_012419113.1	-	GH84(128-423)	-	-	Y(1-24)	1
WP_012419121.1	-	GH89(72-719)	-	-	Y(1-22)	1
WP_012419245.1	-	GH95(28-762)	-	-	Y(1-25)	1
WP_012419293.1	-	GT35(181-482)	-	-	N	1
WP_012419347.1	-	CBM32(62-178)+GH2(141-811)	-	-	Y(1-23)	1
WP_012419423.1	-	GH20(161-511)	-	-	Y(1-20)	1
WP_012419451.1	-	GH20(163-438)	-	-	N	1
WP_012419495.1	-	GT4(190-313)	-	-	N	1
WP_012419507.1	-	CE20(103-394)	-	-	Y(1-23)	1
WP_012419527.1	-	GT30(39-217)	-	-	N	1
WP_012419552.1	-	GT2(27-157)	-	-	N	1
WP_012419592.1	-	GH2(50-625)	-	-	Y(1-32)	1
WP_012419684.1	-	GT2(10-127)	-	-	N	1
WP_012419685.1	-	GT2(7-123)	-	-	N	1
WP_012419686.1	-	GT8(2-258)	-	-	N	1
WP_012419690.1	-	GT4(205-340)	-	-	N	1
WP_012419710.1	-	GT119(15-356)	-	-	Y(1-33)	1
WP_012419711.1	-	GT28(200-356)	-	-	N	1
WP_012419750.1	-	GH43_24(53-336)	-	-	Y(1-22)	1
WP_012419804.1	-	GT8(7-269)	-	-	N	1
WP_012419805.1	-	GT2(8-175)	-	-	N	1
WP_012419806.1	-	GT9(72-271)	-	-	N	1
WP_012419808.1	-	GT2(6-144)	-	-	N	1
WP_012419811.1	-	GT10(94-263)	-	-	N	1
WP_012419813.1	-	GT10(26-265)	-	-	N	1
WP_012419821.1	-	GH35(55-368)	-	-	Y(1-25)	1
WP_012419872.1	-	GH2(71-980)+CBM32(1131-1257)	-	-	Y(1-22)	1
WP_012419894.1	-	GH29(41-355)+CBM32(580-698)	-	-	Y(1-25)	1
WP_012419903.1	-	GH36(6-691)	-	-	N	1
WP_012419916.1	-	GH20(145-503)	-	-	Y(1-29)	1
WP_012419923.1	-	GH16_3(51-296)	-	-	Y(1-23)	1
WP_012419927.1	-	GT26(72-249)	-	-	N	1
WP_012419967.1	-	GH109(65-465)	-	-	Y(1-32)	1
WP_012419986.1	-	GT8(22-285)	-	-	N	1
WP_012419988.1	-	GT2(9-121)	-	-	N	1
WP_012419989.1	-	GT11(2-290)	-	-	N	1
WP_012419990.1	-	GT2(12-136)	-	-	N	1
WP_012419992.1	-	GT2(6-175)	-	-	N	1
WP_012419995.1	-	CE9(5-376)	-	-	N	1
WP_012420020.1	-	GT28(220-351)	-	-	N	1
WP_012420049.1	-	GH31_18(435-674)	-	-	Y(1-31)	1
WP_012420073.1	-	GH20(104-453)	-	-	Y(1-18)	1
WP_012420111.1	-	GT2(3-174)	-	-	N	1
WP_012420118.1	-	GT4(217-363)	-	-	N	1
WP_012420161.1	-	GH95(55-778)	-	-	N	1
WP_012420183.1	-	GT31(290-436)	-	-	N	1
WP_012420227.1	-	GH27(275-508)	-	-	Y(1-33)	1
WP_012420256.1	-	GH177(40-388)	-	-	Y(1-31)	1
WP_012420281.1	-	GT51(66-240)	-	-	N	1
WP_012420443.1	-	GT4(198-343)	-	-	N	1
WP_012420458.1	-	GH97(23-639)	-	-	Y(1-29)	1
WP_012420500.1	-	GH110(92-588)	-	-	Y(1-22)	1
WP_012420503.1	-	AA4(7-223)	-	-	N	1
WP_012420537.1	-	CE4(85-201)	-	-	Y(1-27)	1
WP_012420583.1	-	GH181(27-382)	-	-	Y(1-19)	1
WP_012420616.1	-	GT2(8-132)	-	-	N	1
WP_012420617.1	-	GT2(5-168)	-	-	N	1
WP_012420651.1	-	CE4(182-321)	-	-	Y(1-21)	1
WP_012420672.1	-	GH13_38(16-393)	-	-	N	1
WP_012420699.1	-	GH2(47-938)+CBM32(1154-1284)	-	-	Y(1-23)	1
WP_012420700.1	-	GH2(40-593)	-	-	Y(1-21)	1
WP_012420702.1	-	GH20(164-516)	-	-	Y(1-25)	1
WP_012420719.1	-	GH35(41-353)	-	-	Y(1-18)	1
WP_012420779.1	-	GH109(131-280)	-	-	N	1
WP_012420783.1	-	GH13_8(198-517)	-	-	N	1
WP_012420798.1	-	GT2(54-280)	-	-	N	1
WP_012420833.1	-	CE19(52-192)	-	-	Y(1-26)	1
WP_012420844.1	-	GH13_5(30-370)	-	-	N	1
WP_012420896.1	-	GH57(6-318)	-	-	N	1
WP_012420897.1	-	GT4(253-401)	-	-	N	1
WP_012420945.1	-	CE11(6-275)	-	-	N	1
WP_012420951.1	-	GH20(119-403)	-	-	Y(1-24)	1
WP_012421042.1	-	GH20(106-449)	-	-	Y(1-24)	1
WP_012421104.1	-	GT2(4-130)	-	-	N	1
WP_012421105.1	-	GT4(213-353)	-	-	N	1
WP_012421107.1	-	GT4(216-355)	-	-	N	1
WP_012421110.1	-	GT11(110-250)	-	-	N	1
WP_012421111.1	-	GT4(188-322)	-	-	N	1
WP_012421112.1	-	GT4(194-332)	-	-	N	1
WP_012421113.1	-	GT4(211-336)	-	-	N	1
WP_012421116.1	-	GT2(5-120)	-	-	N	1
WP_012421117.1	-	GT2(6-177)	-	-	N	1
WP_012421132.1	-	GH3(58-274)	-	-	N	1
WP_012421159.1	-	GH20(228-541)	-	-	Y(1-20)	1
WP_012421185.1	-	GH18(766-988)	-	-	Y(1-27)	1
WP_012421187.1	-	GH188(10-214)	-	-	N	1
WP_022198170.1	-	CBM50(114-156)	-	-	Y(1-30)	1
WP_042447486.1	-	GH29(276-599)	-	-	N	1
WP_042447674.1	-	GH33(36-377)	-	-	Y(1-23)	1
WP_042447747.1	-	GT4(254-363)	-	-	N	1
WP_042448087.1	-	CBM51(543-631)	-	-	Y(1-24)	1
WP_042448415.1	-	GT19(4-353)	-	-	N	1
WP_052294479.1	-	GH2(3-479)	-	-	N	1
WP_052294485.1	-	GH141(16-349)	-	-	N	1
WP_081429207.1	-	GH33(332-664)	-	-	Y(1-27)	1
WP_081429237.1	-	GT4(224-369)	-	-	N	1
WP_094137922.1	-	GT51(88-270)	-	-	N	1
WP_102740272.1	-	GH43_24(50-344)	-	-	Y(1-20)	1
WP_157738230.1	-	CBM51(34-156)+GH110(172-721)	-	-	N	1
WP_157738240.1	-	GH16_3(2-210)	-	-	N	1
WP_157738242.1	-	PL38(18-293)	-	-	N	1
WP_157738252.1	-	GT11(15-251)	-	-	Y(1-31)	1
WP_157738258.1	-	GH175(187-351)	-	-	N	1
WP_157738269.1	-	GH77(11-554)	-	-	N	1
WP_157738292.1	-	CE3(32-283)	-	-	Y(1-23)	1
WP_157738293.1	-	GH16_3(17-266)	-	-	N	1
WP_157738296.1	-	GH20(174-527)	-	-	Y(1-38)	1
WP_162610408.1	-	GH31_1(192-634)	-	-	N	1
WP_162610410.1	-	GH20(173-452)	-	-	Y(1-21)	1
WP_162610419.1	-	CBM32(52-174)+GH123(184-704)	-	-	Y(1-21)	1
WP_162610422.1	-	GT51(170-341)	-	-	N	1
WP_165476995.1	-	GH29(36-341)+CBM32(564-683)	-	-	Y(1-25)	1
WP_167525139.1	-	GH105(35-348)	-	-	N	1
WP_204223460.1	-	AA1(43-529)	-	-	Y(1-25)	1
WP_233420541.1	-	GH89(1-618)	-	-	N	1
