feature_id	location	type	function	aliases	protein_md5
fig|2005473.99.peg.1	NODE_1_length_204041_cov_63.4484_2192-1971	CDS	hypothetical protein		5ddc13aacca5ebf76f26258b8036f4b2
fig|2005473.99.peg.2	NODE_1_length_204041_cov_63.4484_2475-147	CDS	hypothetical protein		e0fbc84d4182d7bf6776c54ba866bc81
fig|2005473.99.peg.3	NODE_1_length_204041_cov_63.4484_4766-2259	CDS	POTASSIUM/PROTON ANTIPORTER ROSB		7cdad1f48e7fac9c364696fee14c0c11
fig|2005473.99.peg.4	NODE_1_length_204041_cov_63.4484_5771-996	CDS	Glycosyltransferase		debe7b357728ecd58c2fb6c0e8c0526f
fig|2005473.99.peg.5	NODE_1_length_204041_cov_63.4484_6715-939	CDS	hypothetical protein		17a1aecf5b26d1193d2d104c04c71c4d
fig|2005473.99.peg.6	NODE_1_length_204041_cov_63.4484_8248-1530	CDS	hypothetical protein		9ed22d7cfdb1ad5300d7c4f27737ddb3
fig|2005473.99.peg.7	NODE_1_length_204041_cov_63.4484_9296-1020	CDS	hypothetical protein		c9a80a98c597821f2224b5186f7a2f2d
fig|2005473.99.peg.8	NODE_1_length_204041_cov_63.4484_10405-1113	CDS	hypothetical protein		232bb84081d7ed2df3670adf9e1c796a
fig|2005473.99.peg.9	NODE_1_length_204041_cov_63.4484_11868-1368	CDS	tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)		d6cc9ee04dcf9f41b6fa271c7c2e2a7b
fig|2005473.99.peg.10	NODE_1_length_204041_cov_63.4484_13141-1233	CDS	Phosphoserine phosphatase (EC 3.1.3.3)		95b59905939753501e4daf284276d18c
fig|2005473.99.peg.11	NODE_1_length_204041_cov_63.4484_14838-1701	CDS	Membrane-bound lytic murein transglycosylase D		05936d919eafff64a413c8072088a7da
fig|2005473.99.peg.12	NODE_1_length_204041_cov_63.4484_15784-894	CDS	hypothetical protein		fbece42ab6bec4587ebcccf1eea66ec3
fig|2005473.99.peg.13	NODE_1_length_204041_cov_63.4484_17185-1365	CDS	hypothetical protein		81340dfe5806ff65d5a7afd470aefc62
fig|2005473.99.peg.14	NODE_1_length_204041_cov_63.4484_18564-1266	CDS	hypothetical protein		fe441bb5438424b9b3fe815eabbb8811
fig|2005473.99.peg.15	NODE_1_length_204041_cov_63.4484_19698-975	CDS	hypothetical protein		4f9b0945d31597b54c8f8f628fd87008
fig|2005473.99.peg.16	NODE_1_length_204041_cov_63.4484_21293-1524	CDS	GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)		d0cfaa388c85926c6670913024024209
fig|2005473.99.peg.17	NODE_1_length_204041_cov_63.4484_23179-1650	CDS	Ribonuclease G		bb8e1e638925f83f93e62ab08747f170
fig|2005473.99.peg.18	NODE_1_length_204041_cov_63.4484_23348-117	CDS	hypothetical protein		fbc8882abed3bcb3c11be69315202b10
fig|2005473.99.peg.19	NODE_1_length_204041_cov_63.4484_23441-90	CDS	hypothetical protein		63327701742e28bd354edfec2c4b2d83
fig|2005473.99.peg.20	NODE_1_length_204041_cov_63.4484_23801-282	CDS	hypothetical protein		4edc981a020bbee7e87cd427549944f8
fig|2005473.99.peg.21	NODE_1_length_204041_cov_63.4484_24765-729	CDS	Putative preQ0 transporter YhhQ		3847655af9c83e98bd4fb9ae2fbba80f
fig|2005473.99.peg.22	NODE_1_length_204041_cov_63.4484_25217-381	CDS	hypothetical protein		b96470f5eb581cac2db48cc7e2cdd768
fig|2005473.99.peg.23	NODE_1_length_204041_cov_63.4484_25356+753	CDS	PorT protein		3c37f3105e7f316537960fd971379407
fig|2005473.99.peg.24	NODE_1_length_204041_cov_63.4484_26114+1002	CDS	hypothetical protein		f90ae1ed32689b9c3caaf6fdcf5db337
fig|2005473.99.peg.25	NODE_1_length_204041_cov_63.4484_27171+1446	CDS	GldJ		3c49f37e8a2d52a8e9bcd47251153cd9
fig|2005473.99.peg.26	NODE_1_length_204041_cov_63.4484_28686+1008	CDS	hypothetical protein		e9c573f4d98d3ede659b4a550ceca5d4
fig|2005473.99.peg.27	NODE_1_length_204041_cov_63.4484_29746+1569	CDS	FIG00936880: hypothetical protein		3002f1a99dbb5845edcd81065ea6e12f
fig|2005473.99.peg.28	NODE_1_length_204041_cov_63.4484_31348+1191	CDS	hypothetical protein		16407bfa9bdeaef189db5452cdba106e
fig|2005473.99.peg.29	NODE_1_length_204041_cov_63.4484_32884-129	CDS	hypothetical protein		12d7e3fb1e363f3ca735d8875824f663
fig|2005473.99.peg.30	NODE_1_length_204041_cov_63.4484_32897+1179	CDS	hypothetical protein		6a191711f13c6a3f96eb1a587c209e72
fig|2005473.99.peg.31	NODE_1_length_204041_cov_63.4484_35452-894	CDS	hypothetical protein		d1f3aac2bda9773a5c09b1123a77ae09
fig|2005473.99.peg.32	NODE_1_length_204041_cov_63.4484_36705-1245	CDS	Protein YzbB		fc52ecabd96a892e1574296a57a9ec8c
fig|2005473.99.peg.33	NODE_1_length_204041_cov_63.4484_38077-1311	CDS	AmpG permease		e6485aefdb94f584ae395e4eb48e467a
fig|2005473.99.peg.34	NODE_1_length_204041_cov_63.4484_39308-1260	CDS	Amidase enhancer		9e28e2b0371cb3ac59fa80f8c9fde1b3
fig|2005473.99.peg.35	NODE_1_length_204041_cov_63.4484_41611-2307	CDS	putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide		8a393e9aeea7c0e9e3007dfa2ab369a7
fig|2005473.99.peg.36	NODE_1_length_204041_cov_63.4484_44710-3057	CDS	Xanthan lyase		cbe094137f5389135bb1ff5418df9bbc
fig|2005473.99.peg.37	NODE_1_length_204041_cov_63.4484_45870-1164	CDS	hypothetical protein		b0f94e71a852ba15de000e8272513377
fig|2005473.99.peg.38	NODE_1_length_204041_cov_63.4484_45981+357	CDS	hypothetical protein		fafbfa1f4ed6ddea1823144b69df377f
fig|2005473.99.peg.39	NODE_1_length_204041_cov_63.4484_46380+633	CDS	hypothetical protein		222534691c23b934f4ad1fd91ca6f286
fig|2005473.99.peg.40	NODE_1_length_204041_cov_63.4484_47457-327	CDS	hypothetical protein		83a7662fb932fdbf4469a58df14a790b
fig|2005473.99.peg.41	NODE_1_length_204041_cov_63.4484_47993+1386	CDS	Tryptophan synthase (indole-salvaging) (EC 4.2.1.122)		2c1c5edde931589350c249a8bee264b4
fig|2005473.99.peg.42	NODE_1_length_204041_cov_63.4484_51636-1728	CDS	Single-stranded-DNA-specific exonuclease RecJ		be681ef755a750eaff460623751ea328
fig|2005473.99.peg.43	NODE_1_length_204041_cov_63.4484_51765+180	CDS	hypothetical protein		4d8e31327f3899e19d7501e0970ac1f4
fig|2005473.99.peg.44	NODE_1_length_204041_cov_63.4484_52525-546	CDS	hypothetical protein		675aed44246d687fc8400cc86eada20d
fig|2005473.99.peg.45	NODE_1_length_204041_cov_63.4484_53585-1029	CDS	Branched-chain amino acid aminotransferase (EC 2.6.1.42)		a022ed1fc72bb1c8073792c2cbae0388
fig|2005473.99.peg.46	NODE_1_length_204041_cov_63.4484_54989-1107	CDS	Alanine dehydrogenase (EC 1.4.1.1)		f941fd5c6044393a0ac5eeb138feaa76
fig|2005473.99.peg.47	NODE_1_length_204041_cov_63.4484_55195+432	CDS	hypothetical protein		ee4fb1a5a820f9f92a55316113a17607
fig|2005473.99.peg.48	NODE_1_length_204041_cov_63.4484_56768-1056	CDS	hypothetical protein		852886109ab8ab11a44d3aba0727aeff
fig|2005473.99.peg.49	NODE_1_length_204041_cov_63.4484_56960+1650	CDS	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)		e8a664b7aa95c1d16e3ad635aeb9b549
fig|2005473.99.peg.50	NODE_1_length_204041_cov_63.4484_58782+1518	CDS	Glutamyl-tRNA synthetase (EC 6.1.1.17)		17936c14942d6f4c0b05845e706ae74f
