Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.99.peg.1024	-	GT2(9-175)	-	-	N	1
fig|2005473.99.peg.1048	-	GH23(309-464)	-	-	Y(1-33)	1
fig|2005473.99.peg.1080	-	GH3(96-324)	-	-	N	1
fig|2005473.99.peg.1084	-	GH16_3(46-277)	-	-	Y(1-18)	1
fig|2005473.99.peg.11	-	GH23(128-263)	-	-	Y(1-27)	1
fig|2005473.99.peg.1114	-	CE1(39-268)	-	-	Y(1-21)	1
fig|2005473.99.peg.1152	-	GT2(7-188)	-	-	N	1
fig|2005473.99.peg.1153	-	GT2(23-184)	-	-	N	1
fig|2005473.99.peg.1223	-	GT9(84-338)	-	-	N	1
fig|2005473.99.peg.1225	-	GT117(16-235)	-	-	N	1
fig|2005473.99.peg.1226	-	CE4(22-131)	-	-	N	1
fig|2005473.99.peg.123	-	GH13_46(168-485)	-	-	Y(1-25)	1
fig|2005473.99.peg.1244	-	GH97(15-697)	-	-	Y(1-20)	1
fig|2005473.99.peg.1250	-	GT51(87-269)	-	-	N	1
fig|2005473.99.peg.1308	-	GH53(53-388)	-	-	N	1
fig|2005473.99.peg.1309	-	GH32(42-333)	-	-	Y(1-23)	1
fig|2005473.99.peg.1327	-	GH32(114-413)	-	-	N	1
fig|2005473.99.peg.1331	-	GH13_48(49-346)	-	-	N	1
fig|2005473.99.peg.1351	-	GH13_42(123-551)	-	-	N	1
fig|2005473.99.peg.1363	-	CBM62(310-432)	-	-	Y(1-21)	1
fig|2005473.99.peg.1384	-	GH130_1(49-359)	-	-	N	1
fig|2005473.99.peg.1385	-	GH26(41-308)	-	-	Y(1-31)	1
fig|2005473.99.peg.1386	-	GH26(139-458)	-	-	Y(1-68)	1
fig|2005473.99.peg.1390	-	GH36(26-708)	-	-	Y(1-20)	1
fig|2005473.99.peg.1403	-	GH133(287-637)	-	-	N	1
fig|2005473.99.peg.1404	-	GT4(238-388)	-	-	N	1
fig|2005473.99.peg.1405	-	GH57(6-321)	-	-	N	1
fig|2005473.99.peg.1479	-	GT2(4-126)	-	-	N	1
fig|2005473.99.peg.1480	-	GT2(6-181)	-	-	N	1
fig|2005473.99.peg.150	-	GH27(199-449)	-	-	N	1
fig|2005473.99.peg.151	-	GH97(19-703)	-	-	Y(1-26)	1
fig|2005473.99.peg.1536	-	GH31_15(245-679)	-	-	N	1
fig|2005473.99.peg.1549	-	CE1(51-317)	-	-	Y(1-29)	1
fig|2005473.99.peg.155	-	GH66(125-679)	-	-	Y(1-24)	1
fig|2005473.99.peg.1587	-	GT83(2-504)	-	-	N	1
fig|2005473.99.peg.1588	-	CE4(32-129)	-	-	N	1
fig|2005473.99.peg.1589	-	GT2(6-176)	-	-	N	1
fig|2005473.99.peg.1624	-	GH32(266-568)	-	-	Y(1-23)	1
fig|2005473.99.peg.1637	-	GH32(143-445)	-	-	Y(1-24)	1
fig|2005473.99.peg.1645	-	GT4(231-379)	-	-	N	1
fig|2005473.99.peg.167	-	GH3(85-306)	-	-	Y(1-23)	1
fig|2005473.99.peg.168	-	CE7(117-413)	-	-	N	1
fig|2005473.99.peg.1814	-	GT5(6-239)	-	-	N	1
fig|2005473.99.peg.1816	-	GH5_8(37-296)	-	-	Y(1-23)	1
fig|2005473.99.peg.1817	-	GH5_8(31-280)	-	-	Y(1-21)	1
fig|2005473.99.peg.1827	-	GT119(27-406)	-	-	N	1
fig|2005473.99.peg.1828	-	GT28(191-353)	-	-	N	1
fig|2005473.99.peg.1846	-	GH2(19-733)	-	-	Y(1-22)	1
fig|2005473.99.peg.1850	-	GH13_6(45-322)	-	-	N	1
fig|2005473.99.peg.189	-	GT4(235-376)	-	-	N	1
fig|2005473.99.peg.1923	-	GH5_2(55-288)	-	-	Y(1-27)	1
fig|2005473.99.peg.1924	-	CE20(97-354)	-	-	N	1
fig|2005473.99.peg.1967	-	GH26(182-510)	-	-	N	1
fig|2005473.99.peg.2009	-	GH24(4-138)	-	-	N	1
fig|2005473.99.peg.2043	-	GH13_19(176-564)	-	-	Y(1-29)	1
fig|2005473.99.peg.2146	-	GT119(23-213)+GT119(248-480)	-	-	N	1
fig|2005473.99.peg.2148	-	GH13_38(62-421)	-	-	N	1
fig|2005473.99.peg.2160	-	GH53(56-340)	-	-	Y(1-35)	1
fig|2005473.99.peg.218	-	GH30_3(76-500)	-	-	Y(1-26)	1
fig|2005473.99.peg.220	-	GH3(63-281)	-	-	Y(1-21)	1
fig|2005473.99.peg.223	-	GT4(207-365)	-	-	N	1
fig|2005473.99.peg.2233	-	GH31(232-671)	-	-	Y(1-22)	1
fig|2005473.99.peg.224	-	PL12_3(384-507)	-	-	N	1
fig|2005473.99.peg.2270	-	GH13_42(66-510)+CBM26(837-906)	-	-	Y(1-20)	1
fig|2005473.99.peg.2272	-	GT2(9-174)	-	-	N	1
fig|2005473.99.peg.2295	-	GT2(11-135)	-	-	N	1
fig|2005473.99.peg.2296	-	GT2(7-183)	-	-	N	1
fig|2005473.99.peg.2435	-	GH94(2-809)	-	-	N	1
fig|2005473.99.peg.2614	-	GH24(4-107)	-	-	N	1
fig|2005473.99.peg.2626	-	CBM74(30-342)	-	-	Y(1-20)	1
fig|2005473.99.peg.265	-	GH25(46-222)	-	-	N	1
fig|2005473.99.peg.32	-	GH171(47-414)	-	-	N	1
fig|2005473.99.peg.344	-	CBM20(140-217)+GH77(244-888)	-	-	N	1
fig|2005473.99.peg.367	-	GH53(35-328)	-	-	Y(1-27)	1
fig|2005473.99.peg.370	-	CBM26(138-200)+GH13_37(368-661)	-	-	Y(1-30)	1
fig|2005473.99.peg.4	-	GT2(6-130)	-	-	N	1
fig|2005473.99.peg.409	-	CE11(3-224)	-	-	N	1
fig|2005473.99.peg.418	-	GT3(13-344)	-	-	N	1
fig|2005473.99.peg.419	-	GT35(124-707)	-	-	N	1
fig|2005473.99.peg.432	-	CBM98(33-130)+GH13_47(408-706)	-	-	Y(1-22)	1
fig|2005473.99.peg.434	-	GT4(174-322)	-	-	N	1
fig|2005473.99.peg.435	-	GH13_28(43-354)	-	-	Y(1-22)	1
fig|2005473.99.peg.453	-	GT4(198-344)	-	-	N	1
fig|2005473.99.peg.467	-	GT2(16-163)	-	-	N	1
fig|2005473.99.peg.471	-	GT4(201-340)	-	-	N	1
fig|2005473.99.peg.473	-	GT4(426-558)	-	-	N	1
fig|2005473.99.peg.476	-	GT4(224-377)	-	-	N	1
fig|2005473.99.peg.477	-	GT4(213-366)	-	-	N	1
fig|2005473.99.peg.478	-	GT4(209-355)	-	-	N	1
fig|2005473.99.peg.480	-	GT2(5-136)	-	-	N	1
fig|2005473.99.peg.51	-	GT30(47-207)	-	-	N	1
fig|2005473.99.peg.530	-	GT19(9-373)	-	-	N	1
fig|2005473.99.peg.531	-	GT4(369-514)	-	-	N	1
fig|2005473.99.peg.538	-	GT2(18-173)	-	-	N	1
fig|2005473.99.peg.565	-	GT2(22-135)	-	-	N	1
fig|2005473.99.peg.604	-	GT14(4-237)	-	-	N	1
fig|2005473.99.peg.658	-	GH32(55-343)	-	-	Y(1-25)	1
fig|2005473.99.peg.705	-	GH13_8(194-514)	-	-	N	1
fig|2005473.99.peg.737	-	GH13_14(213-537)	-	-	Y(1-27)	1
fig|2005473.99.peg.776	-	GH13_28(43-316)+CBM74(649-956)	-	-	Y(1-24)	1
fig|2005473.99.peg.843	-	GT2(11-175)	-	-	N	1
fig|2005473.99.peg.944	-	CE1(443-668)	-	-	N	1
fig|2005473.99.peg.972	-	GT2(9-137)	-	-	N	1
fig|2005473.99.peg.973	-	GT2(5-129)	-	-	N	1
fig|2005473.99.peg.977	-	GT4(185-329)	-	-	N	1
fig|2005473.99.peg.978	-	GT4(199-340)	-	-	N	1
fig|2005473.99.peg.980	-	GT4(198-341)	-	-	N	1
fig|2005473.99.peg.981	-	GT2(3-116)	-	-	N	1
fig|2005473.99.peg.982	-	GT32(20-96)	-	-	N	1
fig|2005473.99.peg.983	-	GT2(9-168)	-	-	N	1
