HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	fig|2005473.99.peg.1024	337	3.2e-33	1	169	9	175	0.988235294118
GH23.hmm	135	fig|2005473.99.peg.1048	473	4.1e-26	12	122	309	464	0.814814814815
GH3.hmm	216	fig|2005473.99.peg.1080	756	3.2e-64	4	215	96	324	0.976851851852
GH16_3.hmm	230	fig|2005473.99.peg.1084	281	3.6e-58	3	229	46	277	0.982608695652
GH23.hmm	135	fig|2005473.99.peg.11	566	6.2e-22	2	120	128	263	0.874074074074
CE1.hmm	227	fig|2005473.99.peg.1114	386	5e-17	7	211	39	268	0.898678414097
GT2.hmm	170	fig|2005473.99.peg.1152	283	7.1e-17	4	168	7	188	0.964705882353
GT2.hmm	170	fig|2005473.99.peg.1153	334	2.7e-34	1	166	23	184	0.970588235294
GT9.hmm	225	fig|2005473.99.peg.1223	361	1.3e-32	2	217	84	338	0.955555555556
GT117.hmm	245	fig|2005473.99.peg.1225	1163	2.4e-37	2	206	16	235	0.832653061224
CE4.hmm	130	fig|2005473.99.peg.1226	205	7.9e-27	4	117	22	131	0.869230769231
GH13_46.hmm	322	fig|2005473.99.peg.123	621	2.4e-139	1	320	168	485	0.990683229814
GH97.hmm	631	fig|2005473.99.peg.1244	700	2.1e-229	9	630	15	697	0.984152139461
GT51.hmm	177	fig|2005473.99.peg.1250	808	3.6e-60	2	177	87	269	0.988700564972
GH53.hmm	342	fig|2005473.99.peg.1308	447	2.2e-85	2	337	53	388	0.979532163743
GH32.hmm	293	fig|2005473.99.peg.1309	494	8.9e-63	1	293	42	333	0.996587030717
GH32.hmm	293	fig|2005473.99.peg.1327	953	1.5e-45	1	293	114	413	0.996587030717
GH13_48.hmm	283	fig|2005473.99.peg.1331	479	1.7e-118	2	282	49	346	0.989399293286
GH13_42.hmm	400	fig|2005473.99.peg.1351	1152	2.8e-147	1	400	123	551	0.9975
CBM62.hmm	131	fig|2005473.99.peg.1363	1003	8.6e-21	24	130	310	432	0.809160305344
GH130_1.hmm	313	fig|2005473.99.peg.1384	387	4.6e-173	1	313	49	359	0.996805111821
GH26.hmm	303	fig|2005473.99.peg.1385	379	3.3e-51	10	254	41	308	0.805280528053
GH26.hmm	303	fig|2005473.99.peg.1386	464	3.6e-82	2	303	139	458	0.993399339934
GH36.hmm	688	fig|2005473.99.peg.1390	734	2.6e-210	4	686	26	708	0.991279069767
GH133.hmm	372	fig|2005473.99.peg.1403	647	1e-80	8	372	287	637	0.978494623656
GT4.hmm	160	fig|2005473.99.peg.1404	420	6.9e-36	4	157	238	388	0.95625
GH57.hmm	383	fig|2005473.99.peg.1405	479	2.7e-62	2	310	6	321	0.804177545692
GT2.hmm	170	fig|2005473.99.peg.1479	269	2.7e-30	1	124	4	126	0.723529411765
GT2.hmm	170	fig|2005473.99.peg.1480	319	6.5e-30	1	168	6	181	0.982352941176
GH27.hmm	229	fig|2005473.99.peg.150	471	8.5e-35	14	228	199	449	0.934497816594
GH97.hmm	631	fig|2005473.99.peg.151	713	3.9e-252	8	630	19	703	0.985736925515
GH31_15.hmm	426	fig|2005473.99.peg.1536	817	6.2e-160	1	426	245	679	0.99765258216
CE1.hmm	227	fig|2005473.99.peg.1549	328	1.9e-36	1	221	51	317	0.969162995595
GH66.hmm	556	fig|2005473.99.peg.155	679	1.5e-155	2	555	125	679	0.994604316547
GT83.hmm	540	fig|2005473.99.peg.1587	604	1.5e-75	2	449	2	504	0.827777777778
CE4.hmm	130	fig|2005473.99.peg.1588	262	2.6e-18	21	126	32	129	0.807692307692
GT2.hmm	170	fig|2005473.99.peg.1589	314	9.1e-26	2	169	6	176	0.982352941176
GH32.hmm	293	fig|2005473.99.peg.1624	569	2.6e-57	1	289	266	568	0.982935153584
GH32.hmm	293	fig|2005473.99.peg.1637	612	1.5e-87	1	290	143	445	0.986348122867
GT4.hmm	160	fig|2005473.99.peg.1645	411	9.4e-35	11	158	231	379	0.91875
GH3.hmm	216	fig|2005473.99.peg.167	741	2.4e-67	3	215	85	306	0.981481481481
CE7.hmm	313	fig|2005473.99.peg.168	423	3.6e-68	16	312	117	413	0.945686900958
GT5.hmm	472	fig|2005473.99.peg.1814	273	1.5e-39	1	222	6	239	0.468220338983
GH5_8.hmm	255	fig|2005473.99.peg.1816	547	2.4e-75	1	253	37	296	0.988235294118
GH5_8.hmm	255	fig|2005473.99.peg.1817	642	1.7e-81	1	253	31	280	0.988235294118
GT119.hmm	360	fig|2005473.99.peg.1827	441	1.4e-40	1	358	27	406	0.991666666667
GT28.hmm	157	fig|2005473.99.peg.1828	368	3.3e-44	2	156	191	353	0.980891719745
GH2.hmm	752	fig|2005473.99.peg.1846	818	1.6e-116	23	568	19	733	0.724734042553
GH13_6.hmm	286	fig|2005473.99.peg.1850	734	2.2e-67	12	285	45	322	0.954545454545
GT4.hmm	160	fig|2005473.99.peg.189	425	1.7e-17	8	150	235	376	0.8875
GH5_2.hmm	237	fig|2005473.99.peg.1923	337	5.4e-85	3	235	55	288	0.978902953586
