feature_id	location	type	function	aliases	protein_md5
fig|2005473.102.peg.1	NODE_1_length_109849_cov_33.5251_555-261	CDS	hypothetical protein		10b6d152cb96b5d2a50083e808f706f7
fig|2005473.102.peg.2	NODE_1_length_109849_cov_33.5251_1565-927	CDS	hypothetical protein		3c3a06508f4ed8efe32e73fcae53ff58
fig|2005473.102.peg.3	NODE_1_length_109849_cov_33.5251_2248-684	CDS	Lipoprotein signal peptidase (EC 3.4.23.36)		2b38485eea4007d2d4665900ab88d37a
fig|2005473.102.peg.4	NODE_1_length_109849_cov_33.5251_2613-369	CDS	DnaK suppressor protein, putative		dbc1084585a0bf16889e297f267cc7da
fig|2005473.102.peg.5	NODE_1_length_109849_cov_33.5251_6095-3435	CDS	Isoleucyl-tRNA synthetase (EC 6.1.1.5)		86619b3a8d8d3901bf75a9467eb3471d
fig|2005473.102.peg.6	NODE_1_length_109849_cov_33.5251_7124-981	CDS	hypothetical protein		c046b1ab9a3f67e5ee9d6179a9cf8d93
fig|2005473.102.peg.7	NODE_1_length_109849_cov_33.5251_8518-1389	CDS	Phosphomannomutase (EC 5.4.2.8) / Phosphoglucosamine mutase (EC 5.4.2.10)		9be8b1f9e094a1c832030a008c77c518
fig|2005473.102.peg.8	NODE_1_length_109849_cov_33.5251_9113-582	CDS	hypothetical protein		2cef2e447f2614f48b9f2f2755492ab5
fig|2005473.102.peg.9	NODE_1_length_109849_cov_33.5251_10140-1038	CDS	3'-to-5' oligoribonuclease A, Bacillus type		a1c21eaf940b69c882f05e79bb66d99a
fig|2005473.102.peg.10	NODE_1_length_109849_cov_33.5251_10186+165	CDS	hypothetical protein		3d04f81aaf8480c7e02867881d927297
fig|2005473.102.peg.11	NODE_1_length_109849_cov_33.5251_10354+576	CDS	Threonylcarbamoyl-AMP synthase (EC 2.7.7.87)		2de55c93792d7e2f2f268eb90040e538
fig|2005473.102.peg.12	NODE_1_length_109849_cov_33.5251_10934+1428	CDS	Undecaprenyl-phosphate galactosephosphotransferase (EC 2.7.8.6)		5447f38ad2a65b390d4c272dc0d3e017
fig|2005473.102.peg.13	NODE_1_length_109849_cov_33.5251_12393+1830	CDS	Chloride channel protein		f7d55fdf9813db3edd23453620df712b
fig|2005473.102.peg.14	NODE_1_length_109849_cov_33.5251_14791-510	CDS	Flavodoxin 1		53057179be319344790f4dc2068cb248
fig|2005473.102.peg.15	NODE_1_length_109849_cov_33.5251_17637-2718	CDS	Calcium-transporting ATPase		f8f9c4f97e5d972c7d704da14d207576
fig|2005473.102.peg.16	NODE_1_length_109849_cov_33.5251_18511-711	CDS	hypothetical protein		b262fe935ded1c8e0e2bca82cab5e6a6
fig|2005473.102.peg.17	NODE_1_length_109849_cov_33.5251_18876-360	CDS	hypothetical protein		e233bb3c115675fbbbb7102d92ab7e7d
fig|2005473.102.peg.18	NODE_1_length_109849_cov_33.5251_19749-573	CDS	hypothetical protein		1300319f5c3fcf2daaf29c2817509d4c
fig|2005473.102.peg.19	NODE_1_length_109849_cov_33.5251_19934-180	CDS	hypothetical protein		3355d80b80ea2525cee8b49b5def1dfb
fig|2005473.102.peg.20	NODE_1_length_109849_cov_33.5251_21132-582	CDS	hypothetical protein		0543dd1cb0c33f64b8aadb64184a4290
fig|2005473.102.peg.21	NODE_1_length_109849_cov_33.5251_21599-354	CDS	hypothetical protein		461f0e20ca937ace10450d817fe36223
fig|2005473.102.peg.22	NODE_1_length_109849_cov_33.5251_21765+357	CDS	hypothetical protein		65f0355694f2329f77b5b98bb0fc39b6
fig|2005473.102.peg.23	NODE_1_length_109849_cov_33.5251_22155+531	CDS	hypothetical protein		57c0c9d0433ccfe0c6f7e2aaaf045009
fig|2005473.102.rna.1	NODE_1_length_109849_cov_33.5251_22779+79	rna	tRNA-Undet-???		
fig|2005473.102.peg.24	NODE_1_length_109849_cov_33.5251_23439-327	CDS	hypothetical protein		729723e29fd2e6daa443dba994051f8c
fig|2005473.102.rna.2	NODE_1_length_109849_cov_33.5251_23509+71	rna	tRNA-Leu-CAA		
fig|2005473.102.peg.25	NODE_1_length_109849_cov_33.5251_24108-528	CDS	hypothetical protein		43b7b11812020ba1ea543c3024b6ae33
fig|2005473.102.rna.3	NODE_1_length_109849_cov_33.5251_24169+73	rna	tRNA-Undet-???		
fig|2005473.102.peg.26	NODE_1_length_109849_cov_33.5251_24741-315	CDS	hypothetical protein		e77b8fa38e2dae52aa0d98274d173ac2
fig|2005473.102.rna.4	NODE_1_length_109849_cov_33.5251_24790+70	rna	tRNA-Undet-???		
fig|2005473.102.peg.27	NODE_1_length_109849_cov_33.5251_25383-315	CDS	hypothetical protein		b2b3dc42be6c4a446010863f5ddcca6a
fig|2005473.102.peg.28	NODE_1_length_109849_cov_33.5251_25411+219	CDS	hypothetical protein		284bd90800e25e89a5711462ed9216de
fig|2005473.102.peg.29	NODE_1_length_109849_cov_33.5251_25633+249	CDS	hypothetical protein		86c58ee4facbceb9e2c33807ecb44777
fig|2005473.102.peg.30	NODE_1_length_109849_cov_33.5251_26308+234	CDS	hypothetical protein		c5550b768754e1c4ed9a1838f83c7858
fig|2005473.102.peg.31	NODE_1_length_109849_cov_33.5251_26525+486	CDS	hypothetical protein		be86a662ee46ab1ce73f090a5379f9aa
fig|2005473.102.peg.32	NODE_1_length_109849_cov_33.5251_27231+798	CDS	hypothetical protein		2022b8dea404d730abb570111d787bb4
fig|2005473.102.peg.33	NODE_1_length_109849_cov_33.5251_27994+1095	CDS	hypothetical protein		245c0f77e756eea66f841b0e2fadfce1
fig|2005473.102.peg.34	NODE_1_length_109849_cov_33.5251_29081+567	CDS	hypothetical protein		f02d326e043cec50fd482e34bb8a5646
fig|2005473.102.peg.35	NODE_1_length_109849_cov_33.5251_29647+417	CDS	hypothetical protein		ee305f7c8dd1c840ee2f193a2f6e995d
fig|2005473.102.peg.36	NODE_1_length_109849_cov_33.5251_30117+576	CDS	hypothetical protein		b938f72a0f0387f286e94ab18904916a
fig|2005473.102.peg.37	NODE_1_length_109849_cov_33.5251_30695+1737	CDS	putative helicase		7a7ef5c8fffb6694baa54e9351509a1b
fig|2005473.102.peg.38	NODE_1_length_109849_cov_33.5251_32428+216	CDS	hypothetical protein		936aa013d807c0e2e5b32f5584a4fb36
fig|2005473.102.peg.39	NODE_1_length_109849_cov_33.5251_32621+450	CDS	hypothetical protein		fdcd4f3b107a8dc15cd959721f145e6f
fig|2005473.102.peg.40	NODE_1_length_109849_cov_33.5251_33067+837	CDS	hypothetical protein		6fc5bbdc23b95ca077a77eae55e6f73b
fig|2005473.102.peg.41	NODE_1_length_109849_cov_33.5251_33950+585	CDS	hypothetical protein		d7209c43a0a39d9d2d682a022399aacf
fig|2005473.102.peg.42	NODE_1_length_109849_cov_33.5251_34782+2049	CDS	DNA mismatch repair protein MutS		327ac71d959e9f1cd29f506b56c10813
fig|2005473.102.peg.43	NODE_1_length_109849_cov_33.5251_36906+2652	CDS	Superfamily II DNA/RNA helicases, SNF2 family		e2fec933ba72dcabe4b5dbe895db9e7c
fig|2005473.102.peg.44	NODE_1_length_109849_cov_33.5251_39563+213	CDS	hypothetical protein		6297d82e19393bf965abd72b5559fbd8
fig|2005473.102.peg.45	NODE_1_length_109849_cov_33.5251_39867+297	CDS	hypothetical protein		c75a544ad38b7f598d90ed60f9a83d35
fig|2005473.102.peg.46	NODE_1_length_109849_cov_33.5251_40216+657	CDS	hypothetical protein		94384144e2b6a7698a2ead6ad72d48dd
fig|2005473.102.peg.47	NODE_1_length_109849_cov_33.5251_40869+756	CDS	hypothetical protein		c2859c81335a8e4151543204436de62c
fig|2005473.102.peg.48	NODE_1_length_109849_cov_33.5251_41735+585	CDS	hypothetical protein		5d46ad65dbbb031da4ce035680a142b4
fig|2005473.102.peg.49	NODE_1_length_109849_cov_33.5251_42371+714	CDS	hypothetical protein		a1f8c406246a9d8bbc76150a334d508d
fig|2005473.102.peg.50	NODE_1_length_109849_cov_33.5251_43185+384	CDS	hypothetical protein		bc7304ef2e9b413d3cf8486ac4afd904
fig|2005473.102.peg.51	NODE_1_length_109849_cov_33.5251_43593+162	CDS	hypothetical protein		6ff12f0a2c46a924bfea28e1ae2b3869
fig|2005473.102.peg.52	NODE_1_length_109849_cov_33.5251_43751+774	CDS	hypothetical protein		acae9e777e8cba9bd0e57984f25dc169
fig|2005473.102.peg.53	NODE_1_length_109849_cov_33.5251_44536+339	CDS	hypothetical protein		84113a85f0b1fa90964f8524ed805d1b
fig|2005473.102.peg.54	NODE_1_length_109849_cov_33.5251_44903+222	CDS	hypothetical protein		9877af0442007e10af78ca69eb672016
fig|2005473.102.peg.55	NODE_1_length_109849_cov_33.5251_45121+204	CDS	hypothetical protein		c219b6a455fb92df46fe36ce47cdbc36
fig|2005473.102.peg.56	NODE_1_length_109849_cov_33.5251_45308+222	CDS	hypothetical protein		b802dc6f19ec226e915708271e7c9b21
fig|2005473.102.peg.57	NODE_1_length_109849_cov_33.5251_45526+354	CDS	hypothetical protein		018f8e688d3a4c85e11b5a2f41d5e536
fig|2005473.102.peg.58	NODE_1_length_109849_cov_33.5251_45876+318	CDS	hypothetical protein		324793c186e73127de2aa51397ea42e4
fig|2005473.102.peg.59	NODE_1_length_109849_cov_33.5251_46201+366	CDS	hypothetical protein		583160dabdba5f72e86549d933e742d6
fig|2005473.102.peg.60	NODE_1_length_109849_cov_33.5251_46575+501	CDS	hypothetical protein		e1f1d13f45b8010c81e4caa2853edcea
fig|2005473.102.peg.61	NODE_1_length_109849_cov_33.5251_47072+252	CDS	hypothetical protein		47f0d14023213278185d1c92e263027b
fig|2005473.102.peg.62	NODE_1_length_109849_cov_33.5251_47456+468	CDS	hypothetical protein		1f19c8071e077872f9a68fa15b03843b
fig|2005473.102.peg.63	NODE_1_length_109849_cov_33.5251_47920+243	CDS	hypothetical protein		c890ca62caeafdc8db15839e5832729a
fig|2005473.102.peg.64	NODE_1_length_109849_cov_33.5251_48159+414	CDS	hypothetical protein		5598b349e70b5e7a88f323bc6bbb1a3c
fig|2005473.102.peg.65	NODE_1_length_109849_cov_33.5251_48887+228	CDS	hypothetical protein		a89c3fa9649145a47183c64ab89f7fe5
fig|2005473.102.peg.66	NODE_1_length_109849_cov_33.5251_49111+243	CDS	hypothetical protein		16d87f178409ad4c99ab6a3c950cbb65
fig|2005473.102.peg.67	NODE_1_length_109849_cov_33.5251_49417+213	CDS	Uncharacterized protein Npun_F4007		f9508ed78b1fa6def1f5712941d8dfe1
fig|2005473.102.peg.68	NODE_1_length_109849_cov_33.5251_49687+417	CDS	hypothetical protein		5a08ba7037fa874f3ffacfb1ee368eab
fig|2005473.102.peg.69	NODE_1_length_109849_cov_33.5251_50216+345	CDS	hypothetical protein		363528eba3048040f6c3025186d7bd34
fig|2005473.102.peg.70	NODE_1_length_109849_cov_33.5251_50557+180	CDS	hypothetical protein		ccf8a0ca03d4660ae2a980a316b63d0c
fig|2005473.102.peg.71	NODE_1_length_109849_cov_33.5251_50740+783	CDS	hypothetical protein		259ecfc59c0761060c8e9a634770dbc2
fig|2005473.102.peg.72	NODE_1_length_109849_cov_33.5251_51533+531	CDS	hypothetical protein		44c92f489b42074e786d0d97c5fbd3d9
fig|2005473.102.peg.73	NODE_1_length_109849_cov_33.5251_52335+558	CDS	hypothetical protein		fed0f62174fdb55b9373061c3022bbb2
fig|2005473.102.peg.74	NODE_1_length_109849_cov_33.5251_53016+2067	CDS	Phage terminase, large subunit [SA bacteriophages 11, Mu50B]		38bfcfef6b9cf4a817b4f69221e854a8
fig|2005473.102.peg.75	NODE_1_length_109849_cov_33.5251_55191+1527	CDS	hypothetical protein		74361ce5f7905bc00450a8e7db522815
fig|2005473.102.peg.76	NODE_1_length_109849_cov_33.5251_56710+1047	CDS	hypothetical protein		a4a99136165b40ec935cba02b90f811a
fig|2005473.102.peg.77	NODE_1_length_109849_cov_33.5251_57787+1617	CDS	hypothetical protein		f28653ab1fbbdceadb816c95e161ad42
fig|2005473.102.peg.78	NODE_1_length_109849_cov_33.5251_59403+441	CDS	hypothetical protein		e60553c7dbbaa12c06807a6c8eb85ab9
fig|2005473.102.peg.79	NODE_1_length_109849_cov_33.5251_59846+519	CDS	hypothetical protein		85772807576e7c039e05fc38bf12eb1d
fig|2005473.102.peg.80	NODE_1_length_109849_cov_33.5251_60361+570	CDS	hypothetical protein		a25142be57a5c84c951489d8b6ec5f13
fig|2005473.102.peg.81	NODE_1_length_109849_cov_33.5251_60933+858	CDS	hypothetical protein		ea632414918a398affded433185ea2e4
fig|2005473.102.peg.82	NODE_1_length_109849_cov_33.5251_61787+177	CDS	hypothetical protein		c80329a1ad7075d497e35f1e09b91212
fig|2005473.102.peg.83	NODE_1_length_109849_cov_33.5251_62034+516	CDS	hypothetical protein		4f4ef9f4918250e4213c9bf7220e2de5
fig|2005473.102.peg.84	NODE_1_length_109849_cov_33.5251_62546+189	CDS	hypothetical protein		c445692233151a67304d9e10d85a8ee5
fig|2005473.102.peg.85	NODE_1_length_109849_cov_33.5251_62734+4050	CDS	hypothetical protein		842d4fed04fec0eaf46e780a4165f1da
fig|2005473.102.peg.86	NODE_1_length_109849_cov_33.5251_66780+585	CDS	hypothetical protein		fb6745320317191e26d5da05b024d8e2
fig|2005473.102.peg.87	NODE_1_length_109849_cov_33.5251_67484+237	CDS	hypothetical protein		1459650a4527d6b7edeebc9124e94374
fig|2005473.102.peg.88	NODE_1_length_109849_cov_33.5251_67717+474	CDS	hypothetical protein		99dc912bf4e519185d8e8c2d0fa61ab3
fig|2005473.102.peg.89	NODE_1_length_109849_cov_33.5251_68318+333	CDS	hypothetical protein		45b304ba051d8f27a3f478bc7fe26e65
fig|2005473.102.peg.90	NODE_1_length_109849_cov_33.5251_68829+2454	CDS	hypothetical protein		ce13047489f6a268f7b34e40bdfbbc58
fig|2005473.102.peg.91	NODE_1_length_109849_cov_33.5251_71279+831	CDS	hypothetical protein		7437b0073b2b869640cbdb89d73fb79f
fig|2005473.102.peg.92	NODE_1_length_109849_cov_33.5251_72111+1767	CDS	hypothetical protein		a3b458fa8042ad4852ec77c0bd735c6a
fig|2005473.102.peg.93	NODE_1_length_109849_cov_33.5251_73880+945	CDS	hypothetical protein		06d9233c448e84b201a2f38252dd00b5
fig|2005473.102.peg.94	NODE_1_length_109849_cov_33.5251_74912+819	CDS	hypothetical protein		2f52c07d6756d8cfb5e5c827cd0d9e23
fig|2005473.102.peg.95	NODE_1_length_109849_cov_33.5251_75743+447	CDS	hypothetical protein		d188b856b14b17fda9113c8a2d1f9dd4
fig|2005473.102.peg.96	NODE_1_length_109849_cov_33.5251_76194+654	CDS	hypothetical protein		4656f0cae9bad82bfe00efad40c09c09
fig|2005473.102.peg.97	NODE_1_length_109849_cov_33.5251_77016+261	CDS	hypothetical protein		5ca04a9b7c16f7cdb5b2cdfe1625db08
fig|2005473.102.peg.98	NODE_1_length_109849_cov_33.5251_77288+480	CDS	hypothetical protein		0774bf97093cecfd32605da59171218c
fig|2005473.102.peg.99	NODE_1_length_109849_cov_33.5251_77764+537	CDS	hypothetical protein		524175bc70d313b9485239d5232857ad
fig|2005473.102.peg.100	NODE_1_length_109849_cov_33.5251_78723-267	CDS	hypothetical protein		f602a9f95b3fec7b023f4a388ffa0c32
fig|2005473.102.peg.101	NODE_1_length_109849_cov_33.5251_80019-1176	CDS	hypothetical protein		79d63833c1bf33d6207acd2691147d86
fig|2005473.102.peg.102	NODE_1_length_109849_cov_33.5251_80031+174	CDS	hypothetical protein		5b939e96153beaacb125258dacfc2102
fig|2005473.102.peg.103	NODE_1_length_109849_cov_33.5251_80499+1131	CDS	hypothetical protein		0b923d9a078ca0fdf5647adec4ce1165
fig|2005473.102.peg.104	NODE_1_length_109849_cov_33.5251_81679+903	CDS	hypothetical protein		5237d2ae89bf2ff21e7df1a9bad7bd70
fig|2005473.102.peg.105	NODE_1_length_109849_cov_33.5251_82631+1035	CDS	UDP-glucose 4-epimerase (EC 5.1.3.2)		bbe7e5d55a389e66ce317bc75e2eb4c1
fig|2005473.102.peg.106	NODE_1_length_109849_cov_33.5251_83838+834	CDS	Glutamate racemase (EC 5.1.1.3)		88e9e27422c7e44c110e23d16e7a3008
fig|2005473.102.peg.107	NODE_1_length_109849_cov_33.5251_85385-708	CDS	hypothetical protein		7031dbc9bd94b7504618d5fbfbde31de
fig|2005473.102.peg.108	NODE_1_length_109849_cov_33.5251_85864-471	CDS	hypothetical protein		b369e5914dd4b8b2885f66f05116e702
fig|2005473.102.peg.109	NODE_1_length_109849_cov_33.5251_86736-843	CDS	Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)		e28eeb0ba4362bcc04698693a8a5cdf6
fig|2005473.102.peg.110	NODE_1_length_109849_cov_33.5251_87749-1011	CDS	N-acetylneuraminate synthase (EC 2.5.1.56)		759098f53ede31ba6a766e07fe222ba2
