HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH29.hmm	346	WP_012419072.1	538	9.3e-101	31	346	80	426	0.910404624277
GH109.hmm	399	WP_012419079.1	481	9.3e-158	2	398	71	473	0.992481203008
GH84.hmm	295	WP_012419113.1	953	9.3e-112	1	294	128	423	0.993220338983
GH89.hmm	663	WP_012419121.1	848	3e-214	3	661	72	719	0.99245852187
GH95.hmm	722	WP_012419245.1	788	3.9e-196	6	711	28	762	0.976454293629
GT35.hmm	674	WP_012419293.1	554	2.8e-70	210	558	181	482	0.516320474777
CBM32.hmm	124	WP_012419347.1	986	1.1e-25	8	123	62	178	0.927419354839
GH2.hmm	752	WP_012419347.1	986	1.6e-122	10	492	141	811	0.640957446809
GH20.hmm	337	WP_012419423.1	665	7.8e-114	8	336	161	511	0.973293768546
GH20.hmm	337	WP_012419451.1	722	3e-60	8	335	163	438	0.970326409496
GT4.hmm	160	WP_012419495.1	370	5.5e-19	7	126	190	313	0.74375
CE20.hmm	249	WP_012419507.1	512	1.8e-67	3	248	103	394	0.983935742972
GT30.hmm	177	WP_012419527.1	428	1.7e-48	3	176	39	217	0.977401129944
GT2.hmm	170	WP_012419552.1	312	7.1e-21	15	133	27	157	0.694117647059
GH2.hmm	752	WP_012419592.1	913	2.7e-93	24	481	50	625	0.607712765957
GT2.hmm	170	WP_012419684.1	354	5.4e-17	1	116	10	127	0.676470588235
GT2.hmm	170	WP_012419685.1	345	1e-35	1	121	7	123	0.705882352941
GT8.hmm	257	WP_012419686.1	315	9.5e-46	31	254	2	258	0.867704280156
GT4.hmm	160	WP_012419690.1	381	2.2e-23	7	149	205	340	0.8875
GT119.hmm	360	WP_012419710.1	380	6.3e-69	3	357	15	356	0.983333333333
GT28.hmm	157	WP_012419711.1	374	6.9e-49	3	157	200	356	0.980891719745
GH43_24.hmm	246	WP_012419750.1	369	1.4e-103	2	246	53	336	0.991869918699
GT8.hmm	257	WP_012419804.1	328	4.3e-50	27	256	7	269	0.891050583658
GT2.hmm	170	WP_012419805.1	341	3.9e-38	1	168	8	175	0.982352941176
GT9.hmm	225	WP_012419806.1	324	2.5e-27	2	187	72	271	0.822222222222
GT2.hmm	170	WP_012419808.1	384	1.4e-32	1	144	6	144	0.841176470588
GT10.hmm	347	WP_012419811.1	332	2.3e-40	136	305	94	263	0.487031700288
GT10.hmm	347	WP_012419813.1	343	3.1e-20	60	302	26	265	0.697406340058
GH35.hmm	307	WP_012419821.1	643	3.2e-100	1	305	55	368	0.990228013029
