Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.104.peg.1003	-	GH2(32-596)	-	-	N	1
fig|2005473.104.peg.1017	-	GT2(4-167)	-	-	N	1
fig|2005473.104.peg.104	-	GT19(4-360)	-	-	N	1
fig|2005473.104.peg.1049	-	GH78(78-574)	-	-	Y(1-26)	1
fig|2005473.104.peg.1055	-	GH92(256-750)	-	-	Y(1-24)	1
fig|2005473.104.peg.1056	-	GH89(56-746)	-	-	Y(1-19)	1
fig|2005473.104.peg.1058	-	GH28(52-402)	-	-	N	1
fig|2005473.104.peg.1065	-	CBM13(391-535)	-	-	Y(1-26)	1
fig|2005473.104.peg.1095	-	PL42(42-334)	-	-	Y(1-23)	1
fig|2005473.104.peg.1096	-	GH105(50-371)+GH154(380-741)	-	-	Y(1-27)	1
fig|2005473.104.peg.1097	-	GH43_34(40-338)	-	-	Y(1-24)	1
fig|2005473.104.peg.1098	-	GH127(38-570)	-	-	Y(1-20)	1
fig|2005473.104.peg.116	-	GH109(84-488)	-	-	N	1
fig|2005473.104.peg.1174	-	GH171(42-388)	-	-	Y(1-22)	1
fig|2005473.104.peg.1214	-	GT4(246-388)	-	-	N	1
fig|2005473.104.peg.1228	-	PL9(11-420)	-	-	N	1
fig|2005473.104.peg.1238	-	GH13_37(45-348)	-	-	N	1
fig|2005473.104.peg.1251	-	GT30(42-207)	-	-	N	1
fig|2005473.104.peg.1306	-	GT3(13-348)	-	-	N	1
fig|2005473.104.peg.1307	-	GT35(124-642)	-	-	N	1
fig|2005473.104.peg.1308	-	GH57(6-322)	-	-	N	1
fig|2005473.104.peg.1309	-	GT4(240-388)	-	-	N	1
fig|2005473.104.peg.1310	-	GH133(286-637)	-	-	N	1
fig|2005473.104.peg.1312	-	PL9_1(12-412)	-	-	N	1
fig|2005473.104.peg.1338	-	GH188(76-265)	-	-	N	1
fig|2005473.104.peg.1353	-	GT117(16-239)	-	-	N	1
fig|2005473.104.peg.1354	-	CE4(22-131)	-	-	N	1
fig|2005473.104.peg.136	-	GH27(124-374)	-	-	Y(1-23)	1
fig|2005473.104.peg.1364	-	GT27(11-240)	-	-	N	1
fig|2005473.104.peg.1370	-	GT4(235-370)	-	-	N	1
fig|2005473.104.peg.1372	-	GT4(195-306)	-	-	N	1
fig|2005473.104.peg.1373	-	PL26(241-1086)	-	-	Y(1-23)	1
fig|2005473.104.peg.1393	-	GT4(193-335)	-	-	N	1
fig|2005473.104.peg.1398	-	GH3(106-327)	-	-	Y(1-25)	1
fig|2005473.104.peg.1419	-	GH188(16-164)	-	-	N	1
fig|2005473.104.peg.1420	-	GH109(38-189)	-	-	Y(1-34)	1
fig|2005473.104.peg.1464	-	PL11_1(318-905)	-	-	Y(1-20)	1
fig|2005473.104.peg.1466	-	GH2(24-675)	-	-	Y(1-24)	1
fig|2005473.104.peg.1481	-	GH43_18(69-300)	-	-	Y(1-25)	1
fig|2005473.104.peg.1482	-	GH95(23-769)	-	-	Y(1-23)	1
fig|2005473.104.peg.1517	-	GT2(9-125)	-	-	N	1
fig|2005473.104.peg.1518	-	GT2(9-136)	-	-	N	1
fig|2005473.104.peg.1519	-	GT4(236-390)	-	-	N	1
fig|2005473.104.peg.154	-	GH23(123-258)+CBM50(504-547)	-	-	Y(1-22)	1
fig|2005473.104.peg.1551	-	GT2(6-161)	-	-	N	1
fig|2005473.104.peg.1633	-	CE20(104-365)	-	-	Y(1-21)	1
fig|2005473.104.peg.1634	-	CE20(103-364)	-	-	Y(1-29)	1
fig|2005473.104.peg.168	-	GH51_2(183-635)	-	-	N	1
fig|2005473.104.peg.1702	-	GT51(49-231)	-	-	N	1
fig|2005473.104.peg.1718	-	GT9(78-330)	-	-	N	1
fig|2005473.104.peg.1722	-	GT4(236-387)	-	-	N	1
fig|2005473.104.peg.1739	-	GH28(80-440)	-	-	Y(1-20)	1
fig|2005473.104.peg.1740	-	GH28(51-397)	-	-	Y(1-20)	1
fig|2005473.104.peg.1766	-	CE1(11-253)	-	-	N	1
fig|2005473.104.peg.1778	-	CBM67(188-358)+GH78(386-919)	-	-	N	1
fig|2005473.104.peg.1786	-	CBM67(176-343)+GH78(375-885)	-	-	Y(1-23)	1
fig|2005473.104.peg.180	-	GH13_38(34-397)	-	-	N	1
fig|2005473.104.peg.1812	-	GH20(164-510)	-	-	Y(1-26)	1
fig|2005473.104.peg.185	-	GH23(302-459)	-	-	Y(1-23)	1
fig|2005473.104.peg.1895	-	PL11_1(23-615)	-	-	Y(1-21)	1
fig|2005473.104.peg.1911	-	GH43_5(43-336)	-	-	Y(1-24)	1
fig|2005473.104.peg.1917	-	GT4(208-352)	-	-	N	1
fig|2005473.104.peg.1982	-	GH2(48-898)	-	-	Y(1-20)	1
fig|2005473.104.peg.1983	-	CBM20(134-217)+GH77(246-887)	-	-	N	1
fig|2005473.104.peg.2	-	GH105(57-374)	-	-	Y(1-19)	1
fig|2005473.104.peg.2024	-	GT119(22-207)+GT119(252-481)	-	-	N	1
fig|2005473.104.peg.2111	-	GH115(25-823)	-	-	Y(1-22)	1
fig|2005473.104.peg.2205	-	GT4(164-289)	-	-	N	1
fig|2005473.104.peg.2207	-	GT4(185-335)	-	-	N	1
fig|2005473.104.peg.2209	-	GT4(189-340)	-	-	N	1
fig|2005473.104.peg.2243	-	GT26(49-218)	-	-	N	1
fig|2005473.104.peg.2302	-	GH35(60-428)	-	-	N	1
fig|2005473.104.peg.2303	-	GH2(23-701)	-	-	Y(1-35)	1
fig|2005473.104.peg.242	-	GT5(5-239)	-	-	N	1
fig|2005473.104.peg.27	-	GH13_8(192-512)	-	-	N	1
fig|2005473.104.peg.3	-	GH106(18-907)	-	-	Y(1-19)	1
fig|2005473.104.peg.314	-	CE1(440-665)	-	-	N	1
fig|2005473.104.peg.315	-	GH97(15-698)	-	-	Y(1-27)	1
fig|2005473.104.peg.324	-	CE11(3-218)	-	-	N	1
fig|2005473.104.peg.35	-	GH29(16-321)	-	-	Y(1-21)	1
fig|2005473.104.peg.38	-	GH51_2(372-821)	-	-	Y(1-23)	1
fig|2005473.104.peg.421	-	PL33(432-585)	-	-	N	1
fig|2005473.104.peg.429	-	GT2(9-155)	-	-	N	1
fig|2005473.104.peg.436	-	GH106(28-994)	-	-	Y(1-26)	1
fig|2005473.104.peg.508	-	GH3(104-326)	-	-	Y(1-23)	1
fig|2005473.104.peg.540	-	GT2(8-176)	-	-	N	1
fig|2005473.104.peg.547	-	GH23(94-219)	-	-	N	1
fig|2005473.104.peg.582	-	GT2(11-133)	-	-	N	1
fig|2005473.104.peg.616	-	GH106(318-1049)	-	-	Y(1-26)	1
fig|2005473.104.peg.699	-	GT28(197-354)	-	-	N	1
fig|2005473.104.peg.700	-	GT119(58-434)	-	-	N	1
fig|2005473.104.peg.712	-	GT2(20-186)	-	-	N	1
fig|2005473.104.peg.745	-	GT2(10-150)	-	-	N	1
fig|2005473.104.peg.746	-	GT83(7-373)	-	-	N	1
fig|2005473.104.peg.757	-	CBM67(50-214)+GH78(289-840)	-	-	Y(1-63)	1
fig|2005473.104.peg.78	-	GH13_28(44-355)	-	-	Y(1-21)	1
fig|2005473.104.peg.800	-	GT113(11-338)	-	-	N	1
fig|2005473.104.peg.801	-	GT2(5-124)	-	-	N	1
fig|2005473.104.peg.812	-	GH51_1(29-516)	-	-	Y(1-23)	1
fig|2005473.104.peg.891	-	GH13_14(203-527)	-	-	Y(1-27)	1
fig|2005473.104.peg.909	-	GH97(11-652)	-	-	Y(1-26)	1
fig|2005473.104.peg.910	-	GH35(34-345)	-	-	N	1
fig|2005473.104.peg.918	-	GH105(99-434)	-	-	Y(1-27)	1
fig|2005473.104.peg.919	-	CE12(64-283)+CE12(314-525)+CE12(684-889)	-	-	Y(1-21)	1
fig|2005473.104.peg.920	-	PL11_1(31-610)	-	-	Y(1-24)	1
fig|2005473.104.peg.923	-	GH2(17-618)	-	-	Y(1-21)	1
fig|2005473.104.peg.925	-	GH43_19(77-301)	-	-	Y(1-27)	1
