"Genome","HMM.Profile","Trimmed.Profile","Substrates","Source","E.Value","Coverage","HMM.Profile.Number"
"7BRU","GH51_1","GH51","arabinan, beta-glucan, xylan","plant","4.9e-172","0.987288135593",51
"7BRU","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","1.2e-106","0.586436170213",2
"7BRU","GH13_48","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","8.1e-119","0.982332155477",13
"7BRU","GH25","GH25","peptidoglycan","pg","2.3e-42","0.994350282486",25
"7BRU","GH53","GH53","arabinogalactan protein","plant","9.2e-73","0.540935672515",53
"7BRU","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"2.8e-166","0.99765258216",31
"7BRU","GH31_15","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"1.3e-169","0.99765258216",31
"7BRU","GH32","GH32","fructan","sucrose","3.3e-87","0.969283276451",32
"7BRU","GH30_2","GH30","arabinogalactan protein, beta-fucosides, beta-glucan, beta-glucuronan, host glycan, xylan",NA,"1.4e-156","0.975669099757",30
"7BRU","GH31_16","GH31","alpha-galactan, alpha-mannan, host glycan, polyphenol, starch, sucrose, xyloglucan",NA,"8e-229","0.99535962877",31
"7BRU","GH36","GH36","alpha-galactan, host glycan, raffinose","plant","1.6e-217","0.994186046512",36
"7BRU","GH63","GH63","alpha-glucan, host glycan",NA,"6.5e-110","0.582456140351",63
"7BRU","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","3.4e-216","0.970744680851",2
"7BRU","GH13_14","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","7.3e-118","0.996539792388",13
"7BRU","GH127","GH127","arabinogalactan protein, carrageenan, pectin",NA,"3.8e-207","0.998091603053",127
"7BRU","GH27","GH27","alpha-galactan, arabinogalactan protein, host glycan, raffinose, starch","plant","1.7e-33","0.938864628821",27
"7BRU","GH97","GH97","alpha-glucan",NA,"3.9e-252","0.9793977813",97
"7BRU","GH43_19","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","1.2e-76","0.986899563319",43
"7BRU","GH97","GH97","alpha-glucan",NA,"2e-163","0.935023771791",97
"7BRU","GH51_2","GH51","arabinan, beta-glucan, xylan","plant","2e-161","0.990804597701",51
"7BRU","GH89","GH89","host glycan","animal,mucin","2.7e-236","0.974358974359",89
"7BRU","GH73","GH73","peptidoglycan","pg","4.5e-35","0.9765625",73
"7BRU","GH13_28","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","4.9e-99","0.993031358885",13
"7BRU","GH77","GH77","starch","starch","4.5e-147","0.983805668016",77
"7BRU","GH13_8","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","5.3e-161","0.99375",13
"7BRU","GH3","GH3","arabinan, beta-glucan, chitin, host glycan, peptidoglycan, polyphenol, xylan, xyloglucan","plant,animal","6.4e-55","0.967592592593",3
"7BRU","GH73","GH73","peptidoglycan","pg","2.1e-17","0.9296875",73
"7BRU","GH43_19","GH43","arabinan, arabinogalactan protein, beta-galactan, xylan","plant","2.4e-78","0.982532751092",43
"7BRU","GH13_46","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.5e-139","0.990683229814",13
"7BRU","GH13_38","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","1.6e-154","0.99460916442",13
"7BRU","GH13_47","GH13","alpha-glucan, glucosylglycerate, glucosylglycerol, glycogen, starch, sucrose, trehalose","starch","2e-111","0.987179487179",13
"7BRU","GH51_2","GH51","arabinan, beta-glucan, xylan","plant","2.6e-172","0.993103448276",51
"7BRU","GH33","GH33","pectin, sialic acid","animal,mucin","3.3e-92","0.941520467836",33
"7BRU","GH24","GH24","peptidoglycan","pg","3.4e-16","0.912408759124",24
"7BRU","GH29","GH29","host glycan","plant,animal,mucin","1e-99","0.904624277457",29
"7BRU","GH2","GH2","alpha-mannan, arabinan, beta-galactan, beta-glucan, beta-glucuronan, beta-mannan, chitosan, host glycan, pectin, xylan","plant,animal,mucin","5.6e-115","0.70079787234",2
"7BRU","GH53","GH53","arabinogalactan protein","plant","6.4e-92","0.897660818713",53
"7BRU","GH92","GH92","host glycan","animal","4.5e-160","0.9816700611",92
