Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
fig|2518495.5.peg.40	QCD41759.1|CE8	98.1	320	6	0	1	320	1	320	7.3e-186	654.1
fig|2518495.5.peg.41	CUS04921.1|GT4	34.5	973	454	14	3	922	17	859	3.1e-160	570.5
fig|2518495.5.peg.45	QCD41756.1|GT2	97.3	260	7	0	1	260	1	260	3.9e-145	518.5
fig|2518495.5.peg.59	QCD41743.1|GH28	98.8	498	6	0	1	498	1	498	1.1e-294	1016.1
fig|2518495.5.peg.69	QCD41735.1|CE8|PL1_2	99.8	1293	2	0	1	1293	1	1293	0.0e+00	2652.9
fig|2518495.5.peg.86	AMJ18631.1|GT2	49.4	1182	561	18	9	1172	3	1165	9.3e-311	1070.8
fig|2518495.5.peg.89	QCP72135.1|PL1_2	62.9	509	185	2	1	507	616	1122	7.5e-191	671.4
fig|2518495.5.peg.107	QCD41705.1|GH97	99.6	722	3	0	1	722	1	722	0.0e+00	1495.3
fig|2518495.5.peg.108	QCD41704.1|PL10_1	99.2	382	3	0	20	401	1	382	3.0e-229	798.5
fig|2518495.5.peg.128	287455|Phcitr1_GeneCatalog_proteins_20170113.aa.fasta|CBM48|GH13_8	62.4	500	161	5	2	501	695	1167	3.7e-168	595.9
fig|2518495.5.peg.146	QCD41666.1|GT2	96.6	325	11	0	1	325	1	325	1.3e-182	643.3
fig|2518495.5.peg.185	QCD42304.1|CBM50|GH23	99.0	596	6	0	1	596	1	596	2.6e-306	1055.0
fig|2518495.5.peg.192	QCD42299.1|GT2	99.3	446	3	0	1	446	1	446	6.2e-260	900.6
fig|2518495.5.peg.194	UWP49468.1|GT2	53.5	454	187	7	2	444	823	1263	2.1e-127	460.3
fig|2518495.5.peg.196	QCD42295.1|GH171	100.0	438	0	0	1	438	1	438	3.2e-253	878.2
fig|2518495.5.peg.205	1152625|Rusear1_GeneCatalog_proteins_20190529.aa.fasta|GT9	55.9	465	205	0	9	473	280	744	1.3e-149	534.3
fig|2518495.5.peg.238	CAN65674.1|GH28	44.5	546	273	7	75	616	111	630	1.1e-129	468.4
fig|2518495.5.peg.247	2817|Capep1_GeneCatalog_proteins_20160826.aa.fasta|GT2	53.8	470	207	5	3	462	9	478	2.5e-134	483.4
fig|2518495.5.peg.252	13268|Pensub1_GeneCatalog_proteins_20160929.aa.fasta|GH131	46.2	524	255	10	3	501	15	536	5.8e-121	439.1
fig|2518495.5.peg.253	QCD42244.1|CBM91|GH43_12	100.0	539	0	0	1	539	13	551	0.0e+00	1137.9
fig|2518495.5.peg.261	VEH14885.1|GH43_3	59.4	362	142	2	23	379	334	695	9.5e-124	448.0
fig|2518495.5.peg.268	QCW79542.1|GH101	55.7	458	203	0	59	516	611	1068	1.7e-147	527.3
fig|2518495.5.peg.340	QCD41280.1|GT2	94.1	339	20	0	1	339	1	339	1.6e-183	646.4
fig|2518495.5.peg.350	QCD41271.1|GH73	98.3	236	4	0	1	236	1	236	1.6e-137	493.0
fig|2518495.5.peg.352	QCP71596.1|GT19	77.6	392	88	0	1	392	1	392	1.6e-179	633.3
fig|2518495.5.peg.364	QCP71590.1|GT2	77.2	329	75	0	18	346	6	334	1.2e-141	507.3
fig|2518495.5.peg.371	118117|Volvo1_GeneCatalog_proteins_20130703.aa.fasta|CE4	43.2	702	379	12	8	696	1033	1727	1.2e-151	541.6
fig|2518495.5.peg.427	QCD41202.1|GH13_38	99.6	570	2	0	1	570	2	571	0.0e+00	1213.0
fig|2518495.5.peg.445	QBQ55251.1|CBM50	32.7	913	524	18	2	882	32	886	7.2e-106	389.8
fig|2518495.5.peg.455	QCD41177.1|GH95	98.8	781	9	0	1	781	1	781	0.0e+00	1578.1
fig|2518495.5.peg.504	QCD40844.1|GT2	100.0	348	0	0	1	348	1	348	1.1e-203	713.4
fig|2518495.5.peg.533	QCD43587.1|GT2	100.0	265	0	0	1	265	1	265	1.0e-156	557.0
fig|2518495.5.peg.536	QCD43584.1|GT9	98.8	344	4	0	1	344	1	344	1.1e-195	686.8
fig|2518495.5.peg.540	QCD43580.1|GT30	98.6	425	6	0	1	425	1	425	9.8e-247	856.7
fig|2518495.5.peg.554	QCD43742.1|GH51_1	99.6	501	2	0	19	519	1	501	2.4e-303	1045.0
fig|2518495.5.peg.555	QCD43566.1|GH2	98.6	1045	15	0	1	1045	1	1045	0.0e+00	2173.7
fig|2518495.5.peg.579	QLQ36740.1|CBM57|CBM6	48.3	441	209	6	30	468	483	906	3.9e-119	433.0
fig|2518495.5.peg.580	WBB95826.1|CBM2|CBM57	50.2	426	201	5	30	448	406	827	2.1e-122	443.7
fig|2518495.5.peg.585	QCD43662.1|CE20	99.2	521	4	0	32	552	1	521	0.0e+00	1080.9
fig|2518495.5.peg.587	QCD41892.1|GH10	99.7	371	1	0	1	371	1	371	1.0e-223	780.0
fig|2518495.5.peg.588	QCD43661.1|GH43_1	98.8	328	4	0	4	331	1	328	5.0e-206	721.1
fig|2518495.5.peg.590	QCD35193.1|GH67	65.0	674	233	3	1	672	1	673	4.2e-276	954.9
fig|2518495.5.peg.594	WOK04910.1|GT28	46.7	460	233	6	7	461	378	830	1.0e-108	398.3
fig|2518495.5.peg.595	QCD41887.1|GT28	99.7	376	1	0	1	376	1	376	2.9e-210	735.3
fig|2518495.5.peg.596	QCD41886.1|GT119	100.0	443	0	0	1	443	1	443	1.2e-239	833.2
fig|2518495.5.peg.615	QCD41872.1|CE2	100.0	359	0	0	1	359	1	359	2.6e-208	728.8
fig|2518495.5.peg.616	CUS04494.1|GH39	49.8	1268	555	17	8	1221	14	1253	0.0e+00	1101.7
fig|2518495.5.peg.635	QCD41829.1|GH78	99.6	456	2	0	1	456	1	456	1.8e-272	942.6
fig|2518495.5.peg.639	QCD41824.1|CE20	98.8	255	3	0	219	473	1	255	3.7e-154	549.3
fig|2518495.5.peg.642	QCD41820.1|GH0	97.6	931	22	0	1	931	1	931	0.0e+00	1883.6
fig|2518495.5.peg.643	UCB38190.1|GH106	56.8	1021	433	6	33	1050	29	1044	0.0e+00	1253.0
fig|2518495.5.peg.654	QCD41807.1|GT4	99.3	442	3	0	1	442	1	442	3.2e-264	914.8
fig|2518495.5.peg.685	QCD42065.1|GT26	99.6	251	1	0	1	251	1	251	4.1e-144	515.0
fig|2518495.5.peg.687	QCD42067.1|GT4	98.3	349	6	0	1	349	4	352	7.1e-203	710.7
fig|2518495.5.peg.688	QCD38387.1|GH3	83.7	775	125	1	1	775	1	774	0.0e+00	1340.5
fig|2518495.5.peg.717	QCD42092.1|GH25	100.0	243	0	0	1	243	1	243	1.5e-143	513.1
fig|2518495.5.peg.718	QCD42093.1|GH28	99.1	443	4	0	1	443	1	443	1.5e-242	842.8
