feature_id	location	type	function	aliases	protein_md5
fig|1796646.660.peg.1	NODE_1_length_252462_cov_160.054761_60+3189	CDS	RND efflux system, inner membrane transporter		229ad779d4632808b04892f79b3959af
fig|1796646.660.peg.2	NODE_1_length_252462_cov_160.054761_4062-813	CDS	hypothetical protein		039fdbaccb9d6244fdc56c61b6f05db8
fig|1796646.660.peg.3	NODE_1_length_252462_cov_160.054761_5174-990	CDS	hypothetical protein		1e474e4e94ca84876b20ba163f62e73d
fig|1796646.660.peg.4	NODE_1_length_252462_cov_160.054761_6347-981	CDS	Uncharacterized transporter YfdV		323f866eb511022af05d4335579daaec
fig|1796646.660.peg.5	NODE_1_length_252462_cov_160.054761_8202-1755	CDS	Oxalyl-CoA decarboxylase (EC 4.1.1.8)		f6160aefb0e0d049117b247d1ab35b7c
fig|1796646.660.peg.6	NODE_1_length_252462_cov_160.054761_8314-120	CDS	hypothetical protein		683e2f60ca3f35e12e2cb6ca1d0e3789
fig|1796646.660.peg.7	NODE_1_length_252462_cov_160.054761_9640-1311	CDS	Formyl-coenzyme A transferase (EC 2.8.3.16)		87765aa9a17ef60965f0e6f4cecca394
fig|1796646.660.peg.8	NODE_1_length_252462_cov_160.054761_10866-1092	CDS	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)		70ee1c82b46d78025d1becea6d2985a3
fig|1796646.660.peg.9	NODE_1_length_252462_cov_160.054761_11958-1071	CDS	hypothetical protein		abb39be263c65fa34d75195d47afa7ca
fig|1796646.660.peg.10	NODE_1_length_252462_cov_160.054761_13273-1281	CDS	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)		7fbf8a2d1aed36791355e3a1bb4473bd
fig|1796646.660.peg.11	NODE_1_length_252462_cov_160.054761_14998-1674	CDS	23S rRNA (guanine(2445)-N(2))-methyltransferase (EC 2.1.1.173)		87f9d63190c9074a32ca0efcd78ecc62
fig|1796646.660.peg.12	NODE_1_length_252462_cov_160.054761_15921-924	CDS	Serine acetyltransferase (EC 2.3.1.30)		a35fcaac37d51b9d8920fd68bf1b0014
