dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2_e145	GH2:108|CBM32:1	3.2.1.23:2|3.2.1.-:1	beta-galactan, pectin	682	fig|2005473.105.peg.1050	932	4e-259	3	681	32	690	0.994134897361
GH2_e53	GH2:132|CBM32:58|CBM2:1	-	-	595	fig|2005473.105.peg.1063	838	9.1e-291	2	594	21	623	0.994957983193
CBM32_e28	CBM32:62|GH2:59	-	host glycan	109	fig|2005473.105.peg.1063	838	1.2e-22	1	105	734	825	0.954128440367
GH13_e194	GH13:24|CBM41:3|GH13_41:1	-	sucrose	280	fig|2005473.105.peg.1069	477	5.1e-128	1	280	64	358	0.996428571429
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan, fructan, fructan, fructan, fructan, fructan	316	fig|2005473.105.peg.1098	613	3.9e-122	4	307	146	448	0.958860759494
GT2	GT2:20	-	-	119	fig|2005473.105.peg.1118	254	1.3e-43	2	119	7	125	0.983193277311
GT2	GT2:6	-	-	125	fig|2005473.105.peg.1119	273	4.8e-60	1	124	13	136	0.984
GT2	GT2:92	-	-	104	fig|2005473.105.peg.1121	273	6.3e-46	1	103	5	105	0.980769230769
GT2	GT2:7	-	-	145	fig|2005473.105.peg.1122	340	4.8e-44	2	126	24	151	0.855172413793
GT2	GT2:7	-	-	145	fig|2005473.105.peg.1123	322	2.7e-51	1	121	10	133	0.827586206897
CE4_e140	CE4:231	-	-	111	fig|2005473.105.peg.1137	205	9e-50	2	110	25	133	0.972972972973
CE6_e2	CE6:151|CE0:39|CBM48:38|GH95:11|GH51:3|GH97:2|GH43_10:2|GH43_17:1|CBM5:1|CBM4:1|GH10:1|GH43_28:1|CBM88:1|CBM9:1	3.1.1.72:6|3.1.1.73:2	xylan	111	fig|2005473.105.peg.115	1079	4.3e-50	1	111	90	200	0.990990990991
GH95_e1	GH95:1763|CBM13:26|CBM2:14|CE6:11|CBM6:7|CBM32:5|CE8:2|GH29:1|CE12:1|CBM5:1|GH1:1	3.2.1.-:3|3.2.1.63:2	pectin, xylan, xyloglucan, host glycan	743	fig|2005473.105.peg.115	1079	1.8e-301	4	729	287	1015	0.975773889637
GH43_e90	GH43_29:56|GH43_24:1	-	-	286	fig|2005473.105.peg.116	348	9.3e-138	1	285	42	335	0.993006993007
GH43_e59	GH43_29:334|CBM6:308|CBM2:13|CBM13:12|CBM22:12|CBM42:12|GH43_10:9|GH43:9|CBM48:6|CE0:6|GH43_17:4|GH27:3|GH43_30:2|CE6:2|CBM64:1|CBM51:1|GH43_26:1|CBM1:1	3.2.1.37:2|3.2.1.55:2|3.2.1.8:1	xylan, xylan, xylan	281	fig|2005473.105.peg.117	431	5.6e-125	1	281	19	290	0.996441281139
CBM6_e0	CBM6:335|GH43_29:310|CBM13:12|CBM22:12|CBM2:12|GH43_16:11|GH43:10|CBM48:6|CE0:6|GH27:2|CBM32:1|CBM36:1|CBM1:1|GH43_10:1|CBM64:1	3.2.1.8:1|3.2.1.37:1|3.2.1.55:1	beta-glucan, xylan, cellulose	125	fig|2005473.105.peg.117	431	2.2e-39	2	124	313	431	0.976
GH97_e18	GH97:183|GH146:3|GH43_19:3|CE6:2	3.2.1.22:1|3.2.1.88:1	alpha-glucan	633	fig|2005473.105.peg.118	651	0	4	632	16	646	0.992101105845
GH43_e229	CBM6:49|GH43_2:49|GH8:5|GH43:1	-	-	273	fig|2005473.105.peg.122	847	3.8e-147	1	272	34	301	0.992673992674
CBM6_e71	CBM6:55|GH43_2:53|GH8:5|GH43:2	-	beta-glucan, xylan, cellulose	99	fig|2005473.105.peg.122	847	4.4e-29	2	99	347	444	0.979797979798
GH8_e12	GH8:49|GH43_2:6|CBM6:5|CE15:4	3.2.1.156:1	xylan	327	fig|2005473.105.peg.122	847	7.9e-178	1	327	504	830	0.996941896024
CBM48_e68	CBM48:192|CE0:190|CE6:12|GH10:3|CE1:2|GH62:1	3.1.1.73:1|3.2.1.55:1|3.2.1.8:1	glycogen	61	fig|2005473.105.peg.123	372	4.2e-25	2	61	50	108	0.967213114754
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	fig|2005473.105.peg.123	372	1.5e-52	3	206	159	367	0.985436893204
GH13_e203	GH13_37:43|CBM69:16|GH13_13:9|CBM48:8|CBM41:5|GH13_5:3	3.2.1.1:1	sucrose, starch	316	fig|2005473.105.peg.1233	461	3.5e-100	5	316	45	350	0.98417721519
GH31_e76	GH31:163|CE0:1	2.4.1.161:1	starch	436	fig|2005473.105.peg.1234	781	2.5e-170	3	436	215	649	0.993119266055
CBM48_e9	CBM48:44|CE0:41|CE6:26|CBM6:6|GH43_29:6	3.1.1.72:2|3.1.1.73:1	glycogen	60	fig|2005473.105.peg.124	375	5.5e-32	1	60	38	97	0.983333333333
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	fig|2005473.105.peg.124	375	4.3e-56	3	205	150	365	0.980582524272
