HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH2.hmm	752	fig|2005473.104.peg.1003	1000	7.3e-66	25	491	32	596	0.619680851064
GT2.hmm	170	fig|2005473.104.peg.1017	320	2.5e-33	1	168	4	167	0.982352941176
GT19.hmm	354	fig|2005473.104.peg.104	381	2e-111	2	349	4	360	0.980225988701
GH78.hmm	504	fig|2005473.104.peg.1049	580	2.3e-87	5	499	78	574	0.980158730159
GH92.hmm	491	fig|2005473.104.peg.1055	751	2.4e-169	3	491	256	750	0.993890020367
GH89.hmm	663	fig|2005473.104.peg.1056	752	8.9e-234	3	661	56	746	0.99245852187
GH28.hmm	325	fig|2005473.104.peg.1058	468	9e-70	6	309	52	402	0.932307692308
CBM13.hmm	188	fig|2005473.104.peg.1065	885	1.9e-16	3	139	391	535	0.723404255319
PL42.hmm	296	fig|2005473.104.peg.1095	435	7.1e-121	1	296	42	334	0.996621621622
GH105.hmm	332	fig|2005473.104.peg.1096	770	6.3e-78	12	332	50	371	0.963855421687
GH154.hmm	348	fig|2005473.104.peg.1096	770	1.4e-104	1	347	380	741	0.994252873563
GH43_34.hmm	280	fig|2005473.104.peg.1097	346	5.1e-97	1	280	40	338	0.996428571429
GH127.hmm	524	fig|2005473.104.peg.1098	656	7.5e-204	1	524	38	570	0.998091603053
GH109.hmm	399	fig|2005473.104.peg.116	500	6.9e-166	2	398	84	488	0.992481203008
GH171.hmm	355	fig|2005473.104.peg.1174	391	5e-112	1	355	42	388	0.997183098592
GT4.hmm	160	fig|2005473.104.peg.1214	429	6e-16	7	149	246	388	0.8875
PL9.hmm	374	fig|2005473.104.peg.1228	451	1.8e-82	9	365	11	420	0.951871657754
GH13_37.hmm	314	fig|2005473.104.peg.1238	461	3.6e-102	5	313	45	348	0.980891719745
GT30.hmm	177	fig|2005473.104.peg.1251	421	3.6e-45	9	176	42	207	0.943502824859
GT3.hmm	637	fig|2005473.104.peg.1306	552	3.4e-117	1	348	13	348	0.544740973312
GT35.hmm	674	fig|2005473.104.peg.1307	853	2.9e-128	20	563	124	642	0.805637982196
GH57.hmm	383	fig|2005473.104.peg.1308	475	5.5e-66	2	311	6	322	0.806788511749
GT4.hmm	160	fig|2005473.104.peg.1309	420	5.2e-34	6	157	240	388	0.94375
GH133.hmm	372	fig|2005473.104.peg.1310	647	3.6e-82	7	372	286	637	0.981182795699
PL9_1.hmm	375	fig|2005473.104.peg.1312	472	9.6e-108	4	372	12	412	0.981333333333
GH188.hmm	259	fig|2005473.104.peg.1338	381	2.4e-16	2	191	76	265	0.72972972973
