feature_id	location	type	function	aliases	protein_md5
fig|2005473.103.peg.1	NODE_1_length_231459_cov_48.0314_557-456	CDS	hypothetical protein		3c8bef0a878fbe8a32d33f4e466e6172
fig|2005473.103.peg.2	NODE_1_length_231459_cov_48.0314_1772-1077	CDS	N-acetylglucosamine related transporter, NagX		9812586c37e8a0d1900d6d6a7548ddfd
fig|2005473.103.peg.3	NODE_1_length_231459_cov_48.0314_4018-2238	CDS	Alpha-1,2-mannosidase		13a02e4a122710180e5e2d25bd8242e0
fig|2005473.103.peg.4	NODE_1_length_231459_cov_48.0314_6739-2700	CDS	hypothetical protein		b20fea7e4061f62acb4ce1a09e73c80c
fig|2005473.103.peg.5	NODE_1_length_231459_cov_48.0314_8262-1446	CDS	glycoside hydrolase, family 28		0db5ebd250ce03cd616f1e09f50e66d0
fig|2005473.103.peg.6	NODE_1_length_231459_cov_48.0314_8508-225	CDS	hypothetical protein		e5f5e041ed77e0442999d48daefb8e94
fig|2005473.103.peg.7	NODE_1_length_231459_cov_48.0314_8589+1068	CDS	hypothetical protein		711068d4f1d43275f70e8b041c12ef43
fig|2005473.103.peg.8	NODE_1_length_231459_cov_48.0314_10489-534	CDS	hypothetical protein		46b9911c900901133653aab1672316fc
fig|2005473.103.peg.9	NODE_1_length_231459_cov_48.0314_12781-2265	CDS	Alpha-1,2-mannosidase		55e813d15ed483f58d948492309ad486
fig|2005473.103.peg.10	NODE_1_length_231459_cov_48.0314_14374-1503	CDS	hypothetical protein		eac0ec8adb0e93ed06b8fd1a932ab7e5
fig|2005473.103.peg.11	NODE_1_length_231459_cov_48.0314_16214-1743	CDS	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family		df012c4f12fb0cc4ecd39415ea8779bd
fig|2005473.103.peg.12	NODE_1_length_231459_cov_48.0314_19299-3045	CDS	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family		4e2f97fd6769a69c566480de501479ae
fig|2005473.103.peg.13	NODE_1_length_231459_cov_48.0314_19657+1200	CDS	Homolog of fucose/glucose/galactose permeases		75ced48fd6eff350be2035ecb40ba1dd
fig|2005473.103.peg.14	NODE_1_length_231459_cov_48.0314_20853+888	CDS	Ribokinase (EC 2.7.1.15)		aa88c4a2f4c7a95bf73eee3dccc468fc
fig|2005473.103.peg.15	NODE_1_length_231459_cov_48.0314_21737+1302	CDS	hypothetical protein		e32883ee8ba3203ce64d259f920db19e
fig|2005473.103.peg.16	NODE_1_length_231459_cov_48.0314_23100+3351	CDS	Alpha-N-acetylglucosaminidase (EC 3.2.1.50)		3445649f79241c5574f7b1b27d221673
fig|2005473.103.rna.1	NODE_1_length_231459_cov_48.0314_26660-73	rna	tRNA-Pro-CGG		
fig|2005473.103.peg.17	NODE_1_length_231459_cov_48.0314_27735-1020	CDS	hypothetical protein		2f15ffd0d8abcb07c475307016c44295
fig|2005473.103.peg.18	NODE_1_length_231459_cov_48.0314_27806+720	CDS	Phosphatidylserine decarboxylase (EC 4.1.1.65)		c09fa4ab8fd4aeaa05c9718465b89320
fig|2005473.103.peg.19	NODE_1_length_231459_cov_48.0314_28522+699	CDS	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)		a441d68fc207ed68dabdec8708ad9443
fig|2005473.103.peg.20	NODE_1_length_231459_cov_48.0314_29306+396	CDS	hypothetical protein		ce565301b6e1254b6479e160482574d3
fig|2005473.103.peg.21	NODE_1_length_231459_cov_48.0314_29730+837	CDS	hypothetical protein		08a98769e1878c592000491ea018a610
fig|2005473.103.peg.22	NODE_1_length_231459_cov_48.0314_30589+1215	CDS	Two-component system sensor histidine kinase		3c6631f00bcdce5f66f105da6dc6cc2c
fig|2005473.103.peg.23	NODE_1_length_231459_cov_48.0314_31940+2487	CDS	Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)		2d7780f768bfba40096d37a8600bf4d4
fig|2005473.103.peg.24	NODE_1_length_231459_cov_48.0314_34457+717	CDS	Probable transcriptional regulatory protein YebC		f1bd07aaed20a6c4ab470cd3cae72ab2
fig|2005473.103.peg.25	NODE_1_length_231459_cov_48.0314_36213-852	CDS	hypothetical protein		3ecc5a6c9f162f374e5edfc279148b61
fig|2005473.103.peg.26	NODE_1_length_231459_cov_48.0314_36776-567	CDS	hypothetical protein		0986b02c4936327e49d7b3079ea3bde6
fig|2005473.103.peg.27	NODE_1_length_231459_cov_48.0314_37876-1074	CDS	hypothetical protein		6d3e9bddd35b6a09c8acd90cb0967808
fig|2005473.103.peg.28	NODE_1_length_231459_cov_48.0314_38638-747	CDS	Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)		28b870ae373fbf20680c03eb999595c4
fig|2005473.103.peg.29	NODE_1_length_231459_cov_48.0314_39066-432	CDS	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE		553c5a19f043cfaa69707ebf677e3f2e
fig|2005473.103.peg.30	NODE_1_length_231459_cov_48.0314_41666-2322	CDS	beta-glucosidase (EC 3.2.1.21)		a2727c1a5fbff9c5f6dc8d6f9d0c9962
fig|2005473.103.peg.31	NODE_1_length_231459_cov_48.0314_42924-1257	CDS	hypothetical protein		e5fdde9cc2cfcf5c270d9414b97f38d9
fig|2005473.103.peg.32	NODE_1_length_231459_cov_48.0314_44609-1665	CDS	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family		ecbc80e78c93cce067f084d3ebacb29f
fig|2005473.103.peg.33	NODE_1_length_231459_cov_48.0314_47815-3192	CDS	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family		d509be89ab8d4d92100487a81c258602
fig|2005473.103.peg.34	NODE_1_length_231459_cov_48.0314_48670-846	CDS	Endo-beta-1,3-glucanase precursor		30e1adb81913c1b3110100f46cef18d0
fig|2005473.103.peg.35	NODE_1_length_231459_cov_48.0314_52841-4005	CDS	hypothetical protein		484e09fb1f164e304c7f3a346e11bf70
fig|2005473.103.peg.36	NODE_1_length_231459_cov_48.0314_53199+1197	CDS	Carboxynorspermidine synthase (EC 1.5.1.43)		28353aed34fe673f1249ffacc5db8429
fig|2005473.103.peg.37	NODE_1_length_231459_cov_48.0314_57937-1218	CDS	Lipid-A-disaccharide synthase (EC 2.4.1.182)		f165e353b9ef3f65fb3f591742fc7bf7
fig|2005473.103.peg.38	NODE_1_length_231459_cov_48.0314_58023+1434	CDS	hypothetical protein		9be745f5a490b88c03fe16c00e157033
fig|2005473.103.peg.39	NODE_1_length_231459_cov_48.0314_59574+2040	CDS	Methionyl-tRNA synthetase (EC 6.1.1.10)		08d31d89f16aea9df19c554f782691e7
fig|2005473.103.peg.40	NODE_1_length_231459_cov_48.0314_61638+990	CDS	Glycosyltransferase		eb6acb92c48eb4a4eb446d4c3acfc8da
