HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	fig|2005473.101.peg.1033	344	1.6e-22	1	164	9	182	0.958823529412
CE1.hmm	227	fig|2005473.101.peg.1035	403	1.1e-58	1	220	149	398	0.964757709251
GT2.hmm	170	fig|2005473.101.peg.1036	309	2.9e-25	1	114	9	124	0.664705882353
GH20.hmm	337	fig|2005473.101.peg.1048	777	2.6e-117	9	334	159	511	0.964391691395
GH25.hmm	177	fig|2005473.101.peg.1066	241	2.2e-41	1	177	48	219	0.994350282486
GH43_18.hmm	226	fig|2005473.101.peg.1105	335	2.8e-55	3	226	79	319	0.986725663717
GH3.hmm	216	fig|2005473.101.peg.1109	365	3.1e-69	7	216	97	314	0.967592592593
GT2.hmm	170	fig|2005473.101.peg.1123	462	3.6e-22	1	135	218	356	0.788235294118
CE11.hmm	271	fig|2005473.101.peg.1222	460	1e-71	1	220	3	223	0.808118081181
GT2.hmm	170	fig|2005473.101.peg.1224	315	9.7e-36	1	123	3	123	0.717647058824
GH20.hmm	337	fig|2005473.101.peg.1241	685	1.4e-120	9	336	145	491	0.970326409496
GH13_14.hmm	289	fig|2005473.101.peg.1244	677	1e-118	1	289	202	526	0.996539792388
GH188.hmm	259	fig|2005473.101.peg.1248	313	1.2e-19	2	190	6	195	0.725868725869
GH73.hmm	128	fig|2005473.101.peg.1300	197	6.4e-18	6	125	98	196	0.9296875
GH23.hmm	135	fig|2005473.101.peg.1353	336	1.2e-25	2	123	105	239	0.896296296296
GT5.hmm	472	fig|2005473.101.peg.1358	272	1.7e-42	1	223	9	243	0.470338983051
GH171.hmm	355	fig|2005473.101.peg.1418	415	2.4e-126	1	355	48	415	0.997183098592
GH92.hmm	491	fig|2005473.101.peg.1421	783	6.2e-167	2	481	269	775	0.975560081466
GH130_2.hmm	300	fig|2005473.101.peg.1422	319	4.8e-154	1	300	17	315	0.996666666667
GH92.hmm	491	fig|2005473.101.peg.1424	786	1.1e-188	2	491	259	766	0.995926680244
GH92.hmm	491	fig|2005473.101.peg.1425	763	7.6e-191	3	491	247	757	0.993890020367
GH92.hmm	491	fig|2005473.101.peg.1426	766	1.2e-179	5	488	268	765	0.983706720978
GT83.hmm	540	fig|2005473.101.peg.1429	583	1e-75	9	475	18	518	0.862962962963
GT2.hmm	170	fig|2005473.101.peg.1474	284	1.7e-23	4	120	1	114	0.682352941176
GH20.hmm	337	fig|2005473.101.peg.1510	550	1.5e-107	7	335	162	517	0.973293768546
GT19.hmm	354	fig|2005473.101.peg.158	376	1.6e-109	2	351	4	354	0.985875706215
GT51.hmm	177	fig|2005473.101.peg.1590	821	1.2e-58	2	177	100	282	0.988700564972
GH24.hmm	137	fig|2005473.101.peg.1692	164	4.2e-17	23	137	49	157	0.832116788321
GH13_8.hmm	320	fig|2005473.101.peg.1724	675	5.1e-165	2	320	193	513	0.99375
GT26.hmm	171	fig|2005473.101.peg.1728	233	2.3e-53	6	170	53	217	0.959064327485
GT4.hmm	160	fig|2005473.101.peg.174	424	3.9e-17	11	149	247	384	0.8625
GH177.hmm	347	fig|2005473.101.peg.1745	490	8.5e-19	7	181	47	204	0.50144092219
GT9.hmm	225	fig|2005473.101.peg.1750	362	3.4e-28	2	215	87	336	0.946666666667
GT28.hmm	157	fig|2005473.101.peg.1848	362	3.1e-47	2	154	191	347	0.968152866242
GT119.hmm	360	fig|2005473.101.peg.1849	441	3.4e-48	1	357	32	409	0.988888888889
GT4.hmm	160	fig|2005473.101.peg.1859	379	4.3e-22	8	157	201	346	0.93125
GT2.hmm	170	fig|2005473.101.peg.1871	330	2.9e-33	1	168	4	168	0.982352941176
GH2.hmm	752	fig|2005473.101.peg.1877	1056	8.9e-226	24	751	62	934	0.966755319149
GH5_4.hmm	276	fig|2005473.101.peg.204	574	1.6e-87	2	274	247	542	0.985507246377
GH97.hmm	631	fig|2005473.101.peg.2049	666	1.3e-193	4	629	13	662	0.990491283677
GH43_17.hmm	267	fig|2005473.101.peg.2050	323	2.6e-96	1	263	26	302	0.98127340824
GH24.hmm	137	fig|2005473.101.peg.2076	163	1.1e-16	22	137	48	156	0.839416058394
GT2.hmm	170	fig|2005473.101.peg.2092	322	9.9e-20	2	133	13	156	0.770588235294
GH31_4.hmm	435	fig|2005473.101.peg.210	955	7.6e-179	1	435	375	843	0.997701149425
GH13_38.hmm	371	fig|2005473.101.peg.2108	594	4.2e-165	1	370	72	431	0.99460916442
GH2.hmm	752	fig|2005473.101.peg.211	835	5.5e-127	23	480	20	631	0.607712765957
GH3.hmm	216	fig|2005473.101.peg.212	753	3.1e-65	4	215	64	283	0.976851851852
CBM98.hmm	105	fig|2005473.101.peg.2129	920	7e-23	6	105	34	133	0.942857142857
GH13_47.hmm	312	fig|2005473.101.peg.2129	920	9.8e-99	3	311	410	712	0.987179487179
GT119.hmm	360	fig|2005473.101.peg.2130	498	3.4e-28	2	193	33	219	0.530555555556
GT119.hmm	360	fig|2005473.101.peg.2130	498	2.5e-50	173	358	306	490	0.513888888889
GT2.hmm	170	fig|2005473.101.peg.2149	306	7.3e-29	1	166	16	175	0.970588235294
GT122.hmm	327	fig|2005473.101.peg.2151	361	2.1e-29	2	318	28	344	0.966360856269
GT2.hmm	170	fig|2005473.101.peg.2152	340	7e-27	1	114	6	118	0.664705882353
GT4.hmm	160	fig|2005473.101.peg.2153	362	1.5e-18	12	157	183	328	0.90625
GT4.hmm	160	fig|2005473.101.peg.2154	421	1.3e-26	10	154	231	379	0.9
GT26.hmm	171	fig|2005473.101.peg.2155	248	1.3e-32	7	170	58	222	0.953216374269
GH130_3.hmm	305	fig|2005473.101.peg.220	375	1e-126	6	304	61	370	0.977049180328
GT2.hmm	170	fig|2005473.101.peg.2204	274	2.9e-32	2	167	19	184	0.970588235294
GH92.hmm	491	fig|2005473.101.peg.221	715	1.4e-154	4	491	228	701	0.991853360489
GH13_42.hmm	400	fig|2005473.101.peg.2212	1119	8.5e-154	1	400	72	497	0.9975
GT3.hmm	637	fig|2005473.101.peg.2217	555	3.9e-111	1	350	13	351	0.547880690738
GT35.hmm	674	fig|2005473.101.peg.2218	851	1.3e-126	20	565	124	644	0.808605341246
GH92.hmm	491	fig|2005473.101.peg.222	760	6.8e-173	3	491	235	739	0.993890020367
GH2.hmm	752	fig|2005473.101.peg.2281	520	3.1e-139	58	455	2	472	0.527925531915
GH84.hmm	295	fig|2005473.101.peg.2342	816	4e-98	1	293	151	444	0.989830508475
GH106.hmm	824	fig|2005473.101.peg.2348	1127	1.9e-210	93	823	396	1125	0.885922330097
CBM67.hmm	176	fig|2005473.101.peg.235	880	1.3e-17	11	167	151	317	0.886363636364
GH78.hmm	504	fig|2005473.101.peg.235	880	2.9e-119	3	503	346	848	0.992063492063
GH2.hmm	752	fig|2005473.101.peg.236	891	6.8e-83	57	528	68	727	0.626329787234
GH92.hmm	491	fig|2005473.101.peg.238	787	6.2e-158	2	491	298	781	0.995926680244
GH38.hmm	269	fig|2005473.101.peg.239	859	1e-29	32	174	53	198	0.527881040892
CBM20.hmm	90	fig|2005473.101.peg.2643	892	2.3e-16	3	75	3	77	0.8
CBM20.hmm	90	fig|2005473.101.peg.2643	892	5.4e-18	12	87	141	218	0.833333333333
GH77.hmm	494	fig|2005473.101.peg.2643	892	1e-147	1	490	244	888	0.98987854251
GH13_46.hmm	322	fig|2005473.101.peg.2704	620	2.9e-140	1	321	167	485	0.993788819876
GH179.hmm	338	fig|2005473.101.peg.2723	351	8.4e-23	13	190	29	204	0.523668639053
GH29.hmm	346	fig|2005473.101.peg.307	438	1.5e-102	25	346	21	355	0.92774566474
CE4.hmm	130	fig|2005473.101.peg.355	205	4.9e-26	4	119	22	133	0.884615384615
GT117.hmm	245	fig|2005473.101.peg.356	1153	1.1e-37	2	206	16	235	0.832653061224
GH133.hmm	372	fig|2005473.101.peg.364	647	1.4e-79	6	372	285	637	0.983870967742
GT4.hmm	160	fig|2005473.101.peg.365	415	2.9e-36	4	156	234	383	0.95
GH57.hmm	383	fig|2005473.101.peg.366	485	1.4e-63	2	310	6	321	0.804177545692
GH78.hmm	504	fig|2005473.101.peg.369	594	3.9e-89	8	499	85	578	0.974206349206
GH3.hmm	216	fig|2005473.101.peg.371	747	1.2e-63	5	215	95	313	0.972222222222
GH37.hmm	491	fig|2005473.101.peg.372	994	3.4e-89	84	487	38	436	0.820773930754
CBM67.hmm	176	fig|2005473.101.peg.373	917	4.4e-34	11	167	160	349	0.886363636364
GH78.hmm	504	fig|2005473.101.peg.373	917	1.6e-115	3	503	378	873	0.992063492063
GT4.hmm	160	fig|2005473.101.peg.387	398	3.1e-34	9	156	217	368	0.91875
GT2.hmm	170	fig|2005473.101.peg.388	331	1.7e-29	1	166	21	194	0.970588235294
GT2.hmm	170	fig|2005473.101.peg.389	336	2.1e-37	1	128	20	145	0.747058823529
GT2.hmm	170	fig|2005473.101.peg.392	329	3.5e-29	1	118	11	127	0.688235294118
GT2.hmm	170	fig|2005473.101.peg.393	324	3.4e-24	1	109	9	116	0.635294117647
GT27.hmm	295	fig|2005473.101.peg.407	340	3.2e-25	2	237	12	242	0.796610169492
GH23.hmm	135	fig|2005473.101.peg.411	593	1.2e-23	2	115	124	254	0.837037037037
CE20.hmm	249	fig|2005473.101.peg.413	686	1.8e-36	3	114	146	262	0.44578313253
CE20.hmm	249	fig|2005473.101.peg.413	686	2.6e-48	124	248	456	579	0.497991967871
GT2.hmm	170	fig|2005473.101.peg.460	255	7.5e-25	1	162	15	169	0.947058823529
GH32.hmm	293	fig|2005473.101.peg.49	506	2.2e-91	1	287	59	355	0.976109215017
GH13_28.hmm	287	fig|2005473.101.peg.492	477	8.5e-97	1	286	42	353	0.993031358885
GH23.hmm	135	fig|2005473.101.peg.515	465	3.2e-27	14	125	304	460	0.822222222222
CE4.hmm	130	fig|2005473.101.peg.528	260	6.1e-17	20	126	31	129	0.815384615385
GT2.hmm	170	fig|2005473.101.peg.529	330	8e-31	1	163	5	162	0.952941176471
GH32.hmm	293	fig|2005473.101.peg.55	615	8.3e-88	1	289	145	446	0.982935153584
GH147.hmm	816	fig|2005473.101.peg.555	860	2.5e-283	10	815	28	840	0.986519607843
GH53.hmm	342	fig|2005473.101.peg.556	380	2.8e-94	2	310	60	351	0.900584795322
GH2.hmm	752	fig|2005473.101.peg.557	840	3.4e-107	25	568	25	757	0.722074468085
GH2.hmm	752	fig|2005473.101.peg.562	603	4.1e-93	25	485	35	594	0.61170212766
GH125.hmm	402	fig|2005473.101.peg.566	485	2e-184	1	402	71	471	0.997512437811
GH31_1.hmm	447	fig|2005473.101.peg.59	714	8.7e-163	1	446	178	608	0.995525727069
GT2.hmm	170	fig|2005473.101.peg.605	332	5.6e-30	1	167	5	168	0.976470588235
GT30.hmm	177	fig|2005473.101.peg.690	423	4.8e-47	5	176	42	207	0.966101694915
GH163.hmm	251	fig|2005473.101.peg.73	731	1.2e-99	1	251	194	448	0.996015936255
GH3.hmm	216	fig|2005473.101.peg.751	773	3.2e-64	4	215	113	341	0.976851851852
GH16_3.hmm	230	fig|2005473.101.peg.755	281	3.7e-58	3	229	46	277	0.982608695652
GH36.hmm	688	fig|2005473.101.peg.76	731	3.3e-211	4	687	33	713	0.99273255814
GT4.hmm	160	fig|2005473.101.peg.809	348	1.3e-33	7	157	169	319	0.9375
GT2.hmm	170	fig|2005473.101.peg.810	332	1.9e-34	1	159	12	168	0.929411764706
GH97.hmm	631	fig|2005473.101.peg.838	664	9.4e-209	5	630	14	663	0.990491283677
GH97.hmm	631	fig|2005473.101.peg.839	701	4.2e-256	6	630	12	697	0.988906497623
GH66.hmm	556	fig|2005473.101.peg.840	602	1.8e-184	1	555	50	602	0.996402877698
GH2.hmm	752	fig|2005473.101.peg.885	1131	3e-210	20	750	63	967	0.970744680851
GH109.hmm	399	fig|2005473.101.peg.887	468	8.7e-168	2	398	54	458	0.992481203008
GH2.hmm	752	fig|2005473.101.peg.901	882	4.1e-105	29	571	26	760	0.720744680851
GH95.hmm	722	fig|2005473.101.peg.902	868	1.8e-232	6	719	88	829	0.987534626039
GH27.hmm	229	fig|2005473.101.peg.912	659	9.3e-16	5	226	397	635	0.965065502183
CE20.hmm	249	fig|2005473.101.peg.915	641	7.4e-37	3	110	104	216	0.429718875502
CE20.hmm	249	fig|2005473.101.peg.915	641	2.4e-47	121	248	410	535	0.510040160643
GH36.hmm	688	fig|2005473.101.peg.916	712	2.2e-207	4	686	27	694	0.991279069767
GH92.hmm	491	fig|2005473.101.peg.917	732	1.1e-180	5	488	244	731	0.983706720978
GT122.hmm	327	fig|2005473.101.peg.930	365	1.6e-37	3	320	33	346	0.969418960245
GT4.hmm	160	fig|2005473.101.peg.931	377	6.1e-33	8	156	200	345	0.925
GT2.hmm	170	fig|2005473.101.peg.932	305	4.4e-30	1	124	3	124	0.723529411765
GT2.hmm	170	fig|2005473.101.peg.933	271	8.8e-26	9	148	14	149	0.817647058824
CE1.hmm	227	fig|2005473.101.peg.94	696	6.6e-20	7	207	438	662	0.881057268722
