feature_id	location	type	function	aliases	protein_md5
fig|2005473.94.peg.1	NODE_1_length_204107_cov_113.751_267-153	CDS	hypothetical protein		749a1978b022ef3628c4c064e9d5bb48
fig|2005473.94.peg.2	NODE_1_length_204107_cov_113.751_504-225	CDS	hypothetical protein		aaebfb599f62ceb485059fba1563be3c
fig|2005473.94.peg.3	NODE_1_length_204107_cov_113.751_668-168	CDS	hypothetical protein		cd412f4bdf43c3c0a7a3cc262f332664
fig|2005473.94.peg.4	NODE_1_length_204107_cov_113.751_2340-1278	CDS	Tyrosine type site-specific recombinase		a385933c7f7ee6dc9a5d63bc14709a6e
fig|2005473.94.rna.1	NODE_1_length_204107_cov_113.751_2859-76	rna	tRNA-Phe-GAA		
fig|2005473.94.peg.5	NODE_1_length_204107_cov_113.751_3190+2991	CDS	hypothetical protein		2a7a494c482efefd295c71ecebd216ff
fig|2005473.94.peg.6	NODE_1_length_204107_cov_113.751_6204+1005	CDS	Putative ion-channel protein		40deb4187e907bc65b1b0add9c5da58d
fig|2005473.94.peg.7	NODE_1_length_204107_cov_113.751_7478+156	CDS	hypothetical protein		2048c60717979ce59571ce78b85beec4
fig|2005473.94.peg.8	NODE_1_length_204107_cov_113.751_7834-120	CDS	hypothetical protein		20b6d32cd7a146bbed5f371a331a6412
fig|2005473.94.peg.9	NODE_1_length_204107_cov_113.751_7855+123	CDS	hypothetical protein		2576ad21ca97dfda6ca4320b551d8ef6
fig|2005473.94.peg.10	NODE_1_length_204107_cov_113.751_9553-1440	CDS	hypothetical protein		513514508607cdbe7a8daa98381d8bf8
fig|2005473.94.peg.11	NODE_1_length_204107_cov_113.751_9736+1977	CDS	Kup system potassium uptake protein		97e079854e88aed13bc9a0ab17ae6e3b
fig|2005473.94.peg.12	NODE_1_length_204107_cov_113.751_13576-1851	CDS	hypothetical protein		683f91c220435c868be3399704b9e32d
fig|2005473.94.peg.13	NODE_1_length_204107_cov_113.751_16286-2694	CDS	DNA/RNA helicases, SNF2 family		25b1ede624a35e3a383723403f001add
fig|2005473.94.peg.14	NODE_1_length_204107_cov_113.751_16670+1788	CDS	Translation elongation factor LepA		6763868e5fbafe01360f5d8ef9f748e4
fig|2005473.94.peg.15	NODE_1_length_204107_cov_113.751_18486+1056	CDS	Glycerate kinase (EC 2.7.1.31)		9c05bfaefa80818ad15833557e4abe44
fig|2005473.94.peg.16	NODE_1_length_204107_cov_113.751_19942-372	CDS	hypothetical protein		cd82231c4b6695f7d7805fea483ed85b
fig|2005473.94.peg.17	NODE_1_length_204107_cov_113.751_20172+1398	CDS	Na+/H+ antiporter NhaA type		68e493f2eda367df0aba531220aa214a
fig|2005473.94.peg.18	NODE_1_length_204107_cov_113.751_22418-774	CDS	hypothetical protein		90d09ababc7b24b9112d856105d0dae4
fig|2005473.94.peg.19	NODE_1_length_204107_cov_113.751_22626+2964	CDS	beta-glucosidase (EC 3.2.1.21)		e39170939f9405b9a5ffbad558093d72
fig|2005473.94.peg.20	NODE_1_length_204107_cov_113.751_26048+3093	CDS	Outer membrane TonB-dependent transporter, utilization system for glycans and polysaccharides (PUL), SusC family		2bff62c5e2c3d811b78a0a8717a63423
fig|2005473.94.peg.21	NODE_1_length_204107_cov_113.751_29164+1563	CDS	Cell surface glycan-binding lipoprotein, utilization system for glycans and polysaccharides (PUL), SusD family		59f37a806f4e991b9ac3e38d993d6e67
fig|2005473.94.peg.22	NODE_1_length_204107_cov_113.751_30768+960	CDS	glycosyl hydrolase		6b8373a23922875fcbf5dd034762032f
fig|2005473.94.peg.23	NODE_1_length_204107_cov_113.751_31752+1236	CDS	hypothetical protein		c4091c215ff37fd68a5665e17a1de0de
fig|2005473.94.peg.24	NODE_1_length_204107_cov_113.751_33013+1023	CDS	hypothetical protein		013ce9b59b9ea213f03c1a58daaf9e74
fig|2005473.94.peg.25	NODE_1_length_204107_cov_113.751_34167+783	CDS	hypothetical protein		9074a7ba02a43fd5865c2a3ff9c0ea05
fig|2005473.94.peg.26	NODE_1_length_204107_cov_113.751_35267+402	CDS	hypothetical protein		9ba4b82fd68a756f48e2f9924b048bed
fig|2005473.94.peg.27	NODE_1_length_204107_cov_113.751_35715+1119	CDS	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake		bc87cf723cc6c007e796ff6ce006ab7f
fig|2005473.94.peg.28	NODE_1_length_204107_cov_113.751_36919+879	CDS	Purine nucleoside phosphorylase (EC 2.4.2.1)		cbf282d11f941adcc6a5be111434c883
fig|2005473.94.peg.29	NODE_1_length_204107_cov_113.751_38967-1083	CDS	Lipopolysaccharide export system permease protein LptG		88b25b3af78be8a2d6dc867343a8054d
fig|2005473.94.peg.30	NODE_1_length_204107_cov_113.751_40116-1131	CDS	Queuine tRNA-ribosyltransferase (EC 2.4.2.29)		69e73b71356acb2eaf1ab3a83cebc698
fig|2005473.94.peg.31	NODE_1_length_204107_cov_113.751_45142-4881	CDS	hypothetical protein		ad8e8ba989f560e461241a4813771481
fig|2005473.94.peg.32	NODE_1_length_204107_cov_113.751_47662-2388	CDS	hypothetical protein		ffc295595427a980d17e3d734916fa84
fig|2005473.94.peg.33	NODE_1_length_204107_cov_113.751_50457-2775	CDS	DNA polymerase I (EC 2.7.7.7)		f00445bb912b3184a3b581072e1705bb
fig|2005473.94.peg.34	NODE_1_length_204107_cov_113.751_50552+978	CDS	Undecaprenyl diphosphate synthase, for quinones (EC 2.5.1.31) @ Decaprenyl diphosphate synthase (EC 2.5.1.91)		a787acb4e1f42fb2ffb097fe06b20cf5
fig|2005473.94.peg.35	NODE_1_length_204107_cov_113.751_52108-543	CDS	hypothetical protein		017d6824b92caa95c5f6a175d5325dd4
fig|2005473.94.peg.36	NODE_1_length_204107_cov_113.751_52812-708	CDS	Repair of Iron Centers di-iron protein		0aaae57012fe989530def273dc9a5212
fig|2005473.94.peg.37	NODE_1_length_204107_cov_113.751_53422-552	CDS	5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)		89a20a195dec136e30f97733e0fd2c7a
fig|2005473.94.peg.38	NODE_1_length_204107_cov_113.751_55101-1665	CDS	Carboxy-terminal processing protease		ae4903f25949b46ec8c36765034caed8
fig|2005473.94.peg.39	NODE_1_length_204107_cov_113.751_55647-435	CDS	dCMP deaminase (EC 3.5.4.12)		c9ca238bdc18f0fa7ea8632a869f0e10
fig|2005473.94.peg.40	NODE_1_length_204107_cov_113.751_57736-1590	CDS	hypothetical protein		6b3162dc0045517f5dc1e13de0345b85
fig|2005473.94.peg.41	NODE_1_length_204107_cov_113.751_58302+930	CDS	Putative sodium-dependent transporter		5af339059e6cbc09cc0c13312eb02b19
fig|2005473.94.peg.42	NODE_1_length_204107_cov_113.751_59291+687	CDS	hypothetical protein		5583ee35926703919dfe8c6f8cc9a9e1
fig|2005473.94.peg.43	NODE_1_length_204107_cov_113.751_61461-1380	CDS	tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)		ee63b08a6dd415147133395407fe3787
