Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
fig|2005473.95.peg.54	ANU62396.1|GH13_38	99.8	570	1	0	1	570	1	570	0.0e+00	1221.5
fig|2005473.95.peg.63	QQR07873.1|GH16_3	98.9	265	3	0	1	265	1	265	3.3e-160	568.5
fig|2005473.95.peg.72	201643|Melli1_GeneCatalog_proteins_20150227.aa.fasta|GT1	43.8	591	309	9	5	577	1316	1901	1.2e-120	438.3
fig|2005473.95.peg.74	QCW79542.1|GH101	55.0	458	206	0	59	516	611	1068	2.8e-147	526.6
fig|2005473.95.peg.91	ASB37155.1|GH95	97.2	1242	35	0	1	1242	1	1242	0.0e+00	2463.0
fig|2005473.95.peg.109	AMJ18631.1|GT2	48.9	1179	573	14	9	1174	3	1165	0.0e+00	1075.8
fig|2005473.95.peg.120	ANU62339.2|GH85	99.1	1008	9	0	1	1008	1	1008	0.0e+00	2040.0
fig|2005473.95.peg.162	ANU63796.1|GH13_14	99.3	673	5	0	1	673	1	673	0.0e+00	1370.5
fig|2005473.95.peg.182	ASB38137.1|GH20	99.1	782	7	0	1	782	1	782	0.0e+00	1599.3
fig|2005473.95.peg.184	QQR08879.1|GH130_2	100.0	318	0	0	1	318	1	318	6.3e-198	694.1
fig|2005473.95.peg.185	QQR10467.1|GH92	99.6	741	3	0	2	742	1	741	0.0e+00	1541.6
fig|2005473.95.peg.189	ANU63773.1|GH18	100.0	361	0	0	1	361	1	361	2.5e-219	765.4
fig|2005473.95.peg.193	QQR08886.1|GH3	98.3	779	13	0	1	779	1	779	0.0e+00	1542.7
fig|2005473.95.peg.211	ANU63756.1|CE11	99.6	460	2	0	1	460	1	460	1.4e-267	926.0
fig|2005473.95.peg.231	QQR08922.1|CBM35	99.6	897	4	0	1	897	1	897	0.0e+00	1823.1
fig|2005473.95.peg.240	QBQ55251.1|CBM50	33.2	903	525	17	14	891	40	889	3.8e-107	394.0
fig|2005473.95.peg.274	QQR08704.1|CBM48|GH13_8	99.4	676	4	0	1	676	1	676	0.0e+00	1437.2
fig|2005473.95.peg.309	ASB37997.1|GH23	100.0	462	0	0	1	462	1	462	2.1e-258	895.6
fig|2005473.95.peg.440	332452|Pyrom1_GeneCatalog_proteins_20181022.aa.fasta|CBM48|GH13_8	63.9	499	153	5	2	500	762	1233	9.3e-172	607.8
fig|2005473.95.peg.480	ANU64128.2|GH171	99.8	401	1	0	1	401	1	401	1.2e-233	813.1
fig|2005473.95.peg.482	QIW86704.1|GH23	24.9	2076	1052	56	10	1997	1633	3288	7.1e-138	497.3
fig|2005473.95.peg.514	CAE6110940.1|CE8	44.1	540	278	10	34	565	264	787	2.3e-118	430.6
fig|2005473.95.peg.520	ANU63086.1|GH13_28	98.7	478	6	0	1	478	1	478	5.8e-288	993.8
fig|2005473.95.peg.531	2074615|Phoaln1_GeneCatalog_proteins_20160826.aa.fasta|GT1	33.5	1251	679	34	35	1206	53	1229	1.4e-157	562.0
fig|2005473.95.peg.536	ASB38823.1|GH92	99.9	761	1	0	1	761	1	761	0.0e+00	1592.8
fig|2005473.95.peg.537	ANU63101.2|GH92	99.7	740	2	0	1	740	1	740	0.0e+00	1560.8
fig|2005473.95.peg.538	ANU63102.1|CE8|PL1_2	98.5	1294	20	0	1	1294	1	1294	0.0e+00	2603.5
fig|2005473.95.peg.543	QCP72861.1|GH16_3	71.7	272	76	1	8	278	8	279	2.9e-114	416.0
fig|2005473.95.peg.547	QCD39173.1|GH3	85.8	768	109	0	6	773	1	768	0.0e+00	1394.8
fig|2005473.95.peg.550	QQR09553.1|GT2	98.7	318	4	0	1	318	1	318	1.1e-181	640.2
fig|2005473.95.peg.555	ASB38811.1|GT2	99.2	245	2	0	1	245	1	245	1.1e-136	490.3
fig|2005473.95.peg.582	ANU63183.1|GT2	98.4	254	4	0	1	254	1	254	8.4e-145	517.3
fig|2005473.95.peg.583	ANU64759.1|GT4	94.4	409	22	1	1	409	1	408	1.9e-231	805.8
fig|2005473.95.peg.584	QCD43034.1|GT4	52.1	363	170	3	1	362	1	360	1.0e-114	417.9
fig|2005473.95.peg.592	CAI32746.1|GT4	52.7	433	164	5	6	438	3	394	8.6e-121	438.3
fig|2005473.95.peg.599	QQR09491.1|GH43_2	98.3	348	6	0	1	348	1	348	9.0e-214	746.9
fig|2005473.95.peg.620	QQR09511.1|GH23	98.1	309	6	0	1	309	13	321	6.6e-176	620.9
fig|2005473.95.peg.652	ANU63126.1|GT2	99.6	269	1	0	1	269	1	269	4.4e-152	541.6
fig|2005473.95.peg.653	ANU63125.1|GT11	99.3	290	2	0	1	290	1	290	1.7e-173	612.8
fig|2005473.95.peg.654	ANU63124.1|GT6	99.6	264	1	0	1	264	1	264	4.6e-154	548.1
fig|2005473.95.peg.673	ASB37319.1|GH2	99.5	1034	5	0	1	1034	1	1034	0.0e+00	2179.8
fig|2005473.95.peg.674	UEG51675.1|CBM92	54.7	492	212	9	34	521	47	531	7.0e-154	548.5
fig|2005473.95.peg.695	QQR08040.1|PL1_2	55.9	706	284	13	1	691	7	700	1.1e-215	754.2
fig|2005473.95.peg.696	QQR08040.1|PL1_2	98.3	700	12	0	1	700	1	700	0.0e+00	1438.7
fig|2005473.95.peg.697	ANU64595.1|CE8	99.4	1159	7	0	1	1159	1	1159	0.0e+00	2159.8
fig|2005473.95.peg.698	ASB37301.1|GH3	99.3	854	6	0	1	854	1	854	0.0e+00	1748.8
fig|2005473.95.peg.699	ANU64597.1|CBM91|GH43_12	99.3	565	4	0	1	565	1	565	0.0e+00	1197.2
fig|2005473.95.peg.723	QQR08408.1|GT4	99.7	367	1	0	1	367	1	367	6.1e-213	744.2
fig|2005473.95.peg.758	ASB37703.1|GH2	99.6	835	3	0	1	835	1	835	0.0e+00	1741.5
fig|2005473.95.peg.777	ASB39072.1|GH16_3	100.0	256	0	0	15	270	1	256	1.7e-156	556.2
fig|2005473.95.peg.785	QGN28876.1|GT119	45.8	480	239	7	30	501	237	703	3.1e-110	403.7
fig|2005473.95.peg.799	ANU64387.1|GT4	98.8	402	5	0	1	402	1	402	5.1e-237	824.3
fig|2005473.95.peg.815	ANU64404.1|GH13_48	99.6	481	2	0	1	481	1	481	2.8e-290	1001.5
fig|2005473.95.peg.816	QQR08228.1|GH97	98.8	665	8	0	1	665	1	665	0.0e+00	1364.4
fig|2005473.95.peg.820	ANU64408.1|GT9	99.2	353	3	0	1	353	1	353	6.5e-204	714.1
fig|2005473.95.peg.824	ANU64412.1|GT4	98.3	363	6	0	1	363	1	363	1.2e-205	719.9
fig|2005473.95.peg.828	ASB37485.1|GH18	99.6	487	2	0	1	487	1	487	6.7e-284	980.3
fig|2005473.95.peg.834	ANU64421.1|CBM48|CBM98|GH13_47	98.6	759	11	0	1	759	1	759	0.0e+00	1541.2
fig|2005473.95.peg.865	QCD43617.1|GT4	61.5	387	148	1	10	396	9	394	5.9e-137	491.9
fig|2005473.95.peg.896	QCD34777.1|GH0	98.0	200	4	0	1	200	1	200	7.7e-109	397.5
fig|2005473.95.peg.934	ASV45029.1|GH23	24.4	2052	1056	49	10	1981	1565	3200	5.0e-139	501.1
fig|2005473.95.peg.957	ASB36752.1|GT2	98.8	255	3	0	1	255	1	255	4.2e-144	515.0
