locus_tag	ftype	length_bp	gene	EC_number	COG	product
ALLENOCK_00001	CDS	3189	bepE_1			Efflux pump membrane transporter BepE
ALLENOCK_00002	CDS	813		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
ALLENOCK_00003	CDS	990				hypothetical protein
ALLENOCK_00004	CDS	981				hypothetical protein
ALLENOCK_00005	CDS	1755	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
ALLENOCK_00006	CDS	1311	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
ALLENOCK_00007	CDS	1092	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
ALLENOCK_00008	CDS	984				hypothetical protein
ALLENOCK_00009	CDS	1281	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
ALLENOCK_00010	CDS	1674	rlmL	2.1.1.264		Ribosomal RNA large subunit methyltransferase K/L
ALLENOCK_00011	CDS	924	lpxD_1	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
ALLENOCK_00012	CDS	909	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
ALLENOCK_00013	CDS	780				hypothetical protein
ALLENOCK_00014	CDS	1317				hypothetical protein
ALLENOCK_00015	CDS	396			COG0537	putative HIT-like protein
ALLENOCK_00016	CDS	456	greA		COG0782	Transcription elongation factor GreA
ALLENOCK_00017	CDS	1476				hypothetical protein
ALLENOCK_00018	CDS	4317				hypothetical protein
ALLENOCK_00019	CDS	2508		3.2.1.23	COG3250	Beta-galactosidase BoGH2A
ALLENOCK_00020	CDS	1650				hypothetical protein
ALLENOCK_00021	CDS	1920				hypothetical protein
ALLENOCK_00022	CDS	3222				TonB-dependent receptor P3
ALLENOCK_00023	CDS	1758				hypothetical protein
ALLENOCK_00024	CDS	897				hypothetical protein
ALLENOCK_00025	CDS	3276	rhaR_1			HTH-type transcriptional activator RhaR
ALLENOCK_00026	CDS	1287	metK	2.5.1.6		S-adenosylmethionine synthase
ALLENOCK_00027	CDS	2880	secD			Protein translocase subunit SecD
ALLENOCK_00028	CDS	2616	mutS_1		COG0249	DNA mismatch repair protein MutS
ALLENOCK_00029	CDS	1503		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
ALLENOCK_00030	tRNA	77				tRNA-Ala(ggc)
ALLENOCK_00031	CDS	312				hypothetical protein
ALLENOCK_00032	CDS	1401				hypothetical protein
ALLENOCK_00033	CDS	105				hypothetical protein
ALLENOCK_00034	CDS	372				hypothetical protein
