HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH29.hmm	346	fig|2005473.98.peg.1006	440	2.4e-101	31	345	25	353	0.907514450867
CE11.hmm	271	fig|2005473.98.peg.1043	460	1.1e-71	1	221	3	224	0.811808118081
GT5.hmm	472	fig|2005473.98.peg.1059	273	2.5e-40	1	215	5	231	0.453389830508
GH92.hmm	491	fig|2005473.98.peg.1115	741	4.8e-185	5	490	243	734	0.987780040733
GH20.hmm	337	fig|2005473.98.peg.1140	676	2.5e-117	7	337	136	485	0.979228486647
GT2.hmm	170	fig|2005473.98.peg.1190	347	5.9e-32	1	119	16	137	0.694117647059
GT2.hmm	170	fig|2005473.98.peg.1191	239	6.8e-23	1	123	5	123	0.717647058824
GH2.hmm	752	fig|2005473.98.peg.1216	879	1.5e-99	19	480	30	597	0.613031914894
GH2.hmm	752	fig|2005473.98.peg.1226	1183	1.1e-196	21	750	215	1065	0.969414893617
GH20.hmm	337	fig|2005473.98.peg.1241	669	1.4e-55	9	335	138	410	0.967359050445
GT2.hmm	170	fig|2005473.98.peg.1265	337	5.8e-23	1	133	10	148	0.776470588235
GH110.hmm	548	fig|2005473.98.peg.1289	595	3.7e-191	2	546	42	583	0.992700729927
GT119.hmm	360	fig|2005473.98.peg.13	425	1.5e-51	1	358	36	395	0.991666666667
GH188.hmm	259	fig|2005473.98.peg.1305	394	2.8e-26	2	202	7	210	0.772200772201
CBM48.hmm	76	fig|2005473.98.peg.1307	705	1e-15	3	72	55	140	0.907894736842
GH13_8.hmm	320	fig|2005473.98.peg.1307	705	2.5e-163	3	320	199	518	0.990625
GT2.hmm	170	fig|2005473.98.peg.1329	248	6.1e-31	2	163	6	167	0.947058823529
GH23.hmm	135	fig|2005473.98.peg.1368	562	1.2e-25	8	118	126	253	0.814814814815
GT28.hmm	157	fig|2005473.98.peg.14	367	1.6e-48	2	153	197	350	0.96178343949
GH89.hmm	663	fig|2005473.98.peg.1438	684	5.7e-224	2	639	56	678	0.960784313725
GH3.hmm	216	fig|2005473.98.peg.1443	996	1.4e-61	4	215	111	335	0.976851851852
GH23.hmm	135	fig|2005473.98.peg.1452	465	9.2e-23	14	125	304	460	0.822222222222
GH130_1.hmm	313	fig|2005473.98.peg.1490	389	1.2e-170	1	313	49	359	0.996805111821
GH26.hmm	303	fig|2005473.98.peg.1491	370	5.4e-51	9	274	35	309	0.874587458746
GH5_7.hmm	289	fig|2005473.98.peg.1492	430	9.8e-89	2	289	70	379	0.993079584775
GH92.hmm	491	fig|2005473.98.peg.1519	755	9.5e-178	2	490	261	752	0.993890020367
GH92.hmm	491	fig|2005473.98.peg.1520	706	1.8e-158	6	488	235	705	0.9816700611
GH84.hmm	295	fig|2005473.98.peg.1523	848	1.3e-104	1	294	176	470	0.993220338983
CBM32.hmm	124	fig|2005473.98.peg.1523	848	2e-16	17	117	628	734	0.806451612903
GH109.hmm	399	fig|2005473.98.peg.1570	467	2.9e-166	3	398	51	454	0.989974937343
GH20.hmm	337	fig|2005473.98.peg.1598	513	7.6e-99	14	336	132	466	0.955489614243
GH29.hmm	346	fig|2005473.98.peg.1599	594	8e-86	28	340	47	378	0.901734104046
GT2.hmm	170	fig|2005473.98.peg.1645	336	2.1e-28	1	119	9	124	0.694117647059
GT2.hmm	170	fig|2005473.98.peg.168	320	1.1e-26	1	132	7	139	0.770588235294
CE4.hmm	130	fig|2005473.98.peg.1715	197	2.8e-25	5	118	15	124	0.869230769231
GT117.hmm	245	fig|2005473.98.peg.1716	1150	1.1e-38	2	207	16	240	0.836734693878
GH57.hmm	383	fig|2005473.98.peg.1718	474	2e-64	2	311	6	322	0.806788511749
GT4.hmm	160	fig|2005473.98.peg.1719	418	3.8e-35	5	155	235	382	0.9375
GH133.hmm	372	fig|2005473.98.peg.1720	647	8.1e-83	6	372	285	637	0.983870967742
GH130_2.hmm	300	fig|2005473.98.peg.1730	323	6.9e-159	1	300	14	318	0.996666666667
CE1.hmm	227	fig|2005473.98.peg.1745	280	1.2e-52	5	222	42	272	0.955947136564
GH125.hmm	402	fig|2005473.98.peg.1759	476	4.4e-181	2	402	61	462	0.995024875622
GH31_18.hmm	242	fig|2005473.98.peg.1779	1283	2e-112	14	242	445	672	0.942148760331
CE20.hmm	249	fig|2005473.98.peg.1784	1033	6.3e-75	3	249	303	582	0.987951807229
CE1.hmm	227	fig|2005473.98.peg.1852	698	8.1e-20	7	208	442	673	0.885462555066
GH2.hmm	752	fig|2005473.98.peg.1871	1341	6.2e-206	21	751	69	1003	0.970744680851
CBM32.hmm	124	fig|2005473.98.peg.1871	1341	8.6e-24	10	122	1212	1336	0.903225806452
GH16_3.hmm	230	fig|2005473.98.peg.1895	268	8.9e-54	1	230	35	264	0.995652173913
GH110.hmm	548	fig|2005473.98.peg.1947	590	8.4e-198	1	548	13	577	0.998175182482
GH188.hmm	259	fig|2005473.98.peg.1982	336	3.1e-18	2	190	23	212	0.725868725869
GT2.hmm	170	fig|2005473.98.peg.1985	756	1.9e-34	1	129	512	640	0.752941176471
CBM20.hmm	90	fig|2005473.98.peg.1991	887	1.9e-16	3	88	3	87	0.944444444444
CBM20.hmm	90	fig|2005473.98.peg.1991	887	1.9e-17	8	82	136	208	0.822222222222
GH77.hmm	494	fig|2005473.98.peg.1991	887	8.3e-146	1	487	239	880	0.983805668016
GT51.hmm	177	fig|2005473.98.peg.1992	793	2.7e-60	2	177	69	251	0.988700564972
GH20.hmm	337	fig|2005473.98.peg.200	771	1.3e-123	8	336	154	509	0.973293768546
GT2.hmm	170	fig|2005473.98.peg.2054	253	6.9e-34	1	111	2	111	0.647058823529
GT2.hmm	170	fig|2005473.98.peg.2056	230	6.8e-16	33	158	3	128	0.735294117647
GT122.hmm	327	fig|2005473.98.peg.2057	362	2.9e-27	3	316	33	335	0.957186544343
GT2.hmm	170	fig|2005473.98.peg.2076	252	7.1e-21	1	144	6	141	0.841176470588
GT3.hmm	637	fig|2005473.98.peg.2078	551	1.6e-114	1	351	12	354	0.549450549451
GT35.hmm	674	fig|2005473.98.peg.2079	851	2.9e-127	20	561	124	640	0.802670623145
GT2.hmm	170	fig|2005473.98.peg.2123	278	1.5e-27	1	131	6	138	0.764705882353
GT32.hmm	90	fig|2005473.98.peg.2124	229	2.6e-21	3	88	20	96	0.944444444444
GT122.hmm	327	fig|2005473.98.peg.2125	370	3.9e-40	2	319	31	346	0.969418960245
GT2.hmm	170	fig|2005473.98.peg.2127	300	9.4e-27	1	104	6	108	0.605882352941
GH25.hmm	177	fig|2005473.98.peg.2142	248	4.9e-43	2	177	55	223	0.988700564972
GH73.hmm	128	fig|2005473.98.peg.2157	206	4.2e-18	5	124	106	204	0.9296875
GT2.hmm	170	fig|2005473.98.peg.2187	78	3.7e-19	1	78	5	78	0.452941176471
GT4.hmm	160	fig|2005473.98.peg.2188	411	8.2e-22	6	155	238	382	0.93125
GH20.hmm	337	fig|2005473.98.peg.263	743	6.6e-90	8	336	254	641	0.973293768546
GH20.hmm	337	fig|2005473.98.peg.279	732	1.1e-102	14	336	159	505	0.955489614243
GH73.hmm	128	fig|2005473.98.peg.30	231	2.2e-18	2	126	94	221	0.96875
GT2.hmm	170	fig|2005473.98.peg.324	253	3.9e-18	1	100	5	94	0.582352941176
GT4.hmm	160	fig|2005473.98.peg.369	413	2.8e-16	11	154	241	384	0.89375
GH171.hmm	355	fig|2005473.98.peg.378	388	2.7e-108	1	355	42	385	0.997183098592
GH20.hmm	337	fig|2005473.98.peg.38	662	2.2e-62	9	335	152	480	0.967359050445
GH2.hmm	752	fig|2005473.98.peg.399	1029	1.4e-220	16	749	49	902	0.974734042553
GT32.hmm	90	fig|2005473.98.peg.468	305	5e-18	1	87	87	167	0.955555555556
GT14.hmm	250	fig|2005473.98.peg.469	296	2.8e-55	2	237	5	251	0.94
GH20.hmm	337	fig|2005473.98.peg.508	548	2.1e-113	8	337	145	504	0.976261127596
GH23.hmm	135	fig|2005473.98.peg.511	310	7.6e-23	2	130	80	221	0.948148148148
GH20.hmm	337	fig|2005473.98.peg.583	528	1e-98	8	336	145	492	0.973293768546
GT4.hmm	160	fig|2005473.98.peg.591	364	1e-24	7	153	192	334	0.9125
GT128.hmm	149	fig|2005473.98.peg.593	418	3.5e-41	2	148	176	332	0.979865771812
GT32.hmm	90	fig|2005473.98.peg.595	257	2.1e-21	3	88	23	99	0.944444444444
GH13_38.hmm	371	fig|2005473.98.peg.623	580	4.1e-168	1	370	33	396	0.99460916442
GT2.hmm	170	fig|2005473.98.peg.736	319	1.2e-33	1	168	4	167	0.982352941176
