HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2.hmm	170	fig|2005473.91.peg.10	323	4.4e-30	1	110	5	116	0.641176470588
GH2.hmm	752	fig|2005473.91.peg.1131	1041	7.8e-212	21	751	57	924	0.970744680851
GH76.hmm	358	fig|2005473.91.peg.1133	405	1.8e-71	39	333	72	377	0.821229050279
GH51_1.hmm	472	fig|2005473.91.peg.1145	513	3.1e-172	4	471	28	511	0.989406779661
GH51_2.hmm	435	fig|2005473.91.peg.1146	658	3.5e-179	2	434	197	656	0.993103448276
GH2.hmm	752	fig|2005473.91.peg.1167	1030	7.4e-210	22	751	62	908	0.969414893617
GH63.hmm	570	fig|2005473.91.peg.1168	653	2.9e-106	283	568	225	633	0.5
GH127.hmm	524	fig|2005473.91.peg.1216	674	1.3e-31	246	522	261	537	0.526717557252
GH73.hmm	128	fig|2005473.91.peg.1222	296	3.6e-37	3	128	36	163	0.9765625
GH36.hmm	688	fig|2005473.91.peg.1310	744	4.6e-213	2	687	35	719	0.995639534884
CE20.hmm	249	fig|2005473.91.peg.1311	478	1.6e-86	4	248	103	360	0.979919678715
GH2.hmm	752	fig|2005473.91.peg.1312	612	4e-97	25	490	36	599	0.61835106383
GH110.hmm	548	fig|2005473.91.peg.1313	603	2.6e-204	2	548	23	591	0.996350364964
GH27.hmm	229	fig|2005473.91.peg.1314	539	2.9e-67	6	228	267	501	0.96943231441
GT2.hmm	170	fig|2005473.91.peg.1332	328	9.8e-37	1	132	3	132	0.770588235294
GT3.hmm	637	fig|2005473.91.peg.1451	554	6.1e-111	1	354	17	359	0.554160125589
GT35.hmm	674	fig|2005473.91.peg.1452	855	2.3e-113	177	651	249	751	0.703264094955
GH43_24.hmm	246	fig|2005473.91.peg.1493	777	1e-92	4	246	50	333	0.983739837398
PL42.hmm	296	fig|2005473.91.peg.1493	777	1.8e-118	1	296	381	673	0.996621621622
GH105.hmm	332	fig|2005473.91.peg.1496	778	6.5e-81	8	332	55	379	0.975903614458
GH154.hmm	348	fig|2005473.91.peg.1496	778	5.5e-105	1	347	388	749	0.994252873563
GH43_29.hmm	278	fig|2005473.91.peg.1519	444	2.7e-113	1	278	25	298	0.996402877698
CBM6.hmm	138	fig|2005473.91.peg.1519	444	2.1e-23	15	137	319	444	0.884057971014
GH24.hmm	137	fig|2005473.91.peg.1524	180	3.1e-17	3	137	52	173	0.978102189781
GT19.hmm	354	fig|2005473.91.peg.1533	465	1.4e-114	2	352	33	388	0.988700564972
GH78.hmm	504	fig|2005473.91.peg.1553	998	1.3e-148	3	496	443	973	0.978174603175
GH51_2.hmm	435	fig|2005473.91.peg.1561	839	1.2e-145	2	434	235	836	0.993103448276
GH31.hmm	427	fig|2005473.91.peg.1593	805	1.3e-128	1	427	221	661	0.997658079625
GH20.hmm	337	fig|2005473.91.peg.1621	737	8.8e-85	8	336	254	637	0.973293768546
GH13_48.hmm	283	fig|2005473.91.peg.1623	475	2.3e-116	2	282	62	356	0.989399293286
GH51_2.hmm	435	fig|2005473.91.peg.1628	667	5.2e-155	2	434	216	665	0.993103448276
GH43_10.hmm	271	fig|2005473.91.peg.1629	574	2.5e-93	1	271	27	302	0.9963099631
CBM91.hmm	200	fig|2005473.91.peg.1629	574	2.5e-31	13	198	373	573	0.925
GT2.hmm	170	fig|2005473.91.peg.1651	439	1.2e-28	5	130	80	205	0.735294117647
GT2.hmm	170	fig|2005473.91.peg.1677	276	1.6e-35	1	124	18	140	0.723529411765
GH16_3.hmm	230	fig|2005473.91.peg.1679	280	4.2e-45	1	230	48	275	0.995652173913
GT4.hmm	160	fig|2005473.91.peg.1681	355	1.1e-21	3	153	169	321	0.9375
GT2.hmm	170	fig|2005473.91.peg.1682	342	4e-28	1	168	6	172	0.982352941176
GT2.hmm	170	fig|2005473.91.peg.1684	303	4.2e-21	1	166	9	172	0.970588235294
CE4.hmm	130	fig|2005473.91.peg.1698	209	1.1e-25	7	120	27	136	0.869230769231
GT117.hmm	245	fig|2005473.91.peg.1699	1328	5.5e-40	1	203	17	237	0.824489795918
GH13_14.hmm	289	fig|2005473.91.peg.1703	677	3.1e-116	1	289	206	530	0.996539792388
GH3.hmm	216	fig|2005473.91.peg.1804	779	8.8e-68	5	215	119	346	0.972222222222
GH127.hmm	524	fig|2005473.91.peg.1844	817	2.3e-212	1	524	43	575	0.998091603053
GH97.hmm	631	fig|2005473.91.peg.1845	692	5.7e-189	4	630	47	690	0.992076069731
GH43_34.hmm	280	fig|2005473.91.peg.1846	785	5.9e-84	1	279	16	289	0.992857142857
CBM32.hmm	124	fig|2005473.91.peg.1846	785	1.4e-21	6	115	319	430	0.879032258065
GH127.hmm	524	fig|2005473.91.peg.1847	804	1.5e-210	1	524	40	572	0.998091603053
GH97.hmm	631	fig|2005473.91.peg.1866	646	1.6e-172	5	628	12	644	0.987321711569
GH115.hmm	697	fig|2005473.91.peg.1915	861	5.8e-272	4	697	39	838	0.994261119082
GH25.hmm	177	fig|2005473.91.peg.2048	259	1.3e-43	1	177	52	221	0.994350282486
GH3.hmm	216	fig|2005473.91.peg.2059	871	2.8e-72	2	215	54	310	0.986111111111
GH16_3.hmm	230	fig|2005473.91.peg.2080	544	4.5e-46	3	230	200	460	0.986956521739
GH29.hmm	346	fig|2005473.91.peg.2289	577	1.5e-77	15	346	49	461	0.956647398844
GH115.hmm	697	fig|2005473.91.peg.2297	1026	1.3e-223	8	696	43	820	0.987087517934
GH43_35.hmm	305	fig|2005473.91.peg.2323	531	7.4e-113	1	303	24	342	0.990163934426
CE19.hmm	332	fig|2005473.91.peg.2328	346	6.1e-18	44	193	34	176	0.448795180723
CE1.hmm	227	fig|2005473.91.peg.2340	337	1.4e-19	1	202	86	269	0.885462555066
CE1.hmm	227	fig|2005473.91.peg.2380	224	2.3e-35	58	222	1	220	0.722466960352
GT2.hmm	170	fig|2005473.91.peg.2385	503	2.7e-21	1	123	21	138	0.717647058824
CE1.hmm	227	fig|2005473.91.peg.2429	380	2.3e-16	7	143	39	222	0.599118942731
GT2.hmm	170	fig|2005473.91.peg.2494	311	2.1e-20	2	126	11	139	0.729411764706
GT4.hmm	160	fig|2005473.91.peg.2495	385	3.7e-23	20	150	219	346	0.8125
GT122.hmm	327	fig|2005473.91.peg.2497	345	2.2e-26	2	323	10	313	0.981651376147
GT4.hmm	160	fig|2005473.91.peg.2499	378	5.1e-31	10	160	193	345	0.9375
GH31_4.hmm	435	fig|2005473.91.peg.250	772	2.8e-166	1	435	194	674	0.997701149425
GH43_12.hmm	281	fig|2005473.91.peg.251	554	1.1e-109	2	281	58	353	0.992882562278
CBM91.hmm	200	fig|2005473.91.peg.251	554	1.8e-35	15	181	382	553	0.83
GT2.hmm	170	fig|2005473.91.peg.2511	330	7.9e-19	2	129	6	130	0.747058823529
GH97.hmm	631	fig|2005473.91.peg.253	584	2.3e-129	70	630	65	582	0.887480190174
GH32.hmm	293	fig|2005473.91.peg.2539	788	6.4e-61	1	293	264	568	0.996587030717
GH95.hmm	722	fig|2005473.91.peg.254	814	1.4e-288	7	713	23	751	0.97783933518
GH43_10.hmm	271	fig|2005473.91.peg.255	545	1.1e-103	2	271	34	300	0.992619926199
CBM91.hmm	200	fig|2005473.91.peg.255	545	7.5e-29	4	199	327	533	0.975
GH89.hmm	663	fig|2005473.91.peg.2566	737	3e-251	2	661	47	730	0.993966817496
GH67.hmm	669	fig|2005473.91.peg.2603	690	2.5e-264	80	665	78	657	0.874439461883
GH10.hmm	303	fig|2005473.91.peg.261	564	5.7e-22	96	300	328	554	0.673267326733
GH35.hmm	307	fig|2005473.91.peg.2616	568	3.4e-30	2	168	33	208	0.540716612378
GH30_8.hmm	388	fig|2005473.91.peg.262	552	4.7e-97	4	357	135	516	0.909793814433
GH97.hmm	631	fig|2005473.91.peg.263	660	9.1e-160	12	630	22	655	0.9793977813
GH36.hmm	688	fig|2005473.91.peg.2642	731	9.9e-208	2	687	27	714	0.995639534884
GH43_12.hmm	281	fig|2005473.91.peg.265	580	1.5e-105	2	281	70	366	0.992882562278
CBM91.hmm	200	fig|2005473.91.peg.265	580	2.5e-48	4	182	397	580	0.89
GH31_4.hmm	435	fig|2005473.91.peg.267	1266	6.7e-163	1	435	472	928	0.997701149425
GH10.hmm	303	fig|2005473.91.peg.269	368	6.7e-101	2	299	27	362	0.980198019802
GH88.hmm	329	fig|2005473.91.peg.2694	256	8.9e-92	99	328	14	253	0.696048632219
GH3.hmm	216	fig|2005473.91.peg.2697	774	3.4e-63	3	214	91	310	0.976851851852
GH30_3.hmm	417	fig|2005473.91.peg.2699	497	2.3e-149	5	417	73	496	0.988009592326
GH43_1.hmm	307	fig|2005473.91.peg.270	329	2.8e-138	5	307	14	319	0.983713355049
GH32.hmm	293	fig|2005473.91.peg.2709	614	2.6e-86	1	289	147	448	0.982935153584
GH32.hmm	293	fig|2005473.91.peg.2711	509	8.4e-100	1	283	62	351	0.962457337884
GH78.hmm	504	fig|2005473.91.peg.2717	859	1.3e-143	5	504	293	839	0.990079365079
GH92.hmm	491	fig|2005473.91.peg.2718	772	3.3e-180	2	491	244	753	0.995926680244
GH76.hmm	358	fig|2005473.91.peg.2720	490	1.8e-40	29	314	78	447	0.796089385475
