Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.91.peg.10	-	GT2(5-116)	-	-	N	1
fig|2005473.91.peg.1131	-	GH2(57-924)	-	-	Y(1-30)	1
fig|2005473.91.peg.1133	-	GH76(72-377)	-	-	Y(1-27)	1
fig|2005473.91.peg.1145	-	GH51_1(28-511)	-	-	Y(1-21)	1
fig|2005473.91.peg.1146	-	GH51_2(197-656)	-	-	Y(1-21)	1
fig|2005473.91.peg.1167	-	GH2(62-908)	-	-	Y(1-20)	1
fig|2005473.91.peg.1168	-	GH63(225-633)	-	-	Y(1-25)	1
fig|2005473.91.peg.1216	-	GH127(261-537)	-	-	Y(1-22)	1
fig|2005473.91.peg.1222	-	GH73(36-163)	-	-	Y(1-24)	1
fig|2005473.91.peg.1310	-	GH36(35-719)	-	-	Y(1-23)	1
fig|2005473.91.peg.1311	-	CE20(103-360)	-	-	Y(1-20)	1
fig|2005473.91.peg.1312	-	GH2(36-599)	-	-	Y(1-24)	1
fig|2005473.91.peg.1313	-	GH110(23-591)	-	-	Y(1-21)	1
fig|2005473.91.peg.1314	-	GH27(267-501)	-	-	Y(1-27)	1
fig|2005473.91.peg.1332	-	GT2(3-132)	-	-	N	1
fig|2005473.91.peg.1451	-	GT3(17-359)	-	-	N	1
fig|2005473.91.peg.1452	-	GT35(249-751)	-	-	N	1
fig|2005473.91.peg.1493	-	GH43_24(50-333)+PL42(381-673)	-	-	Y(1-24)	1
fig|2005473.91.peg.1496	-	GH105(55-379)+GH154(388-749)	-	-	Y(1-57)	1
fig|2005473.91.peg.1519	-	GH43_29(25-298)+CBM6(319-444)	-	-	Y(1-21)	1
fig|2005473.91.peg.1524	-	GH24(52-173)	-	-	N	1
fig|2005473.91.peg.1533	-	GT19(33-388)	-	-	N	1
fig|2005473.91.peg.1553	-	GH78(443-973)	-	-	N	1
fig|2005473.91.peg.1561	-	GH51_2(235-836)	-	-	Y(1-23)	1
fig|2005473.91.peg.1593	-	GH31(221-661)	-	-	N	1
fig|2005473.91.peg.1621	-	GH20(254-637)	-	-	Y(1-20)	1
