Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|2005473.93.peg.1	-	GH43_2(1-209)	-	-	N	1
fig|2005473.93.peg.1012	-	GT2(9-133)	-	-	N	1
fig|2005473.93.peg.1026	-	GH20(154-509)	-	-	Y(1-27)	1
fig|2005473.93.peg.1030	-	GH92(244-751)	-	-	Y(1-26)	1
fig|2005473.93.peg.1036	-	CE19(67-393)	-	-	N	1
fig|2005473.93.peg.1090	-	GH92(231-735)	-	-	Y(1-20)	1
fig|2005473.93.peg.1091	-	GH92(241-733)	-	-	Y(1-20)	1
fig|2005473.93.peg.1093	-	CE8(349-648)+PL1_2(795-998)	-	-	Y(1-24)	1
fig|2005473.93.peg.1098	-	GH16_3(45-276)	-	-	Y(1-27)	1
fig|2005473.93.peg.1102	-	GH3(114-341)	-	-	Y(1-24)	1
fig|2005473.93.peg.1105	-	GT2(4-167)	-	-	N	1
fig|2005473.93.peg.1111	-	GT2(8-172)	-	-	N	1
fig|2005473.93.peg.1121	-	GT2(5-112)	-	-	N	1
fig|2005473.93.peg.1122	-	GT4(163-308)	-	-	N	1
fig|2005473.93.peg.1123	-	GT4(176-321)	-	-	N	1
fig|2005473.93.peg.1126	-	GT26(53-217)	-	-	N	1
fig|2005473.93.peg.1157	-	GH23(99-225)	-	-	Y(1-25)	1
fig|2005473.93.peg.1178	-	GH43_2(29-313)	-	-	N	1
fig|2005473.93.peg.1189	-	GT4(186-338)	-	-	N	1
fig|2005473.93.peg.1191	-	GT2(4-156)	-	-	N	1
fig|2005473.93.peg.12	-	GT4(181-329)	-	-	N	1
fig|2005473.93.peg.1205	-	GH20(147-491)	-	-	N	1
fig|2005473.93.peg.1218	-	GH31_16(210-641)	-	-	N	1
fig|2005473.93.peg.1240	-	PL10_1(61-326)	-	-	Y(1-21)	1
fig|2005473.93.peg.1241	-	GH43_10(40-312)+CBM91(346-541)	-	-	Y(1-23)	1
fig|2005473.93.peg.1242	-	CE8(28-304)	-	-	N	1
fig|2005473.93.peg.1248	-	CE12(415-649)	-	-	Y(1-23)	1
fig|2005473.93.peg.1249	-	GH28(68-439)+GH105(488-850)	-	-	Y(1-22)	1
fig|2005473.93.peg.126	-	GT28(192-349)	-	-	N	1
fig|2005473.93.peg.127	-	GT119(45-423)	-	-	N	1
fig|2005473.93.peg.1275	-	GH77(245-885)	-	-	N	1
