Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|226186.12.peg.1000|BT_0983	-	GH2(43-642)	-	-	N	1
fig|226186.12.peg.1001|BT_0984	-	GH139(2-802)	-	-	Y(1-24)	1
fig|226186.12.peg.1002|BT_0985	-	CE20(107-367)	-	-	Y(1-26)	1
fig|226186.12.peg.1003|BT_0986	-	GH106(362-724)	-	-	Y(1-26)	1
fig|226186.12.peg.1009|BT_0992	-	GH2(40-830)	-	-	Y(1-20)	1
fig|226186.12.peg.1010|BT_0993	-	GH2(52-976)	-	-	Y(1-19)	1
fig|226186.12.peg.1013|BT_0996	-	GH137(20-368)+GH2(371-814)+CBM57(1080-1241)+CBM97(1288-1412)	-	-	Y(1-20)	1
fig|226186.12.peg.1014|BT_0997	-	GH138(1-899)	-	-	Y(1-27)	1
fig|226186.12.peg.1017|BT_1001	-	GH78(186-680)	-	-	N	1
fig|226186.12.peg.1018|BT_1002	-	GH141(21-581)	-	-	Y(1-20)	1
fig|226186.12.peg.1019|BT_1003	-	GH127(44-607)	-	-	Y(1-21)	1
fig|226186.12.peg.1026|BT_1010	-	GH95(29-761)	-	-	Y(1-24)	1
fig|226186.12.peg.1027|BT_1011	-	GH105(49-396)	-	-	Y(1-27)	1
fig|226186.12.peg.1029|BT_1012	-	GH140(1-318)	-	-	N	1
fig|226186.12.peg.1030|BT_1013	-	CBM67(144-329)+GH78(357-887)+GH33(920-1275)	-	-	Y(1-24)	1
fig|226186.12.peg.1034|BT_1017	-	CE19(118-449)	-	-	Y(1-19)	1
fig|226186.12.peg.1035|BT_1018	-	GH28(53-421)	-	-	Y(1-22)	1
fig|226186.12.peg.1036|BT_1019	-	CBM67(200-355)+GH78(395-933)	-	-	Y(1-20)	1
fig|226186.12.peg.1037|BT_1020	-	GH143(21-570)+GH142(634-1101)	-	-	Y(1-23)	1
fig|226186.12.peg.1038|BT_1021	-	GH43_18(66-291)	-	-	N	1
fig|226186.12.peg.1040|BT_1023	-	PL1_2(135-328)	-	-	Y(1-24)	1
fig|226186.12.peg.1049|BT_1032	-	GH92(269-755)	-	-	Y(1-20)	1
fig|226186.12.peg.1050|BT_1033	-	GH130_2(19-317)	-	-	N	1
fig|226186.12.peg.1052|BT_1035	-	GH163(197-451)	-	-	Y(1-26)	1
fig|226186.12.peg.1068|BT_1051	-	GH20(154-507)	-	-	Y(1-27)	1
fig|226186.12.peg.1123|BT_1100	-	GT35(272-734)	-	-	N	1
fig|226186.12.peg.1189|BT_1166	-	GT2(8-182)	-	-	N	1
fig|226186.12.peg.1190|BT_1167	-	GT2(43-263)	-	-	N	1
fig|226186.12.peg.1199|BT_1176	-	GT2(9-163)	-	-	N	1
fig|226186.12.peg.1202|BT_1179	-	GT101(57-280)	-	-	N	1
