Gene ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools
fig|1796646.660.peg.1006	-	GH92(272-727)	-	-	Y(1-27)	1
fig|1796646.660.peg.1007	-	GH130_2(20-314)	-	-	N	1
fig|1796646.660.peg.1009	-	GH20(149-504)	-	-	Y(1-24)	1
fig|1796646.660.peg.1029	-	GH13_14(204-528)	-	-	Y(1-28)	1
fig|1796646.660.peg.1090	-	GH13_8(194-514)	-	-	N	1
fig|1796646.660.peg.1126	-	GH23(300-457)	-	-	Y(1-29)	1
fig|1796646.660.peg.118	-	GT4(202-346)	-	-	N	1
fig|1796646.660.peg.1201	-	CBM98(33-138)+GH13_47(335-646)	-	-	Y(1-27)	1
fig|1796646.660.peg.1211	-	GT4(190-333)	-	-	N	1
fig|1796646.660.peg.1215	-	GT9(79-330)	-	-	N	1
fig|1796646.660.peg.1219	-	GH97(21-660)	-	-	N	1
fig|1796646.660.peg.1220	-	GH13_48(65-359)	-	-	Y(1-34)	1
fig|1796646.660.peg.1236	-	GT4(235-368)	-	-	N	1
fig|1796646.660.peg.1264	-	GT2(8-176)	-	-	N	1
fig|1796646.660.peg.1270	-	GT2(7-137)	-	-	N	1
fig|1796646.660.peg.1271	-	GT2(7-118)	-	-	N	1
fig|1796646.660.peg.1272	-	GT2(18-194)	-	-	N	1
fig|1796646.660.peg.1273	-	GT8(3-252)	-	-	N	1
fig|1796646.660.peg.1274	-	GT8(6-255)	-	-	N	1
fig|1796646.660.peg.1275	-	CBM6(72-200)+GH43_2(248-533)	-	-	Y(1-26)	1
fig|1796646.660.peg.1282	-	GH43_28(49-310)+CBM32(352-468)	-	-	Y(1-30)	1
fig|1796646.660.peg.1308	-	GT83(13-524)	-	-	N	1
fig|1796646.660.peg.1313	-	GH33(120-489)	-	-	N	1
fig|1796646.660.peg.1317	-	GH33(39-358)	-	-	N	1
fig|1796646.660.peg.1348	-	GT19(4-357)	-	-	N	1
fig|1796646.660.peg.1375	-	CE19(67-393)	-	-	N	1
fig|1796646.660.peg.1381	-	GH92(244-751)	-	-	Y(1-26)	1
fig|1796646.660.peg.1385	-	GH20(154-509)	-	-	Y(1-27)	1
