Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
fig|2005473.105.peg.6	QCD34846.1|GH95	97.6	807	19	0	1	807	1	807	0.0e+00	1639.8
fig|2005473.105.peg.22	201643|Melli1_GeneCatalog_proteins_20150227.aa.fasta|GT1	42.5	593	318	9	5	579	1316	1903	4.0e-119	433.3
fig|2005473.105.peg.26	QCW79542.1|GH101	56.6	458	199	0	59	516	611	1068	1.4e-149	534.3
fig|2005473.105.peg.67	QUB65927.1|GT2	47.6	754	291	15	12	669	503	1248	8.4e-176	621.7
fig|2005473.105.peg.68	QCD34713.1|GT2	97.9	438	9	0	1	438	1	438	6.8e-251	870.5
fig|2005473.105.peg.84	332452|Pyrom1_GeneCatalog_proteins_20181022.aa.fasta|CBM48|GH13_8	62.7	499	159	5	2	500	762	1233	2.3e-170	603.2
fig|2005473.105.peg.115	QCD34671.1|CE6|GH95	99.5	1079	5	0	1	1079	1	1079	0.0e+00	2214.5
fig|2005473.105.peg.116	QCD34670.1|GH43_29	100.0	348	0	0	1	348	1	348	2.0e-213	745.7
fig|2005473.105.peg.117	QCD34669.1|CBM6|GH43_29	99.8	431	1	0	1	431	7	437	3.5e-268	927.9
fig|2005473.105.peg.118	QCD34668.1|GH97	99.7	651	2	0	1	651	1	651	0.0e+00	1346.3
fig|2005473.105.peg.122	QCD34665.1|CBM6|GH43_2|GH8	98.3	847	14	0	1	847	1	847	0.0e+00	1790.4
fig|2005473.105.peg.123	CAK9710746.1|CBM48|CE0	61.0	367	139	2	7	372	11	374	3.2e-132	476.1
fig|2005473.105.peg.124	EGK06004.1|CBM48|CE0|3.1.1.73	68.8	352	109	1	23	373	32	383	2.6e-150	536.2
fig|2005473.105.peg.125	QCD34662.1|GH3	98.1	853	16	0	1	853	1	853	0.0e+00	1697.9
fig|2005473.105.peg.126	QCD34661.1|CBM4|GH10	98.3	766	13	0	1	766	1	766	0.0e+00	1559.7
fig|2005473.105.peg.132	QCD34655.1|CBM91|GH43_12	98.4	573	9	0	1	573	1	573	0.0e+00	1194.5
fig|2005473.105.peg.133	QCD34654.1|CBM91|GH43_10	99.4	542	3	0	1	542	1	542	0.0e+00	1132.9
fig|2005473.105.peg.134	QCD37004.1|CBM6|GH43_29	98.5	454	7	0	6	459	1	454	3.2e-275	951.4
fig|2005473.105.peg.139	QCD34650.1|GH115	98.9	849	9	0	1	849	1	849	0.0e+00	1729.9
fig|2005473.105.peg.146	CCO12868.1|GH1	43.9	1435	513	15	12	1403	6	1191	0.0e+00	1096.3
fig|2005473.105.peg.164	QCD34626.1|CBM35	99.6	896	4	0	1	896	1	896	0.0e+00	1832.0
fig|2005473.105.peg.183	AJY87077.1|GH43_29	43.7	689	366	8	72	746	270	950	1.1e-163	581.6
fig|2005473.105.peg.184	QCD37000.1|GT51	99.7	772	2	0	36	807	1	772	0.0e+00	1565.1
fig|2005473.105.peg.229	AND19139.1|GH97	66.2	648	208	4	8	654	4	641	8.5e-266	920.6
fig|2005473.105.peg.255	QCD34544.1|GH43_19	99.4	352	2	0	1	352	1	352	5.3e-214	747.7
fig|2005473.105.peg.267	QCD36993.1|GH3	99.8	889	2	0	89	977	1	889	0.0e+00	1820.8
fig|2005473.105.peg.275	QCD34526.1|GT4	96.4	360	13	0	1	360	1	360	6.9e-201	704.1
fig|2005473.105.peg.276	QCD34525.1|GT4	92.7	398	29	0	1	398	1	398	4.3e-220	768.1
fig|2005473.105.peg.287	QCD36992.1|GH171	97.0	397	12	0	1	397	1	397	3.0e-221	771.9
fig|2005473.105.peg.290	QCD34512.1|GH31_4	99.3	856	6	0	1	856	1	856	0.0e+00	1768.8
fig|2005473.105.peg.291	QCD34511.1|GH97	99.5	609	3	0	1	609	1	609	0.0e+00	1255.7
fig|2005473.105.peg.300	QCD34502.1|GH31_4	96.1	955	36	1	1	954	1	955	0.0e+00	1931.8
fig|2005473.105.peg.301	QCD34501.1|GH3	98.4	735	12	0	1	735	1	735	0.0e+00	1490.7
fig|2005473.105.peg.306	QXE90908.1|GT2|GT4	48.1	364	166	7	6	358	721	1072	7.9e-104	381.7
fig|2005473.105.peg.308	QCD34494.1|GT2	98.7	314	4	0	1	314	1	314	4.3e-175	618.2
fig|2005473.105.peg.313	QCD34489.1|GT4	100.0	354	0	0	1	354	1	354	1.7e-199	699.5
fig|2005473.105.peg.314	QCD34488.1|GT4	99.7	366	1	0	1	366	1	366	4.2e-214	748.0
fig|2005473.105.peg.315	QCD34487.1|GT4	99.7	358	1	0	1	358	1	358	1.1e-203	713.4
fig|2005473.105.peg.316	QCD34486.1|GT2	100.0	251	0	0	3	253	1	251	1.4e-144	516.5
fig|2005473.105.peg.332	QCD34466.1|GH3	98.6	766	11	0	1	766	1	766	0.0e+00	1502.3
fig|2005473.105.peg.333	QCD34462.1|GH115	98.6	419	6	0	435	853	1	419	6.1e-248	861.7
fig|2005473.105.peg.334	QCD34460.1|GH31_4	100.0	821	0	0	1	821	1	821	0.0e+00	1726.8
fig|2005473.105.peg.401	UWN89399.1|CE15|GH8	71.5	400	111	1	8	404	9	408	1.1e-173	614.0
fig|2005473.105.peg.412	UVP52418.1|GH30_2	59.6	497	190	4	3	496	4	492	2.4e-180	636.3
fig|2005473.105.peg.429	QLQ36740.1|CBM57|CBM6	48.4	444	205	7	31	470	483	906	4.6e-112	409.5
fig|2005473.105.peg.459	QCD36866.1|GT2	99.6	253	1	0	1	253	1	253	9.9e-146	520.4
fig|2005473.105.peg.465	QCD36861.1|GH31_4	98.5	820	12	0	3	822	12	831	0.0e+00	1721.4
fig|2005473.105.peg.480	QCD35538.1|GH3	96.1	990	39	0	1	990	1	990	0.0e+00	1888.2
fig|2005473.105.peg.589	CAG7883609.1|GT1	57.1	900	353	6	2	899	171	1039	1.6e-283	979.9
fig|2005473.105.peg.626	287449|Botdo1_1_GeneCatalog_proteins_20150128.aa.fasta|GT1	32.4	1119	602	26	19	1116	1080	2064	4.2e-162	577.0
