HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH28.hmm	325	fig|2005473.96.peg.1000	483	1.1e-31	62	307	159	451	0.753846153846
GH35.hmm	307	fig|2005473.96.peg.1015	569	2e-30	1	166	38	212	0.537459283388
GH10.hmm	303	fig|2005473.96.peg.1017	376	3.5e-103	2	301	32	369	0.986798679868
GH43_1.hmm	307	fig|2005473.96.peg.1018	324	4.6e-145	5	307	10	314	0.983713355049
GH67.hmm	669	fig|2005473.96.peg.1019	671	3.3e-253	63	667	46	637	0.902840059791
GH5_42.hmm	256	fig|2005473.96.peg.102	411	1.8e-19	22	214	42	250	0.75
GH25.hmm	177	fig|2005473.96.peg.1020	245	5.4e-44	2	174	47	217	0.971751412429
GH23.hmm	135	fig|2005473.96.peg.1025	537	6.2e-26	2	121	121	257	0.881481481481
GH28.hmm	325	fig|2005473.96.peg.108	476	1.5e-69	6	307	53	401	0.926153846154
GH92.hmm	491	fig|2005473.96.peg.109	760	4.5e-182	3	491	255	749	0.993890020367
GH89.hmm	663	fig|2005473.96.peg.1090	724	3.8e-256	2	662	57	714	0.995475113122
GT2.hmm	170	fig|2005473.96.peg.1103	257	4.2e-22	1	164	6	161	0.958823529412
GT2.hmm	170	fig|2005473.96.peg.1124	332	1.7e-19	2	122	7	124	0.705882352941
GH182.hmm	237	fig|2005473.96.peg.115	773	2.8e-30	11	227	452	683	0.911392405063
GH27.hmm	229	fig|2005473.96.peg.1279	532	6.9e-64	4	229	130	370	0.982532751092
GH3.hmm	216	fig|2005473.96.peg.1300	976	1.6e-63	3	215	169	419	0.981481481481
GH179.hmm	338	fig|2005473.96.peg.1362	328	5.8e-16	9	175	28	186	0.491124260355
GH43_19.hmm	229	fig|2005473.96.peg.1382	348	4.2e-75	2	226	90	317	0.978165938865
GH2.hmm	752	fig|2005473.96.peg.1384	803	3e-113	28	465	28	571	0.581117021277
GH24.hmm	137	fig|2005473.96.peg.1436	163	3.2e-17	9	137	40	156	0.934306569343
GH3.hmm	216	fig|2005473.96.peg.144	744	3.3e-66	3	214	64	283	0.976851851852
GT2.hmm	170	fig|2005473.96.peg.1499	332	1.4e-29	1	169	5	170	0.988235294118
CE11.hmm	271	fig|2005473.96.peg.1524	460	2.6e-69	1	220	3	223	0.808118081181
GH97.hmm	631	fig|2005473.96.peg.154	617	2.1e-173	4	630	10	613	0.992076069731
GH31_4.hmm	435	fig|2005473.96.peg.155	861	8.9e-163	2	435	332	761	0.995402298851
GH43_29.hmm	278	fig|2005473.96.peg.156	446	3.4e-114	1	278	26	299	0.996402877698
CBM6.hmm	138	fig|2005473.96.peg.156	446	5.7e-27	18	138	323	446	0.869565217391
GH105.hmm	332	fig|2005473.96.peg.1596	778	2e-76	7	332	53	378	0.978915662651
GH154.hmm	348	fig|2005473.96.peg.1596	778	6.1e-106	1	348	387	749	0.997126436782
GH2.hmm	752	fig|2005473.96.peg.1597	809	1.4e-120	19	551	30	672	0.707446808511
GT5.hmm	472	fig|2005473.96.peg.1616	269	2.2e-40	1	216	5	233	0.455508474576
GH43_10.hmm	271	fig|2005473.96.peg.1639	694	1.6e-74	1	225	37	252	0.826568265683
CBM91.hmm	200	fig|2005473.96.peg.1639	694	2.1e-23	4	195	363	548	0.955
GH43_35.hmm	305	fig|2005473.96.peg.168	689	2.8e-103	1	304	40	381	0.993442622951
GT3.hmm	637	fig|2005473.96.peg.1743	550	2e-113	1	347	13	347	0.5431711146
GT35.hmm	674	fig|2005473.96.peg.1744	851	2.9e-128	20	562	124	641	0.804154302671
GH95.hmm	722	fig|2005473.96.peg.1761	810	2.2e-257	5	717	25	793	0.986149584488
GT4.hmm	160	fig|2005473.96.peg.1780	421	4.7e-17	5	157	231	390	0.95
GT2.hmm	170	fig|2005473.96.peg.1781	338	7.8e-23	1	129	11	140	0.752941176471
GT2.hmm	170	fig|2005473.96.peg.1782	311	1.1e-24	1	133	9	148	0.776470588235
GH97.hmm	631	fig|2005473.96.peg.1793	646	2.4e-169	5	628	9	641	0.987321711569
GH51_1.hmm	472	fig|2005473.96.peg.180	511	1.2e-170	3	471	26	509	0.991525423729
GT2.hmm	170	fig|2005473.96.peg.1808	253	2.5e-24	2	163	11	172	0.947058823529
GH51_2.hmm	435	fig|2005473.96.peg.181	659	8.2e-179	2	433	198	656	0.990804597701
GH43_4.hmm	321	fig|2005473.96.peg.182	504	3.2e-89	2	321	55	379	0.993769470405
CE1.hmm	227	fig|2005473.96.peg.1851	339	7.6e-18	3	156	94	277	0.674008810573
GH13_8.hmm	320	fig|2005473.96.peg.1880	669	2.7e-162	2	320	192	512	0.99375
CBM67.hmm	176	fig|2005473.96.peg.1892	1114	4.2e-29	14	171	344	517	0.892045454545
GH78.hmm	504	fig|2005473.96.peg.1892	1114	2.7e-154	3	504	545	1090	0.994047619048
GH2.hmm	752	fig|2005473.96.peg.1899	1039	1.4e-216	27	751	53	922	0.962765957447
GH43_4.hmm	321	fig|2005473.96.peg.190	666	3.4e-82	2	321	196	555	0.993769470405
GH2.hmm	752	fig|2005473.96.peg.193	1027	1.7e-215	18	749	49	898	0.972074468085
GT2.hmm	170	fig|2005473.96.peg.1935	449	2.1e-19	1	120	201	323	0.7
GH51_2.hmm	435	fig|2005473.96.peg.1939	1168	1.2e-136	2	435	239	848	0.995402298851
GH2.hmm	752	fig|2005473.96.peg.1992	807	4.4e-118	25	552	20	698	0.70079787234
GH43_7.hmm	271	fig|2005473.96.peg.1996	482	3.2e-154	1	271	29	299	0.9963099631
CE1.hmm	227	fig|2005473.96.peg.1998	380	8.8e-56	1	222	142	374	0.973568281938
GH43_29.hmm	278	fig|2005473.96.peg.2000	340	1.1e-106	1	277	44	332	0.992805755396
GH43_2.hmm	277	fig|2005473.96.peg.2001	843	3e-130	1	277	25	302	0.996389891697
GH8.hmm	320	fig|2005473.96.peg.2001	843	1.9e-80	22	319	505	831	0.928125
CE1.hmm	227	fig|2005473.96.peg.2002	369	1.7e-59	1	219	145	363	0.960352422907
GT4.hmm	160	fig|2005473.96.peg.2003	377	3.1e-29	9	152	202	341	0.89375
GT2.hmm	170	fig|2005473.96.peg.2015	297	1.6e-29	1	168	8	175	0.982352941176
GT122.hmm	327	fig|2005473.96.peg.2016	366	5.9e-28	4	317	31	334	0.957186544343
GH25.hmm	177	fig|2005473.96.peg.2058	438	4e-42	1	177	180	378	0.994350282486
GT2.hmm	170	fig|2005473.96.peg.2071	323	2.3e-32	1	166	8	169	0.970588235294
CE15.hmm	269	fig|2005473.96.peg.2094	407	6.3e-86	1	268	56	379	0.992565055762
GT9.hmm	225	fig|2005473.96.peg.2126	358	3e-30	2	217	78	330	0.955555555556
GT4.hmm	160	fig|2005473.96.peg.2130	363	4.6e-22	9	156	188	331	0.91875
GH51_1.hmm	472	fig|2005473.96.peg.2212	508	3.9e-140	3	471	22	505	0.991525423729
GH2.hmm	752	fig|2005473.96.peg.2213	625	3.9e-95	24	487	34	599	0.615691489362
GH133.hmm	372	fig|2005473.96.peg.2217	647	1.5e-91	6	372	285	637	0.983870967742
GT4.hmm	160	fig|2005473.96.peg.2218	420	6.1e-35	6	157	240	388	0.94375
GH57.hmm	383	fig|2005473.96.peg.2219	486	8.7e-63	2	312	6	325	0.809399477807
GT83.hmm	540	fig|2005473.96.peg.2251	569	1e-78	7	478	10	510	0.872222222222
